"","Statistic","Year","Type.of.Crop","value"
"441","Usable Cereal Production (000 Tonnes)","1997","05",NA
"442","Cereal Imports (000 Tonnes)","1997","05",NA
"443","Supplies = Uses of Cereal Products (000 Tonnes)","1997","05",NA
"444","Cereal Exports (000 Tonnes)","1997","05",NA
"445","Variation in Cereal Stocks (000 Tonnes)","1997","05",NA
"446","Cereal Products for Domestic Use (000 Tonnes)","1997","05",NA
"447","Cereal Products for Other Uses (000 Tonnes)","1997","05",NA
"448","Human Consumption of Cereal Products (000 Tonnes)","1997","05",NA
"449","Consumption per Person of Cereal Products (Kg)","1997","05",NA
"450","Self Sufficiency in Cereal Products (%)","1997","05",NA
"451","Usable Cereal Production (000 Tonnes)","1998","05",NA
"452","Cereal Imports (000 Tonnes)","1998","05",NA
"453","Supplies = Uses of Cereal Products (000 Tonnes)","1998","05",NA
"454","Cereal Exports (000 Tonnes)","1998","05",NA
"455","Variation in Cereal Stocks (000 Tonnes)","1998","05",NA
"456","Cereal Products for Domestic Use (000 Tonnes)","1998","05",NA
"457","Cereal Products for Other Uses (000 Tonnes)","1998","05",NA
"458","Human Consumption of Cereal Products (000 Tonnes)","1998","05",NA
"459","Consumption per Person of Cereal Products (Kg)","1998","05",NA
"460","Self Sufficiency in Cereal Products (%)","1998","05",NA
"461","Usable Cereal Production (000 Tonnes)","1999","05",NA
"462","Cereal Imports (000 Tonnes)","1999","05",NA
"463","Supplies = Uses of Cereal Products (000 Tonnes)","1999","05",NA
"464","Cereal Exports (000 Tonnes)","1999","05",NA
"465","Variation in Cereal Stocks (000 Tonnes)","1999","05",NA
"466","Cereal Products for Domestic Use (000 Tonnes)","1999","05",NA
"467","Cereal Products for Other Uses (000 Tonnes)","1999","05",NA
"468","Human Consumption of Cereal Products (000 Tonnes)","1999","05",NA
"469","Consumption per Person of Cereal Products (Kg)","1999","05",NA
"470","Self Sufficiency in Cereal Products (%)","1999","05",NA
"471","Usable Cereal Production (000 Tonnes)","2000","05",NA
"472","Cereal Imports (000 Tonnes)","2000","05",NA
"473","Supplies = Uses of Cereal Products (000 Tonnes)","2000","05",NA
"474","Cereal Exports (000 Tonnes)","2000","05",NA
"475","Variation in Cereal Stocks (000 Tonnes)","2000","05",NA
"476","Cereal Products for Domestic Use (000 Tonnes)","2000","05",NA
"477","Cereal Products for Other Uses (000 Tonnes)","2000","05",NA
"478","Human Consumption of Cereal Products (000 Tonnes)","2000","05",NA
"479","Consumption per Person of Cereal Products (Kg)","2000","05",NA
"480","Self Sufficiency in Cereal Products (%)","2000","05",NA
"481","Usable Cereal Production (000 Tonnes)","2001","05",NA
"482","Cereal Imports (000 Tonnes)","2001","05",NA
"483","Supplies = Uses of Cereal Products (000 Tonnes)","2001","05",NA
"484","Cereal Exports (000 Tonnes)","2001","05",NA
"485","Variation in Cereal Stocks (000 Tonnes)","2001","05",NA
"486","Cereal Products for Domestic Use (000 Tonnes)","2001","05",NA
"487","Cereal Products for Other Uses (000 Tonnes)","2001","05",NA
"488","Human Consumption of Cereal Products (000 Tonnes)","2001","05",NA
"489","Consumption per Person of Cereal Products (Kg)","2001","05",NA
"490","Self Sufficiency in Cereal Products (%)","2001","05",NA
"491","Usable Cereal Production (000 Tonnes)","2002","05",NA
"492","Cereal Imports (000 Tonnes)","2002","05",NA
"493","Supplies = Uses of Cereal Products (000 Tonnes)","2002","05",NA
"494","Cereal Exports (000 Tonnes)","2002","05",NA
"495","Variation in Cereal Stocks (000 Tonnes)","2002","05",NA
"496","Cereal Products for Domestic Use (000 Tonnes)","2002","05",NA
"497","Cereal Products for Other Uses (000 Tonnes)","2002","05",NA
"498","Human Consumption of Cereal Products (000 Tonnes)","2002","05",NA
"499","Consumption per Person of Cereal Products (Kg)","2002","05",NA
"500","Self Sufficiency in Cereal Products (%)","2002","05",NA
"501","Usable Cereal Production (000 Tonnes)","2003","05",NA
"502","Cereal Imports (000 Tonnes)","2003","05",NA
"503","Supplies = Uses of Cereal Products (000 Tonnes)","2003","05",NA
"504","Cereal Exports (000 Tonnes)","2003","05",NA
"505","Variation in Cereal Stocks (000 Tonnes)","2003","05",NA
"506","Cereal Products for Domestic Use (000 Tonnes)","2003","05",NA
"507","Cereal Products for Other Uses (000 Tonnes)","2003","05",NA
"508","Human Consumption of Cereal Products (000 Tonnes)","2003","05",NA
"509","Consumption per Person of Cereal Products (Kg)","2003","05",NA
"510","Self Sufficiency in Cereal Products (%)","2003","05",NA
"511","Usable Cereal Production (000 Tonnes)","2004","05",NA
"512","Cereal Imports (000 Tonnes)","2004","05",NA
"513","Supplies = Uses of Cereal Products (000 Tonnes)","2004","05",NA
"514","Cereal Exports (000 Tonnes)","2004","05",NA
"515","Variation in Cereal Stocks (000 Tonnes)","2004","05",NA
"516","Cereal Products for Domestic Use (000 Tonnes)","2004","05",NA
"517","Cereal Products for Other Uses (000 Tonnes)","2004","05",NA
"518","Human Consumption of Cereal Products (000 Tonnes)","2004","05",NA
"519","Consumption per Person of Cereal Products (Kg)","2004","05",NA
"520","Self Sufficiency in Cereal Products (%)","2004","05",NA
"521","Usable Cereal Production (000 Tonnes)","2005","05",NA
"522","Cereal Imports (000 Tonnes)","2005","05",NA
"523","Supplies = Uses of Cereal Products (000 Tonnes)","2005","05",NA
"524","Cereal Exports (000 Tonnes)","2005","05",NA
"525","Variation in Cereal Stocks (000 Tonnes)","2005","05",NA
"526","Cereal Products for Domestic Use (000 Tonnes)","2005","05",NA
"527","Cereal Products for Other Uses (000 Tonnes)","2005","05",NA
"528","Human Consumption of Cereal Products (000 Tonnes)","2005","05",NA
"529","Consumption per Person of Cereal Products (Kg)","2005","05",NA
"530","Self Sufficiency in Cereal Products (%)","2005","05",NA
"531","Usable Cereal Production (000 Tonnes)","2006","05",NA
"532","Cereal Imports (000 Tonnes)","2006","05",NA
"533","Supplies = Uses of Cereal Products (000 Tonnes)","2006","05",NA
"534","Cereal Exports (000 Tonnes)","2006","05",NA
"535","Variation in Cereal Stocks (000 Tonnes)","2006","05",NA
"536","Cereal Products for Domestic Use (000 Tonnes)","2006","05",NA
"537","Cereal Products for Other Uses (000 Tonnes)","2006","05",NA
"538","Human Consumption of Cereal Products (000 Tonnes)","2006","05",NA
"539","Consumption per Person of Cereal Products (Kg)","2006","05",NA
"540","Self Sufficiency in Cereal Products (%)","2006","05",NA
"541","Usable Cereal Production (000 Tonnes)","2007","05",NA
"542","Cereal Imports (000 Tonnes)","2007","05",NA
"543","Supplies = Uses of Cereal Products (000 Tonnes)","2007","05",NA
"544","Cereal Exports (000 Tonnes)","2007","05",NA
"545","Variation in Cereal Stocks (000 Tonnes)","2007","05",NA
"546","Cereal Products for Domestic Use (000 Tonnes)","2007","05",NA
"547","Cereal Products for Other Uses (000 Tonnes)","2007","05",NA
"548","Human Consumption of Cereal Products (000 Tonnes)","2007","05",NA
"549","Consumption per Person of Cereal Products (Kg)","2007","05",NA
"550","Self Sufficiency in Cereal Products (%)","2007","05",NA
"551","Usable Cereal Production (000 Tonnes)","2008","05",NA
"552","Cereal Imports (000 Tonnes)","2008","05",NA
"553","Supplies = Uses of Cereal Products (000 Tonnes)","2008","05",NA
"554","Cereal Exports (000 Tonnes)","2008","05",NA
"555","Variation in Cereal Stocks (000 Tonnes)","2008","05",NA
"556","Cereal Products for Domestic Use (000 Tonnes)","2008","05",NA
"557","Cereal Products for Other Uses (000 Tonnes)","2008","05",NA
"558","Human Consumption of Cereal Products (000 Tonnes)","2008","05",NA
"559","Consumption per Person of Cereal Products (Kg)","2008","05",NA
"560","Self Sufficiency in Cereal Products (%)","2008","05",NA
"561","Usable Cereal Production (000 Tonnes)","2009","05",NA
"562","Cereal Imports (000 Tonnes)","2009","05",NA
"563","Supplies = Uses of Cereal Products (000 Tonnes)","2009","05",NA
"564","Cereal Exports (000 Tonnes)","2009","05",NA
"565","Variation in Cereal Stocks (000 Tonnes)","2009","05",NA
"566","Cereal Products for Domestic Use (000 Tonnes)","2009","05",NA
"567","Cereal Products for Other Uses (000 Tonnes)","2009","05",NA
"568","Human Consumption of Cereal Products (000 Tonnes)","2009","05",NA
"569","Consumption per Person of Cereal Products (Kg)","2009","05",NA
"570","Self Sufficiency in Cereal Products (%)","2009","05",NA
"571","Usable Cereal Production (000 Tonnes)","2010","05",NA
"572","Cereal Imports (000 Tonnes)","2010","05",NA
"573","Supplies = Uses of Cereal Products (000 Tonnes)","2010","05",NA
"574","Cereal Exports (000 Tonnes)","2010","05",NA
"575","Variation in Cereal Stocks (000 Tonnes)","2010","05",NA
"576","Cereal Products for Domestic Use (000 Tonnes)","2010","05",NA
"577","Cereal Products for Other Uses (000 Tonnes)","2010","05",NA
"578","Human Consumption of Cereal Products (000 Tonnes)","2010","05",NA
"579","Consumption per Person of Cereal Products (Kg)","2010","05",NA
"580","Self Sufficiency in Cereal Products (%)","2010","05",NA
"581","Usable Cereal Production (000 Tonnes)","2011","05",NA
"582","Cereal Imports (000 Tonnes)","2011","05",NA
"583","Supplies = Uses of Cereal Products (000 Tonnes)","2011","05",NA
"584","Cereal Exports (000 Tonnes)","2011","05",NA
"585","Variation in Cereal Stocks (000 Tonnes)","2011","05",NA
"586","Cereal Products for Domestic Use (000 Tonnes)","2011","05",NA
"587","Cereal Products for Other Uses (000 Tonnes)","2011","05",NA
"588","Human Consumption of Cereal Products (000 Tonnes)","2011","05",NA
"589","Consumption per Person of Cereal Products (Kg)","2011","05",NA
"590","Self Sufficiency in Cereal Products (%)","2011","05",NA
"591","Usable Cereal Production (000 Tonnes)","2012","05",NA
"592","Cereal Imports (000 Tonnes)","2012","05",NA
"593","Supplies = Uses of Cereal Products (000 Tonnes)","2012","05",NA
"594","Cereal Exports (000 Tonnes)","2012","05",NA
"595","Variation in Cereal Stocks (000 Tonnes)","2012","05",NA
"596","Cereal Products for Domestic Use (000 Tonnes)","2012","05",NA
"597","Cereal Products for Other Uses (000 Tonnes)","2012","05",NA
"598","Human Consumption of Cereal Products (000 Tonnes)","2012","05",NA
"599","Consumption per Person of Cereal Products (Kg)","2012","05",NA
"600","Self Sufficiency in Cereal Products (%)","2012","05",NA
"601","Usable Cereal Production (000 Tonnes)","1993","04",NA
"602","Cereal Imports (000 Tonnes)","1993","04",NA
"603","Supplies = Uses of Cereal Products (000 Tonnes)","1993","04",NA
"604","Cereal Exports (000 Tonnes)","1993","04",NA
"605","Variation in Cereal Stocks (000 Tonnes)","1993","04",NA
"606","Cereal Products for Domestic Use (000 Tonnes)","1993","04",NA
"607","Cereal Products for Other Uses (000 Tonnes)","1993","04",NA
"608","Human Consumption of Cereal Products (000 Tonnes)","1993","04",NA
"609","Consumption per Person of Cereal Products (Kg)","1993","04",NA
"610","Self Sufficiency in Cereal Products (%)","1993","04",NA
"611","Usable Cereal Production (000 Tonnes)","1994","04",NA
"612","Cereal Imports (000 Tonnes)","1994","04",NA
"613","Supplies = Uses of Cereal Products (000 Tonnes)","1994","04",NA
"614","Cereal Exports (000 Tonnes)","1994","04",NA
"615","Variation in Cereal Stocks (000 Tonnes)","1994","04",NA
"616","Cereal Products for Domestic Use (000 Tonnes)","1994","04",NA
"617","Cereal Products for Other Uses (000 Tonnes)","1994","04",NA
"618","Human Consumption of Cereal Products (000 Tonnes)","1994","04",NA
"619","Consumption per Person of Cereal Products (Kg)","1994","04",NA
"620","Self Sufficiency in Cereal Products (%)","1994","04",NA
"621","Usable Cereal Production (000 Tonnes)","1995","04",NA
"622","Cereal Imports (000 Tonnes)","1995","04",NA
"623","Supplies = Uses of Cereal Products (000 Tonnes)","1995","04",NA
"624","Cereal Exports (000 Tonnes)","1995","04",NA
"625","Variation in Cereal Stocks (000 Tonnes)","1995","04",NA
"626","Cereal Products for Domestic Use (000 Tonnes)","1995","04",NA
"627","Cereal Products for Other Uses (000 Tonnes)","1995","04",NA
"628","Human Consumption of Cereal Products (000 Tonnes)","1995","04",NA
"629","Consumption per Person of Cereal Products (Kg)","1995","04",NA
"630","Self Sufficiency in Cereal Products (%)","1995","04",NA
"631","Usable Cereal Production (000 Tonnes)","1996","04",NA
"632","Cereal Imports (000 Tonnes)","1996","04",NA
"633","Supplies = Uses of Cereal Products (000 Tonnes)","1996","04",NA
"634","Cereal Exports (000 Tonnes)","1996","04",NA
"635","Variation in Cereal Stocks (000 Tonnes)","1996","04",NA
"636","Cereal Products for Domestic Use (000 Tonnes)","1996","04",NA
"637","Cereal Products for Other Uses (000 Tonnes)","1996","04",NA
"638","Human Consumption of Cereal Products (000 Tonnes)","1996","04",NA
"639","Consumption per Person of Cereal Products (Kg)","1996","04",NA
"640","Self Sufficiency in Cereal Products (%)","1996","04",NA
"641","Usable Cereal Production (000 Tonnes)","1997","04",NA
"642","Cereal Imports (000 Tonnes)","1997","04",NA
"643","Supplies = Uses of Cereal Products (000 Tonnes)","1997","04",NA
"644","Cereal Exports (000 Tonnes)","1997","04",NA
"645","Variation in Cereal Stocks (000 Tonnes)","1997","04",NA
"646","Cereal Products for Domestic Use (000 Tonnes)","1997","04",NA
"647","Cereal Products for Other Uses (000 Tonnes)","1997","04",NA
"648","Human Consumption of Cereal Products (000 Tonnes)","1997","04",NA
"649","Consumption per Person of Cereal Products (Kg)","1997","04",NA
"650","Self Sufficiency in Cereal Products (%)","1997","04",NA
"651","Usable Cereal Production (000 Tonnes)","1998","04",NA
"652","Cereal Imports (000 Tonnes)","1998","04",NA
"653","Supplies = Uses of Cereal Products (000 Tonnes)","1998","04",NA
"654","Cereal Exports (000 Tonnes)","1998","04",NA
"655","Variation in Cereal Stocks (000 Tonnes)","1998","04",NA
"656","Cereal Products for Domestic Use (000 Tonnes)","1998","04",NA
"657","Cereal Products for Other Uses (000 Tonnes)","1998","04",NA
"658","Human Consumption of Cereal Products (000 Tonnes)","1998","04",NA
"659","Consumption per Person of Cereal Products (Kg)","1998","04",NA
"660","Self Sufficiency in Cereal Products (%)","1998","04",NA
"661","Usable Cereal Production (000 Tonnes)","1999","04",NA
"662","Cereal Imports (000 Tonnes)","1999","04",NA
"663","Supplies = Uses of Cereal Products (000 Tonnes)","1999","04",NA
"664","Cereal Exports (000 Tonnes)","1999","04",NA
"665","Variation in Cereal Stocks (000 Tonnes)","1999","04",NA
"666","Cereal Products for Domestic Use (000 Tonnes)","1999","04",NA
"667","Cereal Products for Other Uses (000 Tonnes)","1999","04",NA
"668","Human Consumption of Cereal Products (000 Tonnes)","1999","04",NA
"669","Consumption per Person of Cereal Products (Kg)","1999","04",NA
"670","Self Sufficiency in Cereal Products (%)","1999","04",NA
"671","Usable Cereal Production (000 Tonnes)","2000","04",NA
"672","Cereal Imports (000 Tonnes)","2000","04",NA
"673","Supplies = Uses of Cereal Products (000 Tonnes)","2000","04",NA
"674","Cereal Exports (000 Tonnes)","2000","04",NA
"675","Variation in Cereal Stocks (000 Tonnes)","2000","04",NA
"676","Cereal Products for Domestic Use (000 Tonnes)","2000","04",NA
"677","Cereal Products for Other Uses (000 Tonnes)","2000","04",NA
"678","Human Consumption of Cereal Products (000 Tonnes)","2000","04",NA
"679","Consumption per Person of Cereal Products (Kg)","2000","04",NA
"680","Self Sufficiency in Cereal Products (%)","2000","04",NA
"681","Usable Cereal Production (000 Tonnes)","2001","04",NA
"682","Cereal Imports (000 Tonnes)","2001","04",NA
"683","Supplies = Uses of Cereal Products (000 Tonnes)","2001","04",NA
"684","Cereal Exports (000 Tonnes)","2001","04",NA
"685","Variation in Cereal Stocks (000 Tonnes)","2001","04",NA
"686","Cereal Products for Domestic Use (000 Tonnes)","2001","04",NA
"687","Cereal Products for Other Uses (000 Tonnes)","2001","04",NA
"688","Human Consumption of Cereal Products (000 Tonnes)","2001","04",NA
"689","Consumption per Person of Cereal Products (Kg)","2001","04",NA
"690","Self Sufficiency in Cereal Products (%)","2001","04",NA
"691","Usable Cereal Production (000 Tonnes)","2002","04",NA
"692","Cereal Imports (000 Tonnes)","2002","04",NA
"693","Supplies = Uses of Cereal Products (000 Tonnes)","2002","04",NA
"694","Cereal Exports (000 Tonnes)","2002","04",NA
"695","Variation in Cereal Stocks (000 Tonnes)","2002","04",NA
"696","Cereal Products for Domestic Use (000 Tonnes)","2002","04",NA
"697","Cereal Products for Other Uses (000 Tonnes)","2002","04",NA
"698","Human Consumption of Cereal Products (000 Tonnes)","2002","04",NA
"699","Consumption per Person of Cereal Products (Kg)","2002","04",NA
"700","Self Sufficiency in Cereal Products (%)","2002","04",NA
"701","Usable Cereal Production (000 Tonnes)","2003","04",NA
"702","Cereal Imports (000 Tonnes)","2003","04",NA
"703","Supplies = Uses of Cereal Products (000 Tonnes)","2003","04",NA
"704","Cereal Exports (000 Tonnes)","2003","04",NA
"705","Variation in Cereal Stocks (000 Tonnes)","2003","04",NA
"706","Cereal Products for Domestic Use (000 Tonnes)","2003","04",NA
"707","Cereal Products for Other Uses (000 Tonnes)","2003","04",NA
"708","Human Consumption of Cereal Products (000 Tonnes)","2003","04",NA
"709","Consumption per Person of Cereal Products (Kg)","2003","04",NA
"710","Self Sufficiency in Cereal Products (%)","2003","04",NA
"711","Usable Cereal Production (000 Tonnes)","2004","04",NA
"712","Cereal Imports (000 Tonnes)","2004","04",NA
"713","Supplies = Uses of Cereal Products (000 Tonnes)","2004","04",NA
"714","Cereal Exports (000 Tonnes)","2004","04",NA
"715","Variation in Cereal Stocks (000 Tonnes)","2004","04",NA
"716","Cereal Products for Domestic Use (000 Tonnes)","2004","04",NA
"717","Cereal Products for Other Uses (000 Tonnes)","2004","04",NA
"718","Human Consumption of Cereal Products (000 Tonnes)","2004","04",NA
"719","Consumption per Person of Cereal Products (Kg)","2004","04",NA
"720","Self Sufficiency in Cereal Products (%)","2004","04",NA
"721","Usable Cereal Production (000 Tonnes)","2005","04",NA
"722","Cereal Imports (000 Tonnes)","2005","04",NA
"723","Supplies = Uses of Cereal Products (000 Tonnes)","2005","04",NA
"724","Cereal Exports (000 Tonnes)","2005","04",NA
"725","Variation in Cereal Stocks (000 Tonnes)","2005","04",NA
"726","Cereal Products for Domestic Use (000 Tonnes)","2005","04",NA
"727","Cereal Products for Other Uses (000 Tonnes)","2005","04",NA
"728","Human Consumption of Cereal Products (000 Tonnes)","2005","04",NA
"729","Consumption per Person of Cereal Products (Kg)","2005","04",NA
"730","Self Sufficiency in Cereal Products (%)","2005","04",NA
"731","Usable Cereal Production (000 Tonnes)","2006","04",NA
"732","Cereal Imports (000 Tonnes)","2006","04",NA
"733","Supplies = Uses of Cereal Products (000 Tonnes)","2006","04",NA
"734","Cereal Exports (000 Tonnes)","2006","04",NA
"735","Variation in Cereal Stocks (000 Tonnes)","2006","04",NA
"736","Cereal Products for Domestic Use (000 Tonnes)","2006","04",NA
"737","Cereal Products for Other Uses (000 Tonnes)","2006","04",NA
"738","Human Consumption of Cereal Products (000 Tonnes)","2006","04",NA
"739","Consumption per Person of Cereal Products (Kg)","2006","04",NA
"740","Self Sufficiency in Cereal Products (%)","2006","04",NA
"741","Usable Cereal Production (000 Tonnes)","2007","04",NA
"742","Cereal Imports (000 Tonnes)","2007","04",NA
"743","Supplies = Uses of Cereal Products (000 Tonnes)","2007","04",NA
"744","Cereal Exports (000 Tonnes)","2007","04",NA
"745","Variation in Cereal Stocks (000 Tonnes)","2007","04",NA
"746","Cereal Products for Domestic Use (000 Tonnes)","2007","04",NA
"747","Cereal Products for Other Uses (000 Tonnes)","2007","04",NA
"748","Human Consumption of Cereal Products (000 Tonnes)","2007","04",NA
"749","Consumption per Person of Cereal Products (Kg)","2007","04",NA
"750","Self Sufficiency in Cereal Products (%)","2007","04",NA
"751","Usable Cereal Production (000 Tonnes)","2008","04",NA
"752","Cereal Imports (000 Tonnes)","2008","04",NA
"753","Supplies = Uses of Cereal Products (000 Tonnes)","2008","04",NA
"754","Cereal Exports (000 Tonnes)","2008","04",NA
"755","Variation in Cereal Stocks (000 Tonnes)","2008","04",NA
"756","Cereal Products for Domestic Use (000 Tonnes)","2008","04",NA
"757","Cereal Products for Other Uses (000 Tonnes)","2008","04",NA
"758","Human Consumption of Cereal Products (000 Tonnes)","2008","04",NA
"759","Consumption per Person of Cereal Products (Kg)","2008","04",NA
"760","Self Sufficiency in Cereal Products (%)","2008","04",NA
"761","Usable Cereal Production (000 Tonnes)","2009","04",NA
"762","Cereal Imports (000 Tonnes)","2009","04",NA
"763","Supplies = Uses of Cereal Products (000 Tonnes)","2009","04",NA
"764","Cereal Exports (000 Tonnes)","2009","04",NA
"765","Variation in Cereal Stocks (000 Tonnes)","2009","04",NA
"766","Cereal Products for Domestic Use (000 Tonnes)","2009","04",NA
"767","Cereal Products for Other Uses (000 Tonnes)","2009","04",NA
"768","Human Consumption of Cereal Products (000 Tonnes)","2009","04",NA
"769","Consumption per Person of Cereal Products (Kg)","2009","04",NA
"770","Self Sufficiency in Cereal Products (%)","2009","04",NA
"771","Usable Cereal Production (000 Tonnes)","2010","04",NA
"772","Cereal Imports (000 Tonnes)","2010","04",NA
"773","Supplies = Uses of Cereal Products (000 Tonnes)","2010","04",NA
"774","Cereal Exports (000 Tonnes)","2010","04",NA
"775","Variation in Cereal Stocks (000 Tonnes)","2010","04",NA
"776","Cereal Products for Domestic Use (000 Tonnes)","2010","04",NA
"777","Cereal Products for Other Uses (000 Tonnes)","2010","04",NA
"778","Human Consumption of Cereal Products (000 Tonnes)","2010","04",NA
"779","Consumption per Person of Cereal Products (Kg)","2010","04",NA
"780","Self Sufficiency in Cereal Products (%)","2010","04",NA
"781","Usable Cereal Production (000 Tonnes)","2011","04",NA
"782","Cereal Imports (000 Tonnes)","2011","04",NA
"783","Supplies = Uses of Cereal Products (000 Tonnes)","2011","04",NA
"784","Cereal Exports (000 Tonnes)","2011","04",NA
"785","Variation in Cereal Stocks (000 Tonnes)","2011","04",NA
"786","Cereal Products for Domestic Use (000 Tonnes)","2011","04",NA
"787","Cereal Products for Other Uses (000 Tonnes)","2011","04",NA
"788","Human Consumption of Cereal Products (000 Tonnes)","2011","04",NA
"789","Consumption per Person of Cereal Products (Kg)","2011","04",NA
"790","Self Sufficiency in Cereal Products (%)","2011","04",NA
"791","Usable Cereal Production (000 Tonnes)","2012","04",NA
"792","Cereal Imports (000 Tonnes)","2012","04",NA
"793","Supplies = Uses of Cereal Products (000 Tonnes)","2012","04",NA
"794","Cereal Exports (000 Tonnes)","2012","04",NA
"795","Variation in Cereal Stocks (000 Tonnes)","2012","04",NA
"796","Cereal Products for Domestic Use (000 Tonnes)","2012","04",NA
"797","Cereal Products for Other Uses (000 Tonnes)","2012","04",NA
"798","Human Consumption of Cereal Products (000 Tonnes)","2012","04",NA
"799","Consumption per Person of Cereal Products (Kg)","2012","04",NA
"800","Self Sufficiency in Cereal Products (%)","2012","04",NA
