"","Statistic","Year","Type.of.Meat","value"
"399","Supplies = Uses of Meat Products (000 Tonnes)","1996","Other meat",9
"400","Meat Exports (000 Tonnes)","1996","Other meat",7
"401","Variation in Meat Stocks (000 Tonnes)","1996","Other meat",0
"402","Meat Products for Domestic Use (000 Tonnes)","1996","Other meat",2
"403","Human Consumption of Meat Products (000 Tonnes)","1996","Other meat",0.7
"404","Meat Gross Indigenous Production (000 Tonnes)","1996","Other meat",7
"405","Self Sufficiency in Meat Products (%)","1996","Other meat",280
"406","Meat Slaughterings (000 Tonnes)","1997","Other meat",9.8
"407","Meat Imports (000 Tonnes)","1997","Other meat",3.4
"408","Supplies = Uses of Meat Products (000 Tonnes)","1997","Other meat",13.2
"409","Meat Exports (000 Tonnes)","1997","Other meat",9.8
"410","Variation in Meat Stocks (000 Tonnes)","1997","Other meat",0
"411","Meat Products for Domestic Use (000 Tonnes)","1997","Other meat",3.4
"412","Human Consumption of Meat Products (000 Tonnes)","1997","Other meat",0.9
"413","Meat Gross Indigenous Production (000 Tonnes)","1997","Other meat",9.8
"414","Self Sufficiency in Meat Products (%)","1997","Other meat",286.1
"415","Meat Slaughterings (000 Tonnes)","1998","Other meat",6
"416","Meat Imports (000 Tonnes)","1998","Other meat",8
"417","Supplies = Uses of Meat Products (000 Tonnes)","1998","Other meat",14.1
"418","Meat Exports (000 Tonnes)","1998","Other meat",6
"419","Variation in Meat Stocks (000 Tonnes)","1998","Other meat",0
"420","Meat Products for Domestic Use (000 Tonnes)","1998","Other meat",7.7
"421","Human Consumption of Meat Products (000 Tonnes)","1998","Other meat",2.1
"422","Meat Gross Indigenous Production (000 Tonnes)","1998","Other meat",6.4
"423","Self Sufficiency in Meat Products (%)","1998","Other meat",82.9
"424","Meat Slaughterings (000 Tonnes)","1999","Other meat",5
"425","Meat Imports (000 Tonnes)","1999","Other meat",6
"426","Supplies = Uses of Meat Products (000 Tonnes)","1999","Other meat",11.6
"427","Meat Exports (000 Tonnes)","1999","Other meat",5
"428","Variation in Meat Stocks (000 Tonnes)","1999","Other meat",0
"429","Meat Products for Domestic Use (000 Tonnes)","1999","Other meat",6.3
"430","Human Consumption of Meat Products (000 Tonnes)","1999","Other meat",1.7
"431","Meat Gross Indigenous Production (000 Tonnes)","1999","Other meat",6
"432","Self Sufficiency in Meat Products (%)","1999","Other meat",89
