"","Statistic","Year","Product.Type","value"
"437","Human Consumption of Dairy Products (Tonnes)","2011","Butter",11
"438","Consumption per Person of Dairy Products (Litres)","2011","Butter",NA
"439","Consumption per Person of Dairy Products (Kg)","2011","Butter",3
"440","Self Sufficiency in Dairy Products (%)","2011","Butter",1082
"441","Usable Dairy Production (Tonnes)","1992","Cream",21
"442","Dairy Imports (Tonnes)","1992","Cream",4
"443","Supplies = Uses of Milk Products (Tonnes)","1992","Cream",NA
"444","Dairy Exports (Tonnes)","1992","Cream",2
"445","Variation in Dairy Stocks (Tonnes)","1992","Cream",0
"446","Dairy Products for Domestic Use (Tonnes)","1992","Cream",24
"447","Dairy Products for Industrial Uses (Tonnes)","1992","Cream",15
"448","Human Consumption of Dairy Products (Tonnes)","1992","Cream",9
"449","Consumption per Person of Dairy Products (Litres)","1992","Cream",3
"450","Consumption per Person of Dairy Products (Kg)","1992","Cream",NA
"451","Self Sufficiency in Dairy Products (%)","1992","Cream",90
"452","Usable Dairy Production (Tonnes)","1993","Cream",21
"453","Dairy Imports (Tonnes)","1993","Cream",1
"454","Supplies = Uses of Milk Products (Tonnes)","1993","Cream",NA
"455","Dairy Exports (Tonnes)","1993","Cream",1
"456","Variation in Dairy Stocks (Tonnes)","1993","Cream",0
"457","Dairy Products for Domestic Use (Tonnes)","1993","Cream",21
"458","Dairy Products for Industrial Uses (Tonnes)","1993","Cream",12
"459","Human Consumption of Dairy Products (Tonnes)","1993","Cream",9
"460","Consumption per Person of Dairy Products (Litres)","1993","Cream",3
"461","Consumption per Person of Dairy Products (Kg)","1993","Cream",NA
"462","Self Sufficiency in Dairy Products (%)","1993","Cream",100
"463","Usable Dairy Production (Tonnes)","1994","Cream",22
"464","Dairy Imports (Tonnes)","1994","Cream",7
"465","Supplies = Uses of Milk Products (Tonnes)","1994","Cream",NA
"466","Dairy Exports (Tonnes)","1994","Cream",1
"467","Variation in Dairy Stocks (Tonnes)","1994","Cream",0
"468","Dairy Products for Domestic Use (Tonnes)","1994","Cream",28
"469","Dairy Products for Industrial Uses (Tonnes)","1994","Cream",18
"470","Human Consumption of Dairy Products (Tonnes)","1994","Cream",9
"471","Consumption per Person of Dairy Products (Litres)","1994","Cream",3
"472","Consumption per Person of Dairy Products (Kg)","1994","Cream",NA
"473","Self Sufficiency in Dairy Products (%)","1994","Cream",78
"474","Usable Dairy Production (Tonnes)","1995","Cream",22
"475","Dairy Imports (Tonnes)","1995","Cream",11
"476","Supplies = Uses of Milk Products (Tonnes)","1995","Cream",NA
"477","Dairy Exports (Tonnes)","1995","Cream",2
"478","Variation in Dairy Stocks (Tonnes)","1995","Cream",0
"479","Dairy Products for Domestic Use (Tonnes)","1995","Cream",31
"480","Dairy Products for Industrial Uses (Tonnes)","1995","Cream",22
"481","Human Consumption of Dairy Products (Tonnes)","1995","Cream",9
"482","Consumption per Person of Dairy Products (Litres)","1995","Cream",3
"483","Consumption per Person of Dairy Products (Kg)","1995","Cream",NA
"484","Self Sufficiency in Dairy Products (%)","1995","Cream",71
"485","Usable Dairy Production (Tonnes)","1996","Cream",22
"486","Dairy Imports (Tonnes)","1996","Cream",14
"487","Supplies = Uses of Milk Products (Tonnes)","1996","Cream",NA
"488","Dairy Exports (Tonnes)","1996","Cream",4
"489","Variation in Dairy Stocks (Tonnes)","1996","Cream",0
"490","Dairy Products for Domestic Use (Tonnes)","1996","Cream",33
"491","Dairy Products for Industrial Uses (Tonnes)","1996","Cream",23
"492","Human Consumption of Dairy Products (Tonnes)","1996","Cream",10
"493","Consumption per Person of Dairy Products (Litres)","1996","Cream",3
"494","Consumption per Person of Dairy Products (Kg)","1996","Cream",NA
"495","Self Sufficiency in Dairy Products (%)","1996","Cream",69
"496","Usable Dairy Production (Tonnes)","1997","Cream",22
"497","Dairy Imports (Tonnes)","1997","Cream",14
"498","Supplies = Uses of Milk Products (Tonnes)","1997","Cream",NA
"499","Dairy Exports (Tonnes)","1997","Cream",6
"500","Variation in Dairy Stocks (Tonnes)","1997","Cream",0
"501","Dairy Products for Domestic Use (Tonnes)","1997","Cream",30
"502","Dairy Products for Industrial Uses (Tonnes)","1997","Cream",20
"503","Human Consumption of Dairy Products (Tonnes)","1997","Cream",10
"504","Consumption per Person of Dairy Products (Litres)","1997","Cream",3
"505","Consumption per Person of Dairy Products (Kg)","1997","Cream",NA
"506","Self Sufficiency in Dairy Products (%)","1997","Cream",74
"507","Usable Dairy Production (Tonnes)","1998","Cream",24
"508","Dairy Imports (Tonnes)","1998","Cream",14
"509","Supplies = Uses of Milk Products (Tonnes)","1998","Cream",NA
"510","Dairy Exports (Tonnes)","1998","Cream",3
"511","Variation in Dairy Stocks (Tonnes)","1998","Cream",0
"512","Dairy Products for Domestic Use (Tonnes)","1998","Cream",34
"513","Dairy Products for Industrial Uses (Tonnes)","1998","Cream",24
"514","Human Consumption of Dairy Products (Tonnes)","1998","Cream",10
"515","Consumption per Person of Dairy Products (Litres)","1998","Cream",3
"516","Consumption per Person of Dairy Products (Kg)","1998","Cream",NA
"517","Self Sufficiency in Dairy Products (%)","1998","Cream",69
"518","Usable Dairy Production (Tonnes)","1999","Cream",23
"519","Dairy Imports (Tonnes)","1999","Cream",9
"520","Supplies = Uses of Milk Products (Tonnes)","1999","Cream",NA
"521","Dairy Exports (Tonnes)","1999","Cream",4
"522","Variation in Dairy Stocks (Tonnes)","1999","Cream",0
"523","Dairy Products for Domestic Use (Tonnes)","1999","Cream",28
"524","Dairy Products for Industrial Uses (Tonnes)","1999","Cream",18
"525","Human Consumption of Dairy Products (Tonnes)","1999","Cream",10
"526","Consumption per Person of Dairy Products (Litres)","1999","Cream",3
"527","Consumption per Person of Dairy Products (Kg)","1999","Cream",NA
"528","Self Sufficiency in Dairy Products (%)","1999","Cream",82
"529","Usable Dairy Production (Tonnes)","2000","Cream",21
"530","Dairy Imports (Tonnes)","2000","Cream",12
"531","Supplies = Uses of Milk Products (Tonnes)","2000","Cream",NA
"532","Dairy Exports (Tonnes)","2000","Cream",3
"533","Variation in Dairy Stocks (Tonnes)","2000","Cream",0
"534","Dairy Products for Domestic Use (Tonnes)","2000","Cream",31
"535","Dairy Products for Industrial Uses (Tonnes)","2000","Cream",21
"536","Human Consumption of Dairy Products (Tonnes)","2000","Cream",10
"537","Consumption per Person of Dairy Products (Litres)","2000","Cream",3
"538","Consumption per Person of Dairy Products (Kg)","2000","Cream",NA
"539","Self Sufficiency in Dairy Products (%)","2000","Cream",70
"540","Usable Dairy Production (Tonnes)","2001","Cream",21
"541","Dairy Imports (Tonnes)","2001","Cream",8
"542","Supplies = Uses of Milk Products (Tonnes)","2001","Cream",NA
"543","Dairy Exports (Tonnes)","2001","Cream",3
"544","Variation in Dairy Stocks (Tonnes)","2001","Cream",0
"545","Dairy Products for Domestic Use (Tonnes)","2001","Cream",25
"546","Dairy Products for Industrial Uses (Tonnes)","2001","Cream",16
"547","Human Consumption of Dairy Products (Tonnes)","2001","Cream",10
"548","Consumption per Person of Dairy Products (Litres)","2001","Cream",3
"549","Consumption per Person of Dairy Products (Kg)","2001","Cream",NA
"550","Self Sufficiency in Dairy Products (%)","2001","Cream",84
"551","Usable Dairy Production (Tonnes)","2002","Cream",20
"552","Dairy Imports (Tonnes)","2002","Cream",3
"553","Supplies = Uses of Milk Products (Tonnes)","2002","Cream",NA
"554","Dairy Exports (Tonnes)","2002","Cream",2
"555","Variation in Dairy Stocks (Tonnes)","2002","Cream",0
"556","Dairy Products for Domestic Use (Tonnes)","2002","Cream",20
"557","Dairy Products for Industrial Uses (Tonnes)","2002","Cream",11
"558","Human Consumption of Dairy Products (Tonnes)","2002","Cream",9
"559","Consumption per Person of Dairy Products (Litres)","2002","Cream",2
"560","Consumption per Person of Dairy Products (Kg)","2002","Cream",NA
"561","Self Sufficiency in Dairy Products (%)","2002","Cream",99
"562","Usable Dairy Production (Tonnes)","2003","Cream",19
"563","Dairy Imports (Tonnes)","2003","Cream",2
"564","Supplies = Uses of Milk Products (Tonnes)","2003","Cream",NA
"565","Dairy Exports (Tonnes)","2003","Cream",2
"566","Variation in Dairy Stocks (Tonnes)","2003","Cream",0
"567","Dairy Products for Domestic Use (Tonnes)","2003","Cream",19
"568","Dairy Products for Industrial Uses (Tonnes)","2003","Cream",10
"569","Human Consumption of Dairy Products (Tonnes)","2003","Cream",10
"570","Consumption per Person of Dairy Products (Litres)","2003","Cream",2
"571","Consumption per Person of Dairy Products (Kg)","2003","Cream",NA
"572","Self Sufficiency in Dairy Products (%)","2003","Cream",100
"573","Usable Dairy Production (Tonnes)","2004","Cream",20
"574","Dairy Imports (Tonnes)","2004","Cream",6
"575","Supplies = Uses of Milk Products (Tonnes)","2004","Cream",NA
"576","Dairy Exports (Tonnes)","2004","Cream",2
"577","Variation in Dairy Stocks (Tonnes)","2004","Cream",0
"578","Dairy Products for Domestic Use (Tonnes)","2004","Cream",24
"579","Dairy Products for Industrial Uses (Tonnes)","2004","Cream",14
"580","Human Consumption of Dairy Products (Tonnes)","2004","Cream",10
"581","Consumption per Person of Dairy Products (Litres)","2004","Cream",3
"582","Consumption per Person of Dairy Products (Kg)","2004","Cream",NA
"583","Self Sufficiency in Dairy Products (%)","2004","Cream",84
"584","Usable Dairy Production (Tonnes)","2005","Cream",22
"585","Dairy Imports (Tonnes)","2005","Cream",4
"586","Supplies = Uses of Milk Products (Tonnes)","2005","Cream",26
"587","Dairy Exports (Tonnes)","2005","Cream",7
"588","Variation in Dairy Stocks (Tonnes)","2005","Cream",0
"589","Dairy Products for Domestic Use (Tonnes)","2005","Cream",19
"590","Dairy Products for Industrial Uses (Tonnes)","2005","Cream",8
"591","Human Consumption of Dairy Products (Tonnes)","2005","Cream",11
"592","Consumption per Person of Dairy Products (Litres)","2005","Cream",3
"593","Consumption per Person of Dairy Products (Kg)","2005","Cream",NA
"594","Self Sufficiency in Dairy Products (%)","2005","Cream",117
"595","Usable Dairy Production (Tonnes)","2006","Cream",22
"596","Dairy Imports (Tonnes)","2006","Cream",11
"597","Supplies = Uses of Milk Products (Tonnes)","2006","Cream",33
"598","Dairy Exports (Tonnes)","2006","Cream",2
"599","Variation in Dairy Stocks (Tonnes)","2006","Cream",0
"600","Dairy Products for Domestic Use (Tonnes)","2006","Cream",31
"601","Dairy Products for Industrial Uses (Tonnes)","2006","Cream",20
"602","Human Consumption of Dairy Products (Tonnes)","2006","Cream",11
"603","Consumption per Person of Dairy Products (Litres)","2006","Cream",3
"604","Consumption per Person of Dairy Products (Kg)","2006","Cream",NA
"605","Self Sufficiency in Dairy Products (%)","2006","Cream",72
"606","Usable Dairy Production (Tonnes)","2007","Cream",22
"607","Dairy Imports (Tonnes)","2007","Cream",7
"608","Supplies = Uses of Milk Products (Tonnes)","2007","Cream",30
"609","Dairy Exports (Tonnes)","2007","Cream",2
"610","Variation in Dairy Stocks (Tonnes)","2007","Cream",0
"611","Dairy Products for Domestic Use (Tonnes)","2007","Cream",28
"612","Dairy Products for Industrial Uses (Tonnes)","2007","Cream",16
"613","Human Consumption of Dairy Products (Tonnes)","2007","Cream",11
"614","Consumption per Person of Dairy Products (Litres)","2007","Cream",3
"615","Consumption per Person of Dairy Products (Kg)","2007","Cream",NA
"616","Self Sufficiency in Dairy Products (%)","2007","Cream",81
"617","Usable Dairy Production (Tonnes)","2008","Cream",22
"618","Dairy Imports (Tonnes)","2008","Cream",6
"619","Supplies = Uses of Milk Products (Tonnes)","2008","Cream",28
"620","Dairy Exports (Tonnes)","2008","Cream",1
"621","Variation in Dairy Stocks (Tonnes)","2008","Cream",0
"622","Dairy Products for Domestic Use (Tonnes)","2008","Cream",27
"623","Dairy Products for Industrial Uses (Tonnes)","2008","Cream",16
"624","Human Consumption of Dairy Products (Tonnes)","2008","Cream",11
"625","Consumption per Person of Dairy Products (Litres)","2008","Cream",3
"626","Consumption per Person of Dairy Products (Kg)","2008","Cream",NA
"627","Self Sufficiency in Dairy Products (%)","2008","Cream",81
"628","Usable Dairy Production (Tonnes)","2009","Cream",21
"629","Dairy Imports (Tonnes)","2009","Cream",6
"630","Supplies = Uses of Milk Products (Tonnes)","2009","Cream",28
"631","Dairy Exports (Tonnes)","2009","Cream",2
"632","Variation in Dairy Stocks (Tonnes)","2009","Cream",0
"633","Dairy Products for Domestic Use (Tonnes)","2009","Cream",25
"634","Dairy Products for Industrial Uses (Tonnes)","2009","Cream",15
"635","Human Consumption of Dairy Products (Tonnes)","2009","Cream",11
"636","Consumption per Person of Dairy Products (Litres)","2009","Cream",2
"637","Consumption per Person of Dairy Products (Kg)","2009","Cream",NA
"638","Self Sufficiency in Dairy Products (%)","2009","Cream",84
"639","Usable Dairy Production (Tonnes)","2010","Cream",21
"640","Dairy Imports (Tonnes)","2010","Cream",6
"641","Supplies = Uses of Milk Products (Tonnes)","2010","Cream",27
"642","Dairy Exports (Tonnes)","2010","Cream",3
"643","Variation in Dairy Stocks (Tonnes)","2010","Cream",0
"644","Dairy Products for Domestic Use (Tonnes)","2010","Cream",24
"645","Dairy Products for Industrial Uses (Tonnes)","2010","Cream",14
"646","Human Consumption of Dairy Products (Tonnes)","2010","Cream",10
"647","Consumption per Person of Dairy Products (Litres)","2010","Cream",2
"648","Consumption per Person of Dairy Products (Kg)","2010","Cream",NA
"649","Self Sufficiency in Dairy Products (%)","2010","Cream",86
"650","Usable Dairy Production (Tonnes)","2011","Cream",21
"651","Dairy Imports (Tonnes)","2011","Cream",7
"652","Supplies = Uses of Milk Products (Tonnes)","2011","Cream",28
"653","Dairy Exports (Tonnes)","2011","Cream",3
"654","Variation in Dairy Stocks (Tonnes)","2011","Cream",0
"655","Dairy Products for Domestic Use (Tonnes)","2011","Cream",25
"656","Dairy Products for Industrial Uses (Tonnes)","2011","Cream",15
"657","Human Consumption of Dairy Products (Tonnes)","2011","Cream",10
"658","Consumption per Person of Dairy Products (Litres)","2011","Cream",2
"659","Consumption per Person of Dairy Products (Kg)","2011","Cream",NA
"660","Self Sufficiency in Dairy Products (%)","2011","Cream",82
"661","Usable Dairy Production (Tonnes)","1992","Milk Powder",157
"662","Dairy Imports (Tonnes)","1992","Milk Powder",2
"663","Supplies = Uses of Milk Products (Tonnes)","1992","Milk Powder",NA
"664","Dairy Exports (Tonnes)","1992","Milk Powder",294
"665","Variation in Dairy Stocks (Tonnes)","1992","Milk Powder",-144
"666","Dairy Products for Domestic Use (Tonnes)","1992","Milk Powder",9
"667","Dairy Products for Industrial Uses (Tonnes)","1992","Milk Powder",9
"668","Human Consumption of Dairy Products (Tonnes)","1992","Milk Powder",0
"669","Consumption per Person of Dairy Products (Litres)","1992","Milk Powder",0
"670","Consumption per Person of Dairy Products (Kg)","1992","Milk Powder",NA
"671","Self Sufficiency in Dairy Products (%)","1992","Milk Powder",1794
"672","Usable Dairy Production (Tonnes)","1993","Milk Powder",166
"673","Dairy Imports (Tonnes)","1993","Milk Powder",3
"674","Supplies = Uses of Milk Products (Tonnes)","1993","Milk Powder",NA
"675","Dairy Exports (Tonnes)","1993","Milk Powder",176
"676","Variation in Dairy Stocks (Tonnes)","1993","Milk Powder",-18
"677","Dairy Products for Domestic Use (Tonnes)","1993","Milk Powder",11
"678","Dairy Products for Industrial Uses (Tonnes)","1993","Milk Powder",10
"679","Human Consumption of Dairy Products (Tonnes)","1993","Milk Powder",1
"680","Consumption per Person of Dairy Products (Litres)","1993","Milk Powder",0
"681","Consumption per Person of Dairy Products (Kg)","1993","Milk Powder",NA
"682","Self Sufficiency in Dairy Products (%)","1993","Milk Powder",1472
"683","Usable Dairy Production (Tonnes)","1994","Milk Powder",161
"684","Dairy Imports (Tonnes)","1994","Milk Powder",7
"685","Supplies = Uses of Milk Products (Tonnes)","1994","Milk Powder",NA
"686","Dairy Exports (Tonnes)","1994","Milk Powder",139
"687","Variation in Dairy Stocks (Tonnes)","1994","Milk Powder",15
"688","Dairy Products for Domestic Use (Tonnes)","1994","Milk Powder",14
"689","Dairy Products for Industrial Uses (Tonnes)","1994","Milk Powder",13
"690","Human Consumption of Dairy Products (Tonnes)","1994","Milk Powder",0
"691","Consumption per Person of Dairy Products (Litres)","1994","Milk Powder",0
"692","Consumption per Person of Dairy Products (Kg)","1994","Milk Powder",NA
"693","Self Sufficiency in Dairy Products (%)","1994","Milk Powder",1193
"694","Usable Dairy Production (Tonnes)","1995","Milk Powder",140
"695","Dairy Imports (Tonnes)","1995","Milk Powder",6
"696","Supplies = Uses of Milk Products (Tonnes)","1995","Milk Powder",NA
"697","Dairy Exports (Tonnes)","1995","Milk Powder",203
"698","Variation in Dairy Stocks (Tonnes)","1995","Milk Powder",-71
"699","Dairy Products for Domestic Use (Tonnes)","1995","Milk Powder",14
"700","Dairy Products for Industrial Uses (Tonnes)","1995","Milk Powder",14
"701","Human Consumption of Dairy Products (Tonnes)","1995","Milk Powder",0
"702","Consumption per Person of Dairy Products (Litres)","1995","Milk Powder",0
"703","Consumption per Person of Dairy Products (Kg)","1995","Milk Powder",NA
"704","Self Sufficiency in Dairy Products (%)","1995","Milk Powder",1003
"705","Usable Dairy Production (Tonnes)","1996","Milk Powder",152
"706","Dairy Imports (Tonnes)","1996","Milk Powder",10
"707","Supplies = Uses of Milk Products (Tonnes)","1996","Milk Powder",NA
"708","Dairy Exports (Tonnes)","1996","Milk Powder",107
"709","Variation in Dairy Stocks (Tonnes)","1996","Milk Powder",40
"710","Dairy Products for Domestic Use (Tonnes)","1996","Milk Powder",14
"711","Dairy Products for Industrial Uses (Tonnes)","1996","Milk Powder",14
"712","Human Consumption of Dairy Products (Tonnes)","1996","Milk Powder",0
"713","Consumption per Person of Dairy Products (Litres)","1996","Milk Powder",0
"714","Consumption per Person of Dairy Products (Kg)","1996","Milk Powder",NA
"715","Self Sufficiency in Dairy Products (%)","1996","Milk Powder",1065
"716","Usable Dairy Production (Tonnes)","1997","Milk Powder",140
"717","Dairy Imports (Tonnes)","1997","Milk Powder",20
"718","Supplies = Uses of Milk Products (Tonnes)","1997","Milk Powder",NA
"719","Dairy Exports (Tonnes)","1997","Milk Powder",183
"720","Variation in Dairy Stocks (Tonnes)","1997","Milk Powder",-37
"721","Dairy Products for Domestic Use (Tonnes)","1997","Milk Powder",14
"722","Dairy Products for Industrial Uses (Tonnes)","1997","Milk Powder",13
"723","Human Consumption of Dairy Products (Tonnes)","1997","Milk Powder",1
"724","Consumption per Person of Dairy Products (Litres)","1997","Milk Powder",0
"725","Consumption per Person of Dairy Products (Kg)","1997","Milk Powder",NA
"726","Self Sufficiency in Dairy Products (%)","1997","Milk Powder",978
"727","Usable Dairy Production (Tonnes)","1998","Milk Powder",132
"728","Dairy Imports (Tonnes)","1998","Milk Powder",4
"729","Supplies = Uses of Milk Products (Tonnes)","1998","Milk Powder",NA
"730","Dairy Exports (Tonnes)","1998","Milk Powder",93
"731","Variation in Dairy Stocks (Tonnes)","1998","Milk Powder",29
"732","Dairy Products for Domestic Use (Tonnes)","1998","Milk Powder",14
"733","Dairy Products for Industrial Uses (Tonnes)","1998","Milk Powder",14
"734","Human Consumption of Dairy Products (Tonnes)","1998","Milk Powder",0
"735","Consumption per Person of Dairy Products (Litres)","1998","Milk Powder",0
"736","Consumption per Person of Dairy Products (Kg)","1998","Milk Powder",NA
"737","Self Sufficiency in Dairy Products (%)","1998","Milk Powder",957
"738","Usable Dairy Production (Tonnes)","1999","Milk Powder",129
"739","Dairy Imports (Tonnes)","1999","Milk Powder",8
"740","Supplies = Uses of Milk Products (Tonnes)","1999","Milk Powder",NA
"741","Dairy Exports (Tonnes)","1999","Milk Powder",129
"742","Variation in Dairy Stocks (Tonnes)","1999","Milk Powder",-5
"743","Dairy Products for Domestic Use (Tonnes)","1999","Milk Powder",14
"744","Dairy Products for Industrial Uses (Tonnes)","1999","Milk Powder",13
"745","Human Consumption of Dairy Products (Tonnes)","1999","Milk Powder",1
"746","Consumption per Person of Dairy Products (Litres)","1999","Milk Powder",0
"747","Consumption per Person of Dairy Products (Kg)","1999","Milk Powder",NA
"748","Self Sufficiency in Dairy Products (%)","1999","Milk Powder",946
"749","Usable Dairy Production (Tonnes)","2000","Milk Powder",121
"750","Dairy Imports (Tonnes)","2000","Milk Powder",7
"751","Supplies = Uses of Milk Products (Tonnes)","2000","Milk Powder",NA
"752","Dairy Exports (Tonnes)","2000","Milk Powder",173
"753","Variation in Dairy Stocks (Tonnes)","2000","Milk Powder",-61
"754","Dairy Products for Domestic Use (Tonnes)","2000","Milk Powder",16
"755","Dairy Products for Industrial Uses (Tonnes)","2000","Milk Powder",16
"756","Human Consumption of Dairy Products (Tonnes)","2000","Milk Powder",0
"757","Consumption per Person of Dairy Products (Litres)","2000","Milk Powder",0
"758","Consumption per Person of Dairy Products (Kg)","2000","Milk Powder",NA
"759","Self Sufficiency in Dairy Products (%)","2000","Milk Powder",756
"760","Usable Dairy Production (Tonnes)","2001","Milk Powder",120
"761","Dairy Imports (Tonnes)","2001","Milk Powder",6
"762","Supplies = Uses of Milk Products (Tonnes)","2001","Milk Powder",NA
"763","Dairy Exports (Tonnes)","2001","Milk Powder",84
"764","Variation in Dairy Stocks (Tonnes)","2001","Milk Powder",30
"765","Dairy Products for Domestic Use (Tonnes)","2001","Milk Powder",12
"766","Dairy Products for Industrial Uses (Tonnes)","2001","Milk Powder",12
"767","Human Consumption of Dairy Products (Tonnes)","2001","Milk Powder",0
"768","Consumption per Person of Dairy Products (Litres)","2001","Milk Powder",0
"769","Consumption per Person of Dairy Products (Kg)","2001","Milk Powder",NA
"770","Self Sufficiency in Dairy Products (%)","2001","Milk Powder",976
"771","Usable Dairy Production (Tonnes)","2002","Milk Powder",124
"772","Dairy Imports (Tonnes)","2002","Milk Powder",5
"773","Supplies = Uses of Milk Products (Tonnes)","2002","Milk Powder",NA
"774","Dairy Exports (Tonnes)","2002","Milk Powder",70
"775","Variation in Dairy Stocks (Tonnes)","2002","Milk Powder",50
"776","Dairy Products for Domestic Use (Tonnes)","2002","Milk Powder",10
"777","Dairy Products for Industrial Uses (Tonnes)","2002","Milk Powder",0
"778","Human Consumption of Dairy Products (Tonnes)","2002","Milk Powder",0
"779","Consumption per Person of Dairy Products (Litres)","2002","Milk Powder",0
"780","Consumption per Person of Dairy Products (Kg)","2002","Milk Powder",NA
"781","Self Sufficiency in Dairy Products (%)","2002","Milk Powder",1266
"782","Usable Dairy Production (Tonnes)","2003","Milk Powder",111
"783","Dairy Imports (Tonnes)","2003","Milk Powder",8
"784","Supplies = Uses of Milk Products (Tonnes)","2003","Milk Powder",NA
"785","Dairy Exports (Tonnes)","2003","Milk Powder",91
"786","Variation in Dairy Stocks (Tonnes)","2003","Milk Powder",18
"787","Dairy Products for Domestic Use (Tonnes)","2003","Milk Powder",10
"788","Dairy Products for Industrial Uses (Tonnes)","2003","Milk Powder",0
"789","Human Consumption of Dairy Products (Tonnes)","2003","Milk Powder",0
"790","Consumption per Person of Dairy Products (Litres)","2003","Milk Powder",0
"791","Consumption per Person of Dairy Products (Kg)","2003","Milk Powder",NA
"792","Self Sufficiency in Dairy Products (%)","2003","Milk Powder",1088
"793","Usable Dairy Production (Tonnes)","2004","Milk Powder",98
"794","Dairy Imports (Tonnes)","2004","Milk Powder",10
"795","Supplies = Uses of Milk Products (Tonnes)","2004","Milk Powder",NA
"796","Dairy Exports (Tonnes)","2004","Milk Powder",88
"797","Variation in Dairy Stocks (Tonnes)","2004","Milk Powder",19
"798","Dairy Products for Domestic Use (Tonnes)","2004","Milk Powder",0
"799","Dairy Products for Industrial Uses (Tonnes)","2004","Milk Powder",0
"800","Human Consumption of Dairy Products (Tonnes)","2004","Milk Powder",0
"801","Consumption per Person of Dairy Products (Litres)","2004","Milk Powder",0
"802","Consumption per Person of Dairy Products (Kg)","2004","Milk Powder",NA
"803","Self Sufficiency in Dairy Products (%)","2004","Milk Powder",0
"804","Usable Dairy Production (Tonnes)","2005","Milk Powder",95
"805","Dairy Imports (Tonnes)","2005","Milk Powder",34
"806","Supplies = Uses of Milk Products (Tonnes)","2005","Milk Powder",129
"807","Dairy Exports (Tonnes)","2005","Milk Powder",103
"808","Variation in Dairy Stocks (Tonnes)","2005","Milk Powder",NA
"809","Dairy Products for Domestic Use (Tonnes)","2005","Milk Powder",NA
"810","Dairy Products for Industrial Uses (Tonnes)","2005","Milk Powder",NA
"811","Human Consumption of Dairy Products (Tonnes)","2005","Milk Powder",NA
"812","Consumption per Person of Dairy Products (Litres)","2005","Milk Powder",NA
"813","Consumption per Person of Dairy Products (Kg)","2005","Milk Powder",NA
"814","Self Sufficiency in Dairy Products (%)","2005","Milk Powder",NA
"815","Usable Dairy Production (Tonnes)","2006","Milk Powder",108
"816","Dairy Imports (Tonnes)","2006","Milk Powder",24
"817","Supplies = Uses of Milk Products (Tonnes)","2006","Milk Powder",132
"818","Dairy Exports (Tonnes)","2006","Milk Powder",130
"819","Variation in Dairy Stocks (Tonnes)","2006","Milk Powder",NA
"820","Dairy Products for Domestic Use (Tonnes)","2006","Milk Powder",NA
"821","Dairy Products for Industrial Uses (Tonnes)","2006","Milk Powder",NA
"822","Human Consumption of Dairy Products (Tonnes)","2006","Milk Powder",NA
"823","Consumption per Person of Dairy Products (Litres)","2006","Milk Powder",NA
"824","Consumption per Person of Dairy Products (Kg)","2006","Milk Powder",NA
"825","Self Sufficiency in Dairy Products (%)","2006","Milk Powder",NA
"826","Usable Dairy Production (Tonnes)","2007","Milk Powder",117
"827","Dairy Imports (Tonnes)","2007","Milk Powder",15
"828","Supplies = Uses of Milk Products (Tonnes)","2007","Milk Powder",132
"829","Dairy Exports (Tonnes)","2007","Milk Powder",128
"830","Variation in Dairy Stocks (Tonnes)","2007","Milk Powder",NA
"831","Dairy Products for Domestic Use (Tonnes)","2007","Milk Powder",NA
"832","Dairy Products for Industrial Uses (Tonnes)","2007","Milk Powder",NA
"833","Human Consumption of Dairy Products (Tonnes)","2007","Milk Powder",NA
"834","Consumption per Person of Dairy Products (Litres)","2007","Milk Powder",NA
"835","Consumption per Person of Dairy Products (Kg)","2007","Milk Powder",NA
"836","Self Sufficiency in Dairy Products (%)","2007","Milk Powder",NA
"837","Usable Dairy Production (Tonnes)","2008","Milk Powder",88
"838","Dairy Imports (Tonnes)","2008","Milk Powder",12
"839","Supplies = Uses of Milk Products (Tonnes)","2008","Milk Powder",100
"840","Dairy Exports (Tonnes)","2008","Milk Powder",95
"841","Variation in Dairy Stocks (Tonnes)","2008","Milk Powder",NA
"842","Dairy Products for Domestic Use (Tonnes)","2008","Milk Powder",NA
"843","Dairy Products for Industrial Uses (Tonnes)","2008","Milk Powder",NA
"844","Human Consumption of Dairy Products (Tonnes)","2008","Milk Powder",NA
"845","Consumption per Person of Dairy Products (Litres)","2008","Milk Powder",NA
"846","Consumption per Person of Dairy Products (Kg)","2008","Milk Powder",NA
"847","Self Sufficiency in Dairy Products (%)","2008","Milk Powder",NA
"848","Usable Dairy Production (Tonnes)","2009","Milk Powder",100
"849","Dairy Imports (Tonnes)","2009","Milk Powder",7
"850","Supplies = Uses of Milk Products (Tonnes)","2009","Milk Powder",107
"851","Dairy Exports (Tonnes)","2009","Milk Powder",81
"852","Variation in Dairy Stocks (Tonnes)","2009","Milk Powder",NA
"853","Dairy Products for Domestic Use (Tonnes)","2009","Milk Powder",NA
"854","Dairy Products for Industrial Uses (Tonnes)","2009","Milk Powder",NA
"855","Human Consumption of Dairy Products (Tonnes)","2009","Milk Powder",NA
"856","Consumption per Person of Dairy Products (Litres)","2009","Milk Powder",NA
"857","Consumption per Person of Dairy Products (Kg)","2009","Milk Powder",NA
"858","Self Sufficiency in Dairy Products (%)","2009","Milk Powder",NA
"859","Usable Dairy Production (Tonnes)","2010","Milk Powder",94
"860","Dairy Imports (Tonnes)","2010","Milk Powder",9
