"","Year","County","Size.of.Holding","value"
"4743","1875","Louth","100-200 Acres",246
"4744","1880","Louth","100-200 Acres",232
"4745","1885","Louth","100-200 Acres",243
"4746","1890","Louth","100-200 Acres",246
"4747","1895","Louth","100-200 Acres",241
"4748","1900","Louth","100-200 Acres",231
"4749","1905","Louth","100-200 Acres",232
"4750","1910","Louth","100-200 Acres",240
"4751","1915","Louth","100-200 Acres",231
"4752","1930","Louth","100-200 Acres",234
"4753","1940","Louth","100-200 Acres",250
"4754","1945","Louth","100-200 Acres",252
"4755","1950","Louth","100-200 Acres",254
"4756","1955","Louth","100-200 Acres",278
"4757","1960","Louth","100-200 Acres",290
"4758","1965","Louth","100-200 Acres",304
"4759","1970","Louth","100-200 Acres",289
"4760","1975","Louth","100-200 Acres",305
"4761","1980","Louth","100-200 Acres",290
"4762","1855","Meath","100-200 Acres",979
"4763","1860","Meath","100-200 Acres",983
"4764","1865","Meath","100-200 Acres",965
"4765","1870","Meath","100-200 Acres",943
"4766","1875","Meath","100-200 Acres",926
"4767","1880","Meath","100-200 Acres",900
"4768","1885","Meath","100-200 Acres",931
"4769","1890","Meath","100-200 Acres",934
"4770","1895","Meath","100-200 Acres",929
"4771","1900","Meath","100-200 Acres",921
"4772","1905","Meath","100-200 Acres",911
"4773","1910","Meath","100-200 Acres",914
"4774","1915","Meath","100-200 Acres",735
"4775","1930","Meath","100-200 Acres",810
"4776","1940","Meath","100-200 Acres",859
"4777","1945","Meath","100-200 Acres",867
"4778","1950","Meath","100-200 Acres",878
"4779","1955","Meath","100-200 Acres",877
"4780","1960","Meath","100-200 Acres",883
"4781","1965","Meath","100-200 Acres",952
"4782","1970","Meath","100-200 Acres",955
"4783","1975","Meath","100-200 Acres",935
"4784","1980","Meath","100-200 Acres",942
"4785","1855","Offaly","100-200 Acres",490
"4786","1860","Offaly","100-200 Acres",478
"4787","1865","Offaly","100-200 Acres",522
"4788","1870","Offaly","100-200 Acres",511
"4789","1875","Offaly","100-200 Acres",533
"4790","1880","Offaly","100-200 Acres",536
"4791","1885","Offaly","100-200 Acres",547
"4792","1890","Offaly","100-200 Acres",547
"4793","1895","Offaly","100-200 Acres",562
"4794","1900","Offaly","100-200 Acres",548
"4795","1905","Offaly","100-200 Acres",566
"4796","1910","Offaly","100-200 Acres",581
"4797","1915","Offaly","100-200 Acres",554
"4798","1930","Offaly","100-200 Acres",599
"4799","1940","Offaly","100-200 Acres",629
"4800","1945","Offaly","100-200 Acres",663
"4801","1950","Offaly","100-200 Acres",676
"4802","1955","Offaly","100-200 Acres",676
"4803","1960","Offaly","100-200 Acres",731
"4804","1965","Offaly","100-200 Acres",735
"4805","1970","Offaly","100-200 Acres",719
"4806","1975","Offaly","100-200 Acres",748
"4807","1980","Offaly","100-200 Acres",772
"4808","1855","Westmeath","100-200 Acres",533
"4809","1860","Westmeath","100-200 Acres",515
"4810","1865","Westmeath","100-200 Acres",552
"4811","1870","Westmeath","100-200 Acres",540
"4812","1875","Westmeath","100-200 Acres",562
"4813","1880","Westmeath","100-200 Acres",541
"4814","1885","Westmeath","100-200 Acres",531
"4815","1890","Westmeath","100-200 Acres",543
"4816","1895","Westmeath","100-200 Acres",545
"4817","1900","Westmeath","100-200 Acres",540
"4818","1905","Westmeath","100-200 Acres",534
"4819","1910","Westmeath","100-200 Acres",533
"4820","1915","Westmeath","100-200 Acres",518
"4821","1930","Westmeath","100-200 Acres",552
"4822","1940","Westmeath","100-200 Acres",532
"4823","1945","Westmeath","100-200 Acres",554
"4824","1950","Westmeath","100-200 Acres",590
"4825","1955","Westmeath","100-200 Acres",601
"4826","1960","Westmeath","100-200 Acres",631
"4827","1965","Westmeath","100-200 Acres",656
"4828","1970","Westmeath","100-200 Acres",669
"4829","1975","Westmeath","100-200 Acres",668
"4830","1980","Westmeath","100-200 Acres",665
"4831","1855","Wexford","100-200 Acres",706
"4832","1860","Wexford","100-200 Acres",741
"4833","1865","Wexford","100-200 Acres",787
"4834","1870","Wexford","100-200 Acres",784
"4835","1875","Wexford","100-200 Acres",812
"4836","1880","Wexford","100-200 Acres",837
"4837","1885","Wexford","100-200 Acres",862
"4838","1890","Wexford","100-200 Acres",864
"4839","1895","Wexford","100-200 Acres",873
"4840","1900","Wexford","100-200 Acres",871
"4841","1905","Wexford","100-200 Acres",869
"4842","1910","Wexford","100-200 Acres",865
"4843","1915","Wexford","100-200 Acres",989
"4844","1930","Wexford","100-200 Acres",1134
"4845","1940","Wexford","100-200 Acres",1220
"4846","1945","Wexford","100-200 Acres",1256
"4847","1950","Wexford","100-200 Acres",1255
"4848","1955","Wexford","100-200 Acres",1297
"4849","1960","Wexford","100-200 Acres",1387
"4850","1965","Wexford","100-200 Acres",1357
"4851","1970","Wexford","100-200 Acres",1370
"4852","1975","Wexford","100-200 Acres",1381
"4853","1980","Wexford","100-200 Acres",1358
"4854","1855","Wicklow","100-200 Acres",635
"4855","1860","Wicklow","100-200 Acres",662
"4856","1865","Wicklow","100-200 Acres",641
"4857","1870","Wicklow","100-200 Acres",659
"4858","1875","Wicklow","100-200 Acres",652
"4859","1880","Wicklow","100-200 Acres",686
"4860","1885","Wicklow","100-200 Acres",697
"4861","1890","Wicklow","100-200 Acres",716
"4862","1895","Wicklow","100-200 Acres",708
"4863","1900","Wicklow","100-200 Acres",730
"4864","1905","Wicklow","100-200 Acres",715
"4865","1910","Wicklow","100-200 Acres",725
"4866","1915","Wicklow","100-200 Acres",694
"4867","1930","Wicklow","100-200 Acres",724
"4868","1940","Wicklow","100-200 Acres",706
"4869","1945","Wicklow","100-200 Acres",711
"4870","1950","Wicklow","100-200 Acres",734
"4871","1955","Wicklow","100-200 Acres",736
"4872","1960","Wicklow","100-200 Acres",747
"4873","1965","Wicklow","100-200 Acres",732
"4874","1970","Wicklow","100-200 Acres",729
"4875","1975","Wicklow","100-200 Acres",722
"4876","1980","Wicklow","100-200 Acres",713
"4877","1855","Munster","100-200 Acres",8567
"4878","1860","Munster","100-200 Acres",8673
"4879","1865","Munster","100-200 Acres",8855
"4880","1870","Munster","100-200 Acres",8800
"4881","1875","Munster","100-200 Acres",8955
"4882","1880","Munster","100-200 Acres",9022
"4883","1885","Munster","100-200 Acres",9138
"4884","1890","Munster","100-200 Acres",9264
"4885","1895","Munster","100-200 Acres",9225
"4886","1900","Munster","100-200 Acres",9325
"4887","1905","Munster","100-200 Acres",9316
"4888","1910","Munster","100-200 Acres",9424
"4889","1915","Munster","100-200 Acres",9791
"4890","1930","Munster","100-200 Acres",10023
"4891","1940","Munster","100-200 Acres",10027
"4892","1945","Munster","100-200 Acres",10136
"4893","1950","Munster","100-200 Acres",10236
"4894","1955","Munster","100-200 Acres",10274
"4895","1960","Munster","100-200 Acres",10525
"4896","1965","Munster","100-200 Acres",10761
"4897","1970","Munster","100-200 Acres",10776
"4898","1975","Munster","100-200 Acres",10791
"4899","1980","Munster","100-200 Acres",10804
"4900","1855","Clare","100-200 Acres",905
"4901","1860","Clare","100-200 Acres",907
"4902","1865","Clare","100-200 Acres",929
"4903","1870","Clare","100-200 Acres",899
"4904","1875","Clare","100-200 Acres",946
"4905","1880","Clare","100-200 Acres",941
"4906","1885","Clare","100-200 Acres",963
"4907","1890","Clare","100-200 Acres",933
"4908","1895","Clare","100-200 Acres",914
"4909","1900","Clare","100-200 Acres",939
"4910","1905","Clare","100-200 Acres",948
"4911","1910","Clare","100-200 Acres",935
"4912","1915","Clare","100-200 Acres",928
"4913","1930","Clare","100-200 Acres",1001
"4914","1940","Clare","100-200 Acres",972
"4915","1945","Clare","100-200 Acres",963
"4916","1950","Clare","100-200 Acres",981
"4917","1955","Clare","100-200 Acres",991
"4918","1960","Clare","100-200 Acres",1099
"4919","1965","Clare","100-200 Acres",1137
"4920","1970","Clare","100-200 Acres",1102
"4921","1975","Clare","100-200 Acres",1109
"4922","1980","Clare","100-200 Acres",1111
"4923","1855","Cork","100-200 Acres",3120
"4924","1860","Cork","100-200 Acres",3132
"4925","1865","Cork","100-200 Acres",3132
"4926","1870","Cork","100-200 Acres",3116
"4927","1875","Cork","100-200 Acres",3137
"4928","1880","Cork","100-200 Acres",3199
"4929","1885","Cork","100-200 Acres",3301
"4930","1890","Cork","100-200 Acres",3350
"4931","1895","Cork","100-200 Acres",3347
"4932","1900","Cork","100-200 Acres",3342
"4933","1905","Cork","100-200 Acres",3391
"4934","1910","Cork","100-200 Acres",3373
"4935","1915","Cork","100-200 Acres",3555
"4936","1930","Cork","100-200 Acres",3756
"4937","1940","Cork","100-200 Acres",3778
"4938","1945","Cork","100-200 Acres",3846
"4939","1950","Cork","100-200 Acres",3869
"4940","1955","Cork","100-200 Acres",3864
"4941","1960","Cork","100-200 Acres",3902
"4942","1965","Cork","100-200 Acres",3971
"4943","1970","Cork","100-200 Acres",3961
"4944","1975","Cork","100-200 Acres",3919
"4945","1980","Cork","100-200 Acres",3949
"4946","1855","Kerry","100-200 Acres",1586
"4947","1860","Kerry","100-200 Acres",1623
"4948","1865","Kerry","100-200 Acres",1642
"4949","1870","Kerry","100-200 Acres",1650
"4950","1875","Kerry","100-200 Acres",1696
"4951","1880","Kerry","100-200 Acres",1655
"4952","1885","Kerry","100-200 Acres",1627
"4953","1890","Kerry","100-200 Acres",1684
"4954","1895","Kerry","100-200 Acres",1635
"4955","1900","Kerry","100-200 Acres",1698
"4956","1905","Kerry","100-200 Acres",1672
"4957","1910","Kerry","100-200 Acres",1736
"4958","1915","Kerry","100-200 Acres",1736
"4959","1930","Kerry","100-200 Acres",1454
"4960","1940","Kerry","100-200 Acres",1324
"4961","1945","Kerry","100-200 Acres",1327
"4962","1950","Kerry","100-200 Acres",1301
"4963","1955","Kerry","100-200 Acres",1294
"4964","1960","Kerry","100-200 Acres",1329
"4965","1965","Kerry","100-200 Acres",1342
"4966","1970","Kerry","100-200 Acres",1341
"4967","1975","Kerry","100-200 Acres",1354
"4968","1980","Kerry","100-200 Acres",1362
"4969","1855","Limerick","100-200 Acres",975
"4970","1860","Limerick","100-200 Acres",1009
"4971","1865","Limerick","100-200 Acres",1042
"4972","1870","Limerick","100-200 Acres",1040
"4973","1875","Limerick","100-200 Acres",1030
"4974","1880","Limerick","100-200 Acres",1019
"4975","1885","Limerick","100-200 Acres",1046
"4976","1890","Limerick","100-200 Acres",1007
"4977","1895","Limerick","100-200 Acres",1037
"4978","1900","Limerick","100-200 Acres",1041
"4979","1905","Limerick","100-200 Acres",1031
"4980","1910","Limerick","100-200 Acres",1038
"4981","1915","Limerick","100-200 Acres",1129
"4982","1930","Limerick","100-200 Acres",1163
"4983","1940","Limerick","100-200 Acres",1202
"4984","1945","Limerick","100-200 Acres",1220
"4985","1950","Limerick","100-200 Acres",1244
"4986","1955","Limerick","100-200 Acres",1239
"4987","1960","Limerick","100-200 Acres",1277
"4988","1965","Limerick","100-200 Acres",1293
"4989","1970","Limerick","100-200 Acres",1314
"4990","1975","Limerick","100-200 Acres",1316
"4991","1980","Limerick","100-200 Acres",1318
"4992","1855","Tipperary","100-200 Acres",1281
"4993","1860","Tipperary","100-200 Acres",1281
"4994","1865","Tipperary","100-200 Acres",1343
"4995","1870","Tipperary","100-200 Acres",1323
"4996","1875","Tipperary","100-200 Acres",1372
"4997","1880","Tipperary","100-200 Acres",1416
"4998","1885","Tipperary","100-200 Acres",1417
"4999","1890","Tipperary","100-200 Acres",1463
"5000","1895","Tipperary","100-200 Acres",1467
"5001","1900","Tipperary","100-200 Acres",1480
"5002","1905","Tipperary","100-200 Acres",1464
"5003","1910","Tipperary","100-200 Acres",1513
"5004","1915","Tipperary","100-200 Acres",1579
"5005","1930","Tipperary","100-200 Acres",1748
"5006","1940","Tipperary","100-200 Acres",1833
"5007","1945","Tipperary","100-200 Acres",1825
"5008","1950","Tipperary","100-200 Acres",1893
"5009","1955","Tipperary","100-200 Acres",1926
"5010","1960","Tipperary","100-200 Acres",1996
"5011","1965","Tipperary","100-200 Acres",2082
"5012","1970","Tipperary","100-200 Acres",2089
"5013","1975","Tipperary","100-200 Acres",2128
"5014","1980","Tipperary","100-200 Acres",2119
"5015","1855","Tipperary NR","100-200 Acres",NA
"5016","1860","Tipperary NR","100-200 Acres",NA
"5017","1865","Tipperary NR","100-200 Acres",NA
"5018","1870","Tipperary NR","100-200 Acres",NA
"5019","1875","Tipperary NR","100-200 Acres",NA
"5020","1880","Tipperary NR","100-200 Acres",NA
"5021","1885","Tipperary NR","100-200 Acres",NA
"5022","1890","Tipperary NR","100-200 Acres",NA
"5023","1895","Tipperary NR","100-200 Acres",NA
"5024","1900","Tipperary NR","100-200 Acres",NA
"5025","1905","Tipperary NR","100-200 Acres",NA
"5026","1910","Tipperary NR","100-200 Acres",NA
"5027","1915","Tipperary NR","100-200 Acres",NA
"5028","1930","Tipperary NR","100-200 Acres",NA
"5029","1940","Tipperary NR","100-200 Acres",NA
"5030","1945","Tipperary NR","100-200 Acres",NA
"5031","1950","Tipperary NR","100-200 Acres",NA
"5032","1955","Tipperary NR","100-200 Acres",NA
"5033","1960","Tipperary NR","100-200 Acres",NA
"5034","1965","Tipperary NR","100-200 Acres",1044
"5035","1970","Tipperary NR","100-200 Acres",1040
"5036","1975","Tipperary NR","100-200 Acres",1040
"5037","1980","Tipperary NR","100-200 Acres",1040
"5038","1855","Tipperary SR","100-200 Acres",NA
"5039","1860","Tipperary SR","100-200 Acres",NA
"5040","1865","Tipperary SR","100-200 Acres",NA
"5041","1870","Tipperary SR","100-200 Acres",NA
"5042","1875","Tipperary SR","100-200 Acres",NA
"5043","1880","Tipperary SR","100-200 Acres",NA
"5044","1885","Tipperary SR","100-200 Acres",NA
"5045","1890","Tipperary SR","100-200 Acres",NA
"5046","1895","Tipperary SR","100-200 Acres",NA
"5047","1900","Tipperary SR","100-200 Acres",NA
"5048","1905","Tipperary SR","100-200 Acres",NA
"5049","1910","Tipperary SR","100-200 Acres",NA
"5050","1915","Tipperary SR","100-200 Acres",NA
"5051","1930","Tipperary SR","100-200 Acres",NA
"5052","1940","Tipperary SR","100-200 Acres",NA
"5053","1945","Tipperary SR","100-200 Acres",NA
"5054","1950","Tipperary SR","100-200 Acres",NA
"5055","1955","Tipperary SR","100-200 Acres",NA
"5056","1960","Tipperary SR","100-200 Acres",NA
"5057","1965","Tipperary SR","100-200 Acres",1038
"5058","1970","Tipperary SR","100-200 Acres",1049
"5059","1975","Tipperary SR","100-200 Acres",1088
"5060","1980","Tipperary SR","100-200 Acres",1079
"5061","1855","Waterford","100-200 Acres",700
"5062","1860","Waterford","100-200 Acres",721
"5063","1865","Waterford","100-200 Acres",767
"5064","1870","Waterford","100-200 Acres",772
"5065","1875","Waterford","100-200 Acres",774
"5066","1880","Waterford","100-200 Acres",792
"5067","1885","Waterford","100-200 Acres",784
"5068","1890","Waterford","100-200 Acres",827
"5069","1895","Waterford","100-200 Acres",825
"5070","1900","Waterford","100-200 Acres",825
"5071","1905","Waterford","100-200 Acres",810
"5072","1910","Waterford","100-200 Acres",829
"5073","1915","Waterford","100-200 Acres",864
"5074","1930","Waterford","100-200 Acres",901
"5075","1940","Waterford","100-200 Acres",918
"5076","1945","Waterford","100-200 Acres",955
"5077","1950","Waterford","100-200 Acres",948
"5078","1955","Waterford","100-200 Acres",960
"5079","1960","Waterford","100-200 Acres",922
"5080","1965","Waterford","100-200 Acres",936
"5081","1970","Waterford","100-200 Acres",969
"5082","1975","Waterford","100-200 Acres",965
"5083","1980","Waterford","100-200 Acres",945
"5084","1855","Connacht","100-200 Acres",3142
"5085","1860","Connacht","100-200 Acres",3318
"5086","1865","Connacht","100-200 Acres",3108
"5087","1870","Connacht","100-200 Acres",3014
"5088","1875","Connacht","100-200 Acres",2968
"5089","1880","Connacht","100-200 Acres",3156
"5090","1885","Connacht","100-200 Acres",3161
"5091","1890","Connacht","100-200 Acres",3167
"5092","1895","Connacht","100-200 Acres",3211
"5093","1900","Connacht","100-200 Acres",3111
"5094","1905","Connacht","100-200 Acres",2969
"5095","1910","Connacht","100-200 Acres",2787
"5096","1915","Connacht","100-200 Acres",2436
"5097","1930","Connacht","100-200 Acres",2110
"5098","1940","Connacht","100-200 Acres",1988
"5099","1945","Connacht","100-200 Acres",1985
"5100","1950","Connacht","100-200 Acres",2041
"5101","1955","Connacht","100-200 Acres",2031
"5102","1960","Connacht","100-200 Acres",2223
"5103","1965","Connacht","100-200 Acres",2253
"5104","1970","Connacht","100-200 Acres",2305
"5105","1975","Connacht","100-200 Acres",2321
"5106","1980","Connacht","100-200 Acres",2343
"5107","1855","Galway","100-200 Acres",1294
"5108","1860","Galway","100-200 Acres",1345
"5109","1865","Galway","100-200 Acres",1278
"5110","1870","Galway","100-200 Acres",1299
"5111","1875","Galway","100-200 Acres",1267
"5112","1880","Galway","100-200 Acres",1356
"5113","1885","Galway","100-200 Acres",1309
"5114","1890","Galway","100-200 Acres",1373
"5115","1895","Galway","100-200 Acres",1423
"5116","1900","Galway","100-200 Acres",1340
"5117","1905","Galway","100-200 Acres",1252
"5118","1910","Galway","100-200 Acres",1075
"5119","1915","Galway","100-200 Acres",906
"5120","1930","Galway","100-200 Acres",885
"5121","1940","Galway","100-200 Acres",820
"5122","1945","Galway","100-200 Acres",808
"5123","1950","Galway","100-200 Acres",849
"5124","1955","Galway","100-200 Acres",853
"5125","1960","Galway","100-200 Acres",914
"5126","1965","Galway","100-200 Acres",897
"5127","1970","Galway","100-200 Acres",902
"5128","1975","Galway","100-200 Acres",874
"5129","1980","Galway","100-200 Acres",895
"5130","1855","Leitrim","100-200 Acres",181
"5131","1860","Leitrim","100-200 Acres",195
"5132","1865","Leitrim","100-200 Acres",174
"5133","1870","Leitrim","100-200 Acres",147
"5134","1875","Leitrim","100-200 Acres",150
"5135","1880","Leitrim","100-200 Acres",158
"5136","1885","Leitrim","100-200 Acres",173
"5137","1890","Leitrim","100-200 Acres",169
"5138","1895","Leitrim","100-200 Acres",171
"5139","1900","Leitrim","100-200 Acres",163
"5140","1905","Leitrim","100-200 Acres",149
"5141","1910","Leitrim","100-200 Acres",166
"5142","1915","Leitrim","100-200 Acres",184
"5143","1930","Leitrim","100-200 Acres",141
"5144","1940","Leitrim","100-200 Acres",153
"5145","1945","Leitrim","100-200 Acres",156
"5146","1950","Leitrim","100-200 Acres",165
"5147","1955","Leitrim","100-200 Acres",155
"5148","1960","Leitrim","100-200 Acres",161
"5149","1965","Leitrim","100-200 Acres",193
"5150","1970","Leitrim","100-200 Acres",202
"5151","1975","Leitrim","100-200 Acres",202
"5152","1980","Leitrim","100-200 Acres",216
"5153","1855","Mayo","100-200 Acres",908
"5154","1860","Mayo","100-200 Acres",930
"5155","1865","Mayo","100-200 Acres",811
"5156","1870","Mayo","100-200 Acres",727
"5157","1875","Mayo","100-200 Acres",714
"5158","1880","Mayo","100-200 Acres",805
"5159","1885","Mayo","100-200 Acres",841
"5160","1890","Mayo","100-200 Acres",828
"5161","1895","Mayo","100-200 Acres",791
"5162","1900","Mayo","100-200 Acres",771
"5163","1905","Mayo","100-200 Acres",731
"5164","1910","Mayo","100-200 Acres",736
"5165","1915","Mayo","100-200 Acres",640
"5166","1930","Mayo","100-200 Acres",433
"5167","1940","Mayo","100-200 Acres",394
"5168","1945","Mayo","100-200 Acres",388
"5169","1950","Mayo","100-200 Acres",395
"5170","1955","Mayo","100-200 Acres",385
"5171","1960","Mayo","100-200 Acres",442
"5172","1965","Mayo","100-200 Acres",455
"5173","1970","Mayo","100-200 Acres",447
"5174","1975","Mayo","100-200 Acres",480
"5175","1980","Mayo","100-200 Acres",456
"5176","1855","Roscommon","100-200 Acres",513
"5177","1860","Roscommon","100-200 Acres",539
"5178","1865","Roscommon","100-200 Acres",544
"5179","1870","Roscommon","100-200 Acres",550
"5180","1875","Roscommon","100-200 Acres",540
"5181","1880","Roscommon","100-200 Acres",533
"5182","1885","Roscommon","100-200 Acres",536
"5183","1890","Roscommon","100-200 Acres",504
"5184","1895","Roscommon","100-200 Acres",519
"5185","1900","Roscommon","100-200 Acres",539
"5186","1905","Roscommon","100-200 Acres",535
"5187","1910","Roscommon","100-200 Acres",508
"5188","1915","Roscommon","100-200 Acres",416
"5189","1930","Roscommon","100-200 Acres",376
"5190","1940","Roscommon","100-200 Acres",378
"5191","1945","Roscommon","100-200 Acres",391
"5192","1950","Roscommon","100-200 Acres",397
"5193","1955","Roscommon","100-200 Acres",386
"5194","1960","Roscommon","100-200 Acres",419
"5195","1965","Roscommon","100-200 Acres",438
"5196","1970","Roscommon","100-200 Acres",459
"5197","1975","Roscommon","100-200 Acres",463
"5198","1980","Roscommon","100-200 Acres",467
"5199","1855","Sligo","100-200 Acres",246
"5200","1860","Sligo","100-200 Acres",309
"5201","1865","Sligo","100-200 Acres",301
"5202","1870","Sligo","100-200 Acres",291
"5203","1875","Sligo","100-200 Acres",297
"5204","1880","Sligo","100-200 Acres",304
"5205","1885","Sligo","100-200 Acres",302
"5206","1890","Sligo","100-200 Acres",293
"5207","1895","Sligo","100-200 Acres",307
"5208","1900","Sligo","100-200 Acres",298
"5209","1905","Sligo","100-200 Acres",302
"5210","1910","Sligo","100-200 Acres",302
"5211","1915","Sligo","100-200 Acres",290
"5212","1930","Sligo","100-200 Acres",275
"5213","1940","Sligo","100-200 Acres",243
"5214","1945","Sligo","100-200 Acres",242
"5215","1950","Sligo","100-200 Acres",235
"5216","1955","Sligo","100-200 Acres",252
"5217","1960","Sligo","100-200 Acres",287
"5218","1965","Sligo","100-200 Acres",270
"5219","1970","Sligo","100-200 Acres",295
"5220","1975","Sligo","100-200 Acres",302
"5221","1980","Sligo","100-200 Acres",309
"5222","1855","Ulster","100-200 Acres",1225
"5223","1860","Ulster","100-200 Acres",1248
"5224","1865","Ulster","100-200 Acres",1218
"5225","1870","Ulster","100-200 Acres",1197
"5226","1875","Ulster","100-200 Acres",1197
"5227","1880","Ulster","100-200 Acres",1215
"5228","1885","Ulster","100-200 Acres",1237
"5229","1890","Ulster","100-200 Acres",1365
"5230","1895","Ulster","100-200 Acres",1352
"5231","1900","Ulster","100-200 Acres",1362
"5232","1905","Ulster","100-200 Acres",1332
"5233","1910","Ulster","100-200 Acres",1325
"5234","1915","Ulster","100-200 Acres",1435
"5235","1930","Ulster","100-200 Acres",1549
"5236","1940","Ulster","100-200 Acres",1404
"5237","1945","Ulster","100-200 Acres",1474
"5238","1950","Ulster","100-200 Acres",1563
"5239","1955","Ulster","100-200 Acres",1596
"5240","1960","Ulster","100-200 Acres",1732
"5241","1965","Ulster","100-200 Acres",1785
"5242","1970","Ulster","100-200 Acres",1788
"5243","1975","Ulster","100-200 Acres",1793
"5244","1980","Ulster","100-200 Acres",1850
"5245","1855","Cavan","100-200 Acres",199
"5246","1860","Cavan","100-200 Acres",199
"5247","1865","Cavan","100-200 Acres",239
"5248","1870","Cavan","100-200 Acres",224
"5249","1875","Cavan","100-200 Acres",220
"5250","1880","Cavan","100-200 Acres",211
"5251","1885","Cavan","100-200 Acres",199
"5252","1890","Cavan","100-200 Acres",201
"5253","1895","Cavan","100-200 Acres",217
"5254","1900","Cavan","100-200 Acres",222
"5255","1905","Cavan","100-200 Acres",210
"5256","1910","Cavan","100-200 Acres",213
"5257","1915","Cavan","100-200 Acres",233
"5258","1930","Cavan","100-200 Acres",271
"5259","1940","Cavan","100-200 Acres",227
"5260","1945","Cavan","100-200 Acres",239
"5261","1950","Cavan","100-200 Acres",259
"5262","1955","Cavan","100-200 Acres",264
"5263","1960","Cavan","100-200 Acres",324
"5264","1965","Cavan","100-200 Acres",332
"5265","1970","Cavan","100-200 Acres",352
"5266","1975","Cavan","100-200 Acres",370
"5267","1980","Cavan","100-200 Acres",420
"5268","1855","Donegal","100-200 Acres",930
"5269","1860","Donegal","100-200 Acres",953
"5270","1865","Donegal","100-200 Acres",883
"5271","1870","Donegal","100-200 Acres",880
"5272","1875","Donegal","100-200 Acres",878
"5273","1880","Donegal","100-200 Acres",902
"5274","1885","Donegal","100-200 Acres",935
"5275","1890","Donegal","100-200 Acres",1048
"5276","1895","Donegal","100-200 Acres",1024
"5277","1900","Donegal","100-200 Acres",1026
"5278","1905","Donegal","100-200 Acres",1007
"5279","1910","Donegal","100-200 Acres",1002
"5280","1915","Donegal","100-200 Acres",1057
"5281","1930","Donegal","100-200 Acres",1120
"5282","1940","Donegal","100-200 Acres",1001
"5283","1945","Donegal","100-200 Acres",1055
"5284","1950","Donegal","100-200 Acres",1108
"5285","1955","Donegal","100-200 Acres",1132
"5286","1960","Donegal","100-200 Acres",1181
"5287","1965","Donegal","100-200 Acres",1208
"5288","1970","Donegal","100-200 Acres",1211
"5289","1975","Donegal","100-200 Acres",1195
"5290","1980","Donegal","100-200 Acres",1171
"5291","1855","Monaghan","100-200 Acres",96
"5292","1860","Monaghan","100-200 Acres",96
"5293","1865","Monaghan","100-200 Acres",96
"5294","1870","Monaghan","100-200 Acres",93
"5295","1875","Monaghan","100-200 Acres",99
"5296","1880","Monaghan","100-200 Acres",102
"5297","1885","Monaghan","100-200 Acres",103
"5298","1890","Monaghan","100-200 Acres",116
"5299","1895","Monaghan","100-200 Acres",111
"5300","1900","Monaghan","100-200 Acres",114
"5301","1905","Monaghan","100-200 Acres",115
"5302","1910","Monaghan","100-200 Acres",110
"5303","1915","Monaghan","100-200 Acres",145
"5304","1930","Monaghan","100-200 Acres",158
"5305","1940","Monaghan","100-200 Acres",176
"5306","1945","Monaghan","100-200 Acres",180
"5307","1950","Monaghan","100-200 Acres",196
"5308","1955","Monaghan","100-200 Acres",200
"5309","1960","Monaghan","100-200 Acres",227
"5310","1965","Monaghan","100-200 Acres",245
"5311","1970","Monaghan","100-200 Acres",225
"5312","1975","Monaghan","100-200 Acres",228
"5313","1980","Monaghan","100-200 Acres",259
"5314","1855","State","200+ Acres",9190
"5315","1860","State","200+ Acres",9307
"5316","1865","State","200+ Acres",9189
"5317","1870","State","200+ Acres",9004
"5318","1875","State","200+ Acres",8980
"5319","1880","State","200+ Acres",9160
"5320","1885","State","200+ Acres",9070
"5321","1890","State","200+ Acres",9190
"5322","1895","State","200+ Acres",9042
"5323","1900","State","200+ Acres",8983
"5324","1905","State","200+ Acres",8762
"5325","1910","State","200+ Acres",8602
"5326","1915","State","200+ Acres",9545
"5327","1930","State","200+ Acres",7924
"5328","1940","State","200+ Acres",7347
"5329","1945","State","200+ Acres",7246
"5330","1950","State","200+ Acres",7247
"5331","1955","State","200+ Acres",7152
"5332","1960","State","200+ Acres",7076
"5333","1965","State","200+ Acres",6970
"5334","1970","State","200+ Acres",6744
"5335","1975","State","200+ Acres",6522
"5336","1980","State","200+ Acres",6446
"5337","1855","Leinster","200+ Acres",2990
"5338","1860","Leinster","200+ Acres",3056
"5339","1865","Leinster","200+ Acres",3100
"5340","1870","Leinster","200+ Acres",3072
"5341","1875","Leinster","200+ Acres",3087
"5342","1880","Leinster","200+ Acres",3178
"5343","1885","Leinster","200+ Acres",3158
"5344","1890","Leinster","200+ Acres",3199
"5345","1895","Leinster","200+ Acres",3201
"5346","1900","Leinster","200+ Acres",3240
"5347","1905","Leinster","200+ Acres",3196
"5348","1910","Leinster","200+ Acres",3151
"5349","1915","Leinster","200+ Acres",3698
"5350","1930","Leinster","200+ Acres",3446
"5351","1940","Leinster","200+ Acres",3255
"5352","1945","Leinster","200+ Acres",3239
"5353","1950","Leinster","200+ Acres",3223
"5354","1955","Leinster","200+ Acres",3197
"5355","1960","Leinster","200+ Acres",3154
"5356","1965","Leinster","200+ Acres",3116
"5357","1970","Leinster","200+ Acres",3044
"5358","1975","Leinster","200+ Acres",2954
"5359","1980","Leinster","200+ Acres",2890
"5360","1855","Carlow","200+ Acres",103
"5361","1860","Carlow","200+ Acres",108
"5362","1865","Carlow","200+ Acres",119
"5363","1870","Carlow","200+ Acres",117
