"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"264","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",77.44
"265","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",94.1
"266","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",112.87
"267","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",138.2
"268","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",153.17
"269","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",165.19
"270","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",207.21
"271","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",221.12
"272","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",255.22
"273","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Total",367.28
"274","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",43.6
"275","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",43.4
"276","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",43
"277","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",43.5
"278","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.5
"279","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.6
"280","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.22
"281","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.9
"282","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.8
"283","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",43.7
"284","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.2
"285","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",42.6
"286","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Total",44.1
"287","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",38.98
"288","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",52.15
"289","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",60.36
"290","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",70.25
"291","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",84.63
"292","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",102.87
"293","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",122.43
"294","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",141.04
"295","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",151.54
"296","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",177.8
"297","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",201.14
"298","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",233.47
"299","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Total",336.89
"300","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",43.6
"301","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",43.2
"302","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",43
"303","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",42
"304","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.7
"305","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.4
"306","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.71
"307","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",42.1
"308","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.4
"309","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.2
"310","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",41.6
"311","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",42.3
"312","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Total",43.6
"313","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"314","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"315","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"316","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"317","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"318","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"319","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"320","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"321","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"322","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"323","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"324","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"325","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Total",NA
"326","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"327","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"328","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"329","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"330","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"331","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"332","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"333","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"334","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"335","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"336","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"337","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"338","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Total",NA
"339","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"340","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"341","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"342","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"343","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"344","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"345","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"346","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"347","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"348","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"349","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"350","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"351","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Total",NA
"352","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"353","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"354","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"355","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"356","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"357","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"358","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"359","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"360","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"361","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"362","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"363","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"364","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Total",NA
"365","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"366","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"367","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"368","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"369","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"370","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"371","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"372","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"373","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"374","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"375","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"376","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"377","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Incl Managers/Foremen","Total",NA
"378","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"379","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"380","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"381","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"382","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"383","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"384","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"385","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"386","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"387","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"388","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"389","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"390","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Incl Managers/Foremen","Total",NA
"391","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",38.09
"392","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",53.23
"393","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",62.23
"394","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",73.2
"395","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",88.41
"396","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",115.8
"397","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",138.31
"398","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",156.03
"399","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",166.62
"400","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",218.83
"401","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",238.88
"402","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",274.59
"403","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Livestock Workers","Receiving Benefits",360.55
"404","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44.5
"405","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44.5
"406","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44.6
"407","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43
"408","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44
"409","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44.2
"410","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",44.55
"411","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43.8
"412","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43.2
"413","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43
"414","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43.5
"415","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",43.6
"416","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Livestock Workers","Receiving Benefits",41.4
"417","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",48
"418","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",61.25
"419","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",73.81
"420","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",96.26
"421","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",107.66
"422","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",141.88
"423","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",175.78
"424","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",197.94
"425","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",219.46
"426","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",328.84
"427","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",321.33
"428","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",388.63
"429","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Managers","Receiving Benefits",570.82
"430","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",46.1
"431","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",45.1
"432","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",45.6
"433","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",44.6
"434","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",45.8
"435","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",44.3
"436","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",44.61
"437","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",43.9
"438","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",45.8
"439","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",44.3
"440","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",43.4
"441","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",46
"442","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Managers","Receiving Benefits",43
"443","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",38.22
"444","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",57.96
"445","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",67.79
"446","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",80.44
"447","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",97.45
"448","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",121.73
"449","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",143.39
"450","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",164.56
"451","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",173.81
"452","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",214.18
"453","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",227.21
"454","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",252.5
"455","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Livestock Specialised Workers","Receiving Benefits",334.31
"456","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44.3
"457","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",45.3
"458","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",45.5
"459","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44
"460","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",46.1
"461","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44.9
"462","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",45.21
"463","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44.3
"464","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44
"465","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",43.4
"466","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",43.7
"467","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",44
"468","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Livestock Specialised Workers","Receiving Benefits",42
"469","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",38.98
"470","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",47.32
"471","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",55.87
"472","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",62.86
"473","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",76.11
"474","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",99.23
"475","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",120.04
"476","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",132.85
"477","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",143.26
"478","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",46.55
"479","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",207.73
"480","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",222.48
"481","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Livestock Workers","Receiving Benefits",279.29
"482","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.5
"483","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.5
"484","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.4
"485","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",41.9
"486","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",41.6
"487","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.2
"488","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.51
"489","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.1
"490","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",41.7
"491","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",41.9
"492","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",43.3
"493","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",41.5
"494","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Livestock Workers","Receiving Benefits",39.4
"495","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",38.47
"496","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",49.3
"497","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",63.54
"498","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",75.6
"499","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",85.12
"500","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",102.01
"501","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",128.07
"502","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",164.88
"503","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",156.13
"504","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",210.26
"505","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",207.75
"506","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",232.76
"507","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Horticultural Workers","Receiving Benefits",303
"508","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",43.1
"509","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",41
