"","Year","Type.of.Land.Use","Region","value"
"1092","1994","Other cereals","Border",0.2
"1093","1995","Other cereals","Border",0.3
"1094","1996","Other cereals","Border",0.2
"1095","1997","Other cereals","Border",0.5
"1096","1998","Other cereals","Border",0.6
"1097","1999","Other cereals","Border",0.9
"1098","2000","Other cereals","Border",0.2
"1099","2001","Other cereals","Border",0.2
"1100","2002","Other cereals","Border",0.2
"1101","2003","Other cereals","Border",0.3
"1102","2004","Other cereals","Border",0.5
"1103","2005","Other cereals","Border",0.3
"1104","2006","Other cereals","Border",0.3
"1105","2007","Other cereals","Border",0.3
"1106","1991","Rough grazing in use","Border",147.8
"1107","1992","Rough grazing in use","Border",119.1
"1108","1993","Rough grazing in use","Border",119.1
"1109","1994","Rough grazing in use","Border",104.6
"1110","1995","Rough grazing in use","Border",103.2
"1111","1996","Rough grazing in use","Border",98.2
"1112","1997","Rough grazing in use","Border",105.9
"1113","1998","Rough grazing in use","Border",98.5
"1114","1999","Rough grazing in use","Border",98.9
"1115","2000","Rough grazing in use","Border",126
"1116","2001","Rough grazing in use","Border",120.3
"1117","2002","Rough grazing in use","Border",123.2
"1118","2003","Rough grazing in use","Border",120.6
"1119","2004","Rough grazing in use","Border",115.3
"1120","2005","Rough grazing in use","Border",118.5
"1121","2006","Rough grazing in use","Border",119.7
"1122","2007","Rough grazing in use","Border",119.2
"1123","1991","Area farmed (AAU)","Midland",428.6
"1124","1992","Area farmed (AAU)","Midland",429.2
"1125","1993","Area farmed (AAU)","Midland",429
"1126","1994","Area farmed (AAU)","Midland",428.8
"1127","1995","Area farmed (AAU)","Midland",432.1
"1128","1996","Area farmed (AAU)","Midland",424.1
"1129","1997","Area farmed (AAU)","Midland",435.2
"1130","1998","Area farmed (AAU)","Midland",429.1
"1131","1999","Area farmed (AAU)","Midland",434.7
"1132","2000","Area farmed (AAU)","Midland",435.1
"1133","2001","Area farmed (AAU)","Midland",431.4
"1134","2002","Area farmed (AAU)","Midland",431.6
"1135","2003","Area farmed (AAU)","Midland",432.6
"1136","2004","Area farmed (AAU)","Midland",434.2
"1137","2005","Area farmed (AAU)","Midland",429.4
"1138","2006","Area farmed (AAU)","Midland",427.3
"1139","2007","Area farmed (AAU)","Midland",423.5
"1140","1991","Crops and pasture","Midland",398.4
"1141","1992","Crops and pasture","Midland",401.5
"1142","1993","Crops and pasture","Midland",409.5
"1143","1994","Crops and pasture","Midland",408.9
"1144","1995","Crops and pasture","Midland",412.9
"1145","1996","Crops and pasture","Midland",407.2
"1146","1997","Crops and pasture","Midland",415.7
"1147","1998","Crops and pasture","Midland",412.3
"1148","1999","Crops and pasture","Midland",414
"1149","2000","Crops and pasture","Midland",416.5
"1150","2001","Crops and pasture","Midland",416.1
"1151","2002","Crops and pasture","Midland",418.4
"1152","2003","Crops and pasture","Midland",417.1
"1153","2004","Crops and pasture","Midland",422.7
"1154","2005","Crops and pasture","Midland",414.4
"1155","2006","Crops and pasture","Midland",411.6
"1156","2007","Crops and pasture","Midland",409
"1157","1991","Pasture","Midland",242.1
"1158","1992","Pasture","Midland",237.6
"1159","1993","Pasture","Midland",236.9
"1160","1994","Pasture","Midland",236
"1161","1995","Pasture","Midland",242.6
"1162","1996","Pasture","Midland",234.7
"1163","1997","Pasture","Midland",245.1
"1164","1998","Pasture","Midland",247.1
"1165","1999","Pasture","Midland",250.7
"1166","2000","Pasture","Midland",241.3
"1167","2001","Pasture","Midland",238.6
"1168","2002","Pasture","Midland",250.2
"1169","2003","Pasture","Midland",246.4
"1170","2004","Pasture","Midland",248.4
"1171","2005","Pasture","Midland",224.2
"1172","2006","Pasture","Midland",215.4
"1173","2007","Pasture","Midland",230.5
"1174","1991","Hay","Midland",44.5
"1175","1992","Hay","Midland",46.6
"1176","1993","Hay","Midland",48.8
"1177","1994","Hay","Midland",43.7
"1178","1995","Hay","Midland",38.9
"1179","1996","Hay","Midland",38.1
"1180","1997","Hay","Midland",36.6
"1181","1998","Hay","Midland",31.5
"1182","1999","Hay","Midland",27
"1183","2000","Hay","Midland",28.9
"1184","2001","Hay","Midland",30.5
"1185","2002","Hay","Midland",25.4
"1186","2003","Hay","Midland",25.7
"1187","2004","Hay","Midland",26.8
"1188","2005","Hay","Midland",31.3
"1189","2006","Hay","Midland",35
"1190","2007","Hay","Midland",31.7
"1191","1991","Grass silage","Midland",75
"1192","1992","Grass silage","Midland",79.8
"1193","1993","Grass silage","Midland",85.1
"1194","1994","Grass silage","Midland",91.1
"1195","1995","Grass silage","Midland",92.9
"1196","1996","Grass silage","Midland",95.3
"1197","1997","Grass silage","Midland",92.1
"1198","1998","Grass silage","Midland",95
"1199","1999","Grass silage","Midland",95.7
"1200","2000","Grass silage","Midland",109.3
"1201","2001","Grass silage","Midland",109.1
"1202","2002","Grass silage","Midland",103.7
"1203","2003","Grass silage","Midland",105.2
"1204","2004","Grass silage","Midland",107.8
"1205","2005","Grass silage","Midland",122.6
"1206","2006","Grass silage","Midland",125.3
"1207","2007","Grass silage","Midland",112
"1208","1991","Total crops, fruit and horticulture","Midland",36.9
"1209","1992","Total crops, fruit and horticulture","Midland",37.5
"1210","1993","Total crops, fruit and horticulture","Midland",38.8
"1211","1994","Total crops, fruit and horticulture","Midland",38.1
"1212","1995","Total crops, fruit and horticulture","Midland",38.5
"1213","1996","Total crops, fruit and horticulture","Midland",39
"1214","1997","Total crops, fruit and horticulture","Midland",41.9
"1215","1998","Total crops, fruit and horticulture","Midland",38.7
"1216","1999","Total crops, fruit and horticulture","Midland",40.6
"1217","2000","Total crops, fruit and horticulture","Midland",37
"1218","2001","Total crops, fruit and horticulture","Midland",37.9
"1219","2002","Total crops, fruit and horticulture","Midland",39.1
"1220","2003","Total crops, fruit and horticulture","Midland",39.8
"1221","2004","Total crops, fruit and horticulture","Midland",39.6
"1222","2005","Total crops, fruit and horticulture","Midland",36.3
"1223","2006","Total crops, fruit and horticulture","Midland",35.8
"1224","2007","Total crops, fruit and horticulture","Midland",34.8
"1225","1991","Beans and peas","Midland",0.1
"1226","1992","Beans and peas","Midland",0.2
"1227","1993","Beans and peas","Midland",0.9
"1228","1994","Beans and peas","Midland",0.8
"1229","1995","Beans and peas","Midland",0.8
"1230","1996","Beans and peas","Midland",0.5
"1231","1997","Beans and peas","Midland",0.7
"1232","1998","Beans and peas","Midland",0.9
"1233","1999","Beans and peas","Midland",0.6
"1234","2000","Beans and peas","Midland",0.2
"1235","2001","Beans and peas","Midland",0.2
"1236","2002","Beans and peas","Midland",0.2
"1237","2003","Beans and peas","Midland",0.2
"1238","2004","Beans and peas","Midland",0.2
"1239","2005","Beans and peas","Midland",0.3
"1240","2006","Beans and peas","Midland",0.3
"1241","2007","Beans and peas","Midland",0.2
"1242","1991","Oilseed rape","Midland",0.1
"1243","1992","Oilseed rape","Midland",0.1
"1244","1993","Oilseed rape","Midland",0.1
"1245","1994","Oilseed rape","Midland",0.2
"1246","1995","Oilseed rape","Midland",0
"1247","1996","Oilseed rape","Midland",0
"1248","1997","Oilseed rape","Midland",0.1
"1249","1998","Oilseed rape","Midland",0.2
"1250","1999","Oilseed rape","Midland",0.2
"1251","2000","Oilseed rape","Midland",0.2
"1252","2001","Oilseed rape","Midland",0.3
"1253","2002","Oilseed rape","Midland",0.2
"1254","2003","Oilseed rape","Midland",0.1
"1255","2004","Oilseed rape","Midland",0.1
"1256","2005","Oilseed rape","Midland",0.1
"1257","2006","Oilseed rape","Midland",0.1
"1258","2007","Oilseed rape","Midland",0.5
"1259","1991","Arable silage","Midland",NA
"1260","1992","Arable silage","Midland",NA
"1261","1993","Arable silage","Midland",NA
"1262","1994","Arable silage","Midland",NA
"1263","1995","Arable silage","Midland",NA
"1264","1996","Arable silage","Midland",NA
"1265","1997","Arable silage","Midland",NA
"1266","1998","Arable silage","Midland",NA
"1267","1999","Arable silage","Midland",NA
"1268","2000","Arable silage","Midland",2
"1269","2001","Arable silage","Midland",1.5
"1270","2002","Arable silage","Midland",1.9
"1271","2003","Arable silage","Midland",2.2
"1272","2004","Arable silage","Midland",1.7
"1273","2005","Arable silage","Midland",1.8
"1274","2006","Arable silage","Midland",1.2
"1275","2007","Arable silage","Midland",1.4
"1276","1991","Maize silage","Midland",NA
"1277","1992","Maize silage","Midland",NA
"1278","1993","Maize silage","Midland",NA
"1279","1994","Maize silage","Midland",NA
"1280","1995","Maize silage","Midland",NA
"1281","1996","Maize silage","Midland",NA
"1282","1997","Maize silage","Midland",NA
"1283","1998","Maize silage","Midland",NA
"1284","1999","Maize silage","Midland",NA
"1285","2000","Maize silage","Midland",1.1
"1286","2001","Maize silage","Midland",1.5
"1287","2002","Maize silage","Midland",1.6
"1288","2003","Maize silage","Midland",1.3
"1289","2004","Maize silage","Midland",1.2
"1290","2005","Maize silage","Midland",1.4
"1291","2006","Maize silage","Midland",1.7
"1292","2007","Maize silage","Midland",1.7
"1293","1991","Fodder rape and kale","Midland",NA
"1294","1992","Fodder rape and kale","Midland",NA
"1295","1993","Fodder rape and kale","Midland",NA
"1296","1994","Fodder rape and kale","Midland",NA
"1297","1995","Fodder rape and kale","Midland",NA
"1298","1996","Fodder rape and kale","Midland",NA
"1299","1997","Fodder rape and kale","Midland",NA
"1300","1998","Fodder rape and kale","Midland",NA
"1301","1999","Fodder rape and kale","Midland",NA
"1302","2000","Fodder rape and kale","Midland",0.1
"1303","2001","Fodder rape and kale","Midland",0.1
"1304","2002","Fodder rape and kale","Midland",0.1
"1305","2003","Fodder rape and kale","Midland",0.1
"1306","2004","Fodder rape and kale","Midland",0.1
"1307","2005","Fodder rape and kale","Midland",0.4
"1308","2006","Fodder rape and kale","Midland",0.8
"1309","2007","Fodder rape and kale","Midland",0.6
"1310","1991","Potatoes","Midland",0.7
"1311","1992","Potatoes","Midland",1
"1312","1993","Potatoes","Midland",0.8
"1313","1994","Potatoes","Midland",0.8
"1314","1995","Potatoes","Midland",0.7
"1315","1996","Potatoes","Midland",0.7
"1316","1997","Potatoes","Midland",0.6
"1317","1998","Potatoes","Midland",0.5
"1318","1999","Potatoes","Midland",0.5
"1319","2000","Potatoes","Midland",0.3
"1320","2001","Potatoes","Midland",0.3
"1321","2002","Potatoes","Midland",0.4
"1322","2003","Potatoes","Midland",0.3
"1323","2004","Potatoes","Midland",0.4
"1324","2005","Potatoes","Midland",0.4
"1325","2006","Potatoes","Midland",0.3
"1326","2007","Potatoes","Midland",0.3
"1327","1991","Turnips","Midland",1
"1328","1992","Turnips","Midland",0.9
"1329","1993","Turnips","Midland",0.8
"1330","1994","Turnips","Midland",0.6
"1331","1995","Turnips","Midland",1
"1332","1996","Turnips","Midland",0.5
"1333","1997","Turnips","Midland",0.4
"1334","1998","Turnips","Midland",0.4
"1335","1999","Turnips","Midland",0.3
"1336","2000","Turnips","Midland",0.3
"1337","2001","Turnips","Midland",0.3
"1338","2002","Turnips","Midland",0.2
"1339","2003","Turnips","Midland",0.2
"1340","2004","Turnips","Midland",0.2
"1341","2005","Turnips","Midland",0.2
"1342","2006","Turnips","Midland",0.2
"1343","2007","Turnips","Midland",0.2
"1344","1991","Beet","Midland",4.9
"1345","1992","Beet","Midland",5.2
"1346","1993","Beet","Midland",5.1
"1347","1994","Beet","Midland",5.4
"1348","1995","Beet","Midland",5
"1349","1996","Beet","Midland",5.1
"1350","1997","Beet","Midland",5.3
"1351","1998","Beet","Midland",4.3
"1352","1999","Beet","Midland",4.9
"1353","2000","Beet","Midland",3.7
"1354","2001","Beet","Midland",3.3
"1355","2002","Beet","Midland",3.3
"1356","2003","Beet","Midland",3.1
"1357","2004","Beet","Midland",3
"1358","2005","Beet","Midland",3
"1359","2006","Beet","Midland",1.1
"1360","2007","Beet","Midland",1
"1361","1991","Sugar beet","Midland",3.3
"1362","1992","Sugar beet","Midland",3.2
"1363","1993","Sugar beet","Midland",3.3
"1364","1994","Sugar beet","Midland",3.9
"1365","1995","Sugar beet","Midland",3.7
"1366","1996","Sugar beet","Midland",3.6
"1367","1997","Sugar beet","Midland",4
"1368","1998","Sugar beet","Midland",3.4
"1369","1999","Sugar beet","Midland",4
"1370","2000","Sugar beet","Midland",2.9
"1371","2001","Sugar beet","Midland",2.5
"1372","2002","Sugar beet","Midland",2.5
"1373","2003","Sugar beet","Midland",2.5
"1374","2004","Sugar beet","Midland",2.4
"1375","2005","Sugar beet","Midland",2.4
"1376","2006","Sugar beet","Midland",0.2
"1377","2007","Sugar beet","Midland",NA
"1378","1991","Fodder beet","Midland",1.6
"1379","1992","Fodder beet","Midland",2
"1380","1993","Fodder beet","Midland",1.8
"1381","1994","Fodder beet","Midland",1.5
"1382","1995","Fodder beet","Midland",1.3
"1383","1996","Fodder beet","Midland",1.5
"1384","1997","Fodder beet","Midland",1.3
"1385","1998","Fodder beet","Midland",0.9
"1386","1999","Fodder beet","Midland",0.9
"1387","2000","Fodder beet","Midland",0.8
"1388","2001","Fodder beet","Midland",0.8
"1389","2002","Fodder beet","Midland",0.8
"1390","2003","Fodder beet","Midland",0.6
"1391","2004","Fodder beet","Midland",0.6
"1392","2005","Fodder beet","Midland",0.6
"1393","2006","Fodder beet","Midland",0.9
"1394","2007","Fodder beet","Midland",NA
"1395","1991","Kale and field cabbage","Midland",0.1
"1396","1992","Kale and field cabbage","Midland",0.2
"1397","1993","Kale and field cabbage","Midland",0.2
"1398","1994","Kale and field cabbage","Midland",0.1
"1399","1995","Kale and field cabbage","Midland",0.1
"1400","1996","Kale and field cabbage","Midland",0.1
"1401","1997","Kale and field cabbage","Midland",0.1
"1402","1998","Kale and field cabbage","Midland",0.1
"1403","1999","Kale and field cabbage","Midland",0.1
"1404","2000","Kale and field cabbage","Midland",NA
"1405","2001","Kale and field cabbage","Midland",NA
"1406","2002","Kale and field cabbage","Midland",NA
"1407","2003","Kale and field cabbage","Midland",NA
"1408","2004","Kale and field cabbage","Midland",NA
"1409","2005","Kale and field cabbage","Midland",NA
"1410","2006","Kale and field cabbage","Midland",NA
"1411","2007","Kale and field cabbage","Midland",NA
"1412","1991","Vegetables for sale","Midland",0.3
"1413","1992","Vegetables for sale","Midland",0.3
"1414","1993","Vegetables for sale","Midland",0.5
"1415","1994","Vegetables for sale","Midland",0.4
"1416","1995","Vegetables for sale","Midland",0.3
"1417","1996","Vegetables for sale","Midland",0.3
"1418","1997","Vegetables for sale","Midland",0.4
"1419","1998","Vegetables for sale","Midland",0.4
"1420","1999","Vegetables for sale","Midland",0.4
"1421","2000","Vegetables for sale","Midland",0.2
"1422","2001","Vegetables for sale","Midland",0.2
"1423","2002","Vegetables for sale","Midland",0.2
"1424","2003","Vegetables for sale","Midland",0.3
"1425","2004","Vegetables for sale","Midland",0.2
"1426","2005","Vegetables for sale","Midland",0.3
"1427","2006","Vegetables for sale","Midland",0.1
"1428","2007","Vegetables for sale","Midland",0.3
"1429","1991","Fruit","Midland",0
"1430","1992","Fruit","Midland",0
"1431","1993","Fruit","Midland",0
"1432","1994","Fruit","Midland",0
"1433","1995","Fruit","Midland",0
"1434","1996","Fruit","Midland",0
"1435","1997","Fruit","Midland",0
"1436","1998","Fruit","Midland",0
"1437","1999","Fruit","Midland",0
"1438","2000","Fruit","Midland",0
"1439","2001","Fruit","Midland",0
"1440","2002","Fruit","Midland",0
"1441","2003","Fruit","Midland",0
"1442","2004","Fruit","Midland",0
"1443","2005","Fruit","Midland",0.1
"1444","2006","Fruit","Midland",0
"1445","2007","Fruit","Midland",0.1
"1446","1991","Nurseries, horticulture etc.","Midland",0.1
"1447","1992","Nurseries, horticulture etc.","Midland",0.2
"1448","1993","Nurseries, horticulture etc.","Midland",0.2
"1449","1994","Nurseries, horticulture etc.","Midland",0.1
"1450","1995","Nurseries, horticulture etc.","Midland",0.1
"1451","1996","Nurseries, horticulture etc.","Midland",0.1
"1452","1997","Nurseries, horticulture etc.","Midland",0.1
"1453","1998","Nurseries, horticulture etc.","Midland",0.1
"1454","1999","Nurseries, horticulture etc.","Midland",0.2
"1455","2000","Nurseries, horticulture etc.","Midland",0.1
"1456","2001","Nurseries, horticulture etc.","Midland",0.1
"1457","2002","Nurseries, horticulture etc.","Midland",0.1
"1458","2003","Nurseries, horticulture etc.","Midland",0.1
"1459","2004","Nurseries, horticulture etc.","Midland",0.1
"1460","2005","Nurseries, horticulture etc.","Midland",0.1
"1461","2006","Nurseries, horticulture etc.","Midland",0.1
"1462","2007","Nurseries, horticulture etc.","Midland",0.1
"1463","1991","Other crops","Midland",0.3
"1464","1992","Other crops","Midland",0.4
"1465","1993","Other crops","Midland",2.4
"1466","1994","Other crops","Midland",3.2
"1467","1995","Other crops","Midland",2.7
"1468","1996","Other crops","Midland",1.6
"1469","1997","Other crops","Midland",1.9
"1470","1998","Other crops","Midland",2.3
"1471","1999","Other crops","Midland",2.9
"1472","2000","Other crops","Midland",1.8
"1473","2001","Other crops","Midland",2.3
"1474","2002","Other crops","Midland",4.4
"1475","2003","Other crops","Midland",2.3
"1476","2004","Other crops","Midland",1.2
"1477","2005","Other crops","Midland",1.6
"1478","2006","Other crops","Midland",1.8
"1479","2007","Other crops","Midland",1.5
"1480","1991","Total cereals","Midland",29.3
"1481","1992","Total cereals","Midland",28.9
"1482","1993","Total cereals","Midland",27.8
"1483","1994","Total cereals","Midland",26.6
"1484","1995","Total cereals","Midland",28.1
"1485","1996","Total cereals","Midland",30
"1486","1997","Total cereals","Midland",32.2
"1487","1998","Total cereals","Midland",29.5
"1488","1999","Total cereals","Midland",30.4
"1489","2000","Total cereals","Midland",27.1
"1490","2001","Total cereals","Midland",27.9
"1491","2002","Total cereals","Midland",28.6
"1492","2003","Total cereals","Midland",29.6
"1493","2004","Total cereals","Midland",31.2
"1494","2005","Total cereals","Midland",26.6
"1495","2006","Total cereals","Midland",28
"1496","2007","Total cereals","Midland",26.9
"1497","1991","Total wheat","Midland",4.3
"1498","1992","Total wheat","Midland",4.6
"1499","1993","Total wheat","Midland",3.9
"1500","1994","Total wheat","Midland",3.7
"1501","1995","Total wheat","Midland",3.7
"1502","1996","Total wheat","Midland",5
"1503","1997","Total wheat","Midland",5.3
"1504","1998","Total wheat","Midland",4.5
"1505","1999","Total wheat","Midland",3.4
"1506","2000","Total wheat","Midland",3.8
"1507","2001","Total wheat","Midland",4.3
"1508","2002","Total wheat","Midland",4.8
"1509","2003","Total wheat","Midland",5.6
"1510","2004","Total wheat","Midland",6.8
"1511","2005","Total wheat","Midland",5.8
"1512","2006","Total wheat","Midland",5.4
"1513","2007","Total wheat","Midland",4.3
"1514","1991","Winter wheat","Midland",3.2
"1515","1992","Winter wheat","Midland",3.5
"1516","1993","Winter wheat","Midland",2.5
"1517","1994","Winter wheat","Midland",3.1
"1518","1995","Winter wheat","Midland",2.6
"1519","1996","Winter wheat","Midland",3.4
"1520","1997","Winter wheat","Midland",4
"1521","1998","Winter wheat","Midland",3.7
"1522","1999","Winter wheat","Midland",2.1
"1523","2000","Winter wheat","Midland",2.8
"1524","2001","Winter wheat","Midland",2.4
"1525","2002","Winter wheat","Midland",3.6
"1526","2003","Winter wheat","Midland",2.5
"1527","2004","Winter wheat","Midland",3.5
"1528","2005","Winter wheat","Midland",2.9
"1529","2006","Winter wheat","Midland",2.8
"1530","2007","Winter wheat","Midland",3.3
"1531","1991","Spring wheat","Midland",1.2
"1532","1992","Spring wheat","Midland",1.1
"1533","1993","Spring wheat","Midland",1.4
"1534","1994","Spring wheat","Midland",0.6
"1535","1995","Spring wheat","Midland",1.1
"1536","1996","Spring wheat","Midland",1.6
"1537","1997","Spring wheat","Midland",1.3
"1538","1998","Spring wheat","Midland",0.8
"1539","1999","Spring wheat","Midland",1.3
"1540","2000","Spring wheat","Midland",1
"1541","2001","Spring wheat","Midland",1.9
"1542","2002","Spring wheat","Midland",1.2
"1543","2003","Spring wheat","Midland",3.1
"1544","2004","Spring wheat","Midland",3.4
"1545","2005","Spring wheat","Midland",2.9
"1546","2006","Spring wheat","Midland",2.6
"1547","2007","Spring wheat","Midland",1
"1548","1991","Total oats","Midland",0.9
"1549","1992","Total oats","Midland",0.9
"1550","1993","Total oats","Midland",1
"1551","1994","Total oats","Midland",1
"1552","1995","Total oats","Midland",1.1
"1553","1996","Total oats","Midland",1
"1554","1997","Total oats","Midland",0.9
"1555","1998","Total oats","Midland",0.8
"1556","1999","Total oats","Midland",1.8
"1557","2000","Total oats","Midland",1
"1558","2001","Total oats","Midland",1.1
"1559","2002","Total oats","Midland",1.4
"1560","2003","Total oats","Midland",1.4
"1561","2004","Total oats","Midland",1.9
"1562","2005","Total oats","Midland",1.1
"1563","2006","Total oats","Midland",1.1
"1564","2007","Total oats","Midland",1.8
"1565","1991","Winter oats","Midland",0.4
"1566","1992","Winter oats","Midland",0.4
"1567","1993","Winter oats","Midland",0.4
"1568","1994","Winter oats","Midland",0.4
"1569","1995","Winter oats","Midland",0.5
"1570","1996","Winter oats","Midland",0.5
"1571","1997","Winter oats","Midland",0.4
"1572","1998","Winter oats","Midland",0.5
"1573","1999","Winter oats","Midland",0.6
"1574","2000","Winter oats","Midland",0.6
"1575","2001","Winter oats","Midland",0.2
"1576","2002","Winter oats","Midland",1
"1577","2003","Winter oats","Midland",0.7
"1578","2004","Winter oats","Midland",1.3
"1579","2005","Winter oats","Midland",0.7
"1580","2006","Winter oats","Midland",0.7
"1581","2007","Winter oats","Midland",1.2
"1582","1991","Spring oats","Midland",0.6
"1583","1992","Spring oats","Midland",0.5
"1584","1993","Spring oats","Midland",0.5
"1585","1994","Spring oats","Midland",0.5
"1586","1995","Spring oats","Midland",0.6
"1587","1996","Spring oats","Midland",0.5
"1588","1997","Spring oats","Midland",0.5
"1589","1998","Spring oats","Midland",0.2
"1590","1999","Spring oats","Midland",1.2
"1591","2000","Spring oats","Midland",0.4
"1592","2001","Spring oats","Midland",0.9
"1593","2002","Spring oats","Midland",0.5
"1594","2003","Spring oats","Midland",0.7
"1595","2004","Spring oats","Midland",0.6
"1596","2005","Spring oats","Midland",0.4
"1597","2006","Spring oats","Midland",0.4
"1598","2007","Spring oats","Midland",0.5
"1599","1991","Total barley","Midland",23.8
"1600","1992","Total barley","Midland",23
"1601","1993","Total barley","Midland",22.5
"1602","1994","Total barley","Midland",21.4
"1603","1995","Total barley","Midland",22.9
"1604","1996","Total barley","Midland",23.3
"1605","1997","Total barley","Midland",25.7
"1606","1998","Total barley","Midland",23.6
"1607","1999","Total barley","Midland",24
"1608","2000","Total barley","Midland",22.1
"1609","2001","Total barley","Midland",22.3
"1610","2002","Total barley","Midland",22.3
"1611","2003","Total barley","Midland",22.4
"1612","2004","Total barley","Midland",22.3
"1613","2005","Total barley","Midland",19.6
"1614","2006","Total barley","Midland",21.3
"1615","2007","Total barley","Midland",20.6
"1616","1991","Winter barley","Midland",2.1
"1617","1992","Winter barley","Midland",2.8
"1618","1993","Winter barley","Midland",2.8
"1619","1994","Winter barley","Midland",2.2
"1620","1995","Winter barley","Midland",3.4
"1621","1996","Winter barley","Midland",3.6
"1622","1997","Winter barley","Midland",4.1
"1623","1998","Winter barley","Midland",4.1
"1624","1999","Winter barley","Midland",2.5
"1625","2000","Winter barley","Midland",2.2
"1626","2001","Winter barley","Midland",1.8
"1627","2002","Winter barley","Midland",2.6
"1628","2003","Winter barley","Midland",2
"1629","2004","Winter barley","Midland",1.7
"1630","2005","Winter barley","Midland",1.7
"1631","2006","Winter barley","Midland",1.6
"1632","2007","Winter barley","Midland",1.5
"1633","1991","Spring barley","Midland",21.7
"1634","1992","Spring barley","Midland",20.3
"1635","1993","Spring barley","Midland",19.7
"1636","1994","Spring barley","Midland",19.2
"1637","1995","Spring barley","Midland",19.6
"1638","1996","Spring barley","Midland",19.7
"1639","1997","Spring barley","Midland",21.6
"1640","1998","Spring barley","Midland",19.5
"1641","1999","Spring barley","Midland",21.5
"1642","2000","Spring barley","Midland",19.9
"1643","2001","Spring barley","Midland",20.5
"1644","2002","Spring barley","Midland",19.7
"1645","2003","Spring barley","Midland",20.4
"1646","2004","Spring barley","Midland",20.6
"1647","2005","Spring barley","Midland",17.8
"1648","2006","Spring barley","Midland",19.6
"1649","2007","Spring barley","Midland",19.1
"1650","1991","Other cereals","Midland",0.2
"1651","1992","Other cereals","Midland",0.4
"1652","1993","Other cereals","Midland",0.4
"1653","1994","Other cereals","Midland",0.5
"1654","1995","Other cereals","Midland",0.4
"1655","1996","Other cereals","Midland",0.6
"1656","1997","Other cereals","Midland",0.4
"1657","1998","Other cereals","Midland",0.6
"1658","1999","Other cereals","Midland",1.2
"1659","2000","Other cereals","Midland",0.1
"1660","2001","Other cereals","Midland",0.1
"1661","2002","Other cereals","Midland",0.1
"1662","2003","Other cereals","Midland",0.1
"1663","2004","Other cereals","Midland",0.1
"1664","2005","Other cereals","Midland",0.2
"1665","2006","Other cereals","Midland",0.2
"1666","2007","Other cereals","Midland",0.2
"1667","1991","Rough grazing in use","Midland",30.1
"1668","1992","Rough grazing in use","Midland",27.7
"1669","1993","Rough grazing in use","Midland",19.5
"1670","1994","Rough grazing in use","Midland",19.9
"1671","1995","Rough grazing in use","Midland",19.2
"1672","1996","Rough grazing in use","Midland",17
"1673","1997","Rough grazing in use","Midland",19.4
"1674","1998","Rough grazing in use","Midland",16.9
"1675","1999","Rough grazing in use","Midland",20.8
"1676","2000","Rough grazing in use","Midland",18.5
"1677","2001","Rough grazing in use","Midland",15.2
"1678","2002","Rough grazing in use","Midland",13.2
"1679","2003","Rough grazing in use","Midland",15.5
"1680","2004","Rough grazing in use","Midland",11.5
"1681","2005","Rough grazing in use","Midland",14.9
"1682","2006","Rough grazing in use","Midland",15.7
"1683","2007","Rough grazing in use","Midland",14.5
"1684","1991","Area farmed (AAU)","West",718.8
"1685","1992","Area farmed (AAU)","West",717.8
"1686","1993","Area farmed (AAU)","West",725.9
"1687","1994","Area farmed (AAU)","West",719.7
"1688","1995","Area farmed (AAU)","West",719.3
"1689","1996","Area farmed (AAU)","West",707.4
"1690","1997","Area farmed (AAU)","West",729.9
"1691","1998","Area farmed (AAU)","West",718.6
"1692","1999","Area farmed (AAU)","West",722.3
"1693","2000","Area farmed (AAU)","West",769.6
"1694","2001","Area farmed (AAU)","West",762
"1695","2002","Area farmed (AAU)","West",749.9
"1696","2003","Area farmed (AAU)","West",751.1
"1697","2004","Area farmed (AAU)","West",738.8
"1698","2005","Area farmed (AAU)","West",752.6
"1699","2006","Area farmed (AAU)","West",743
"1700","2007","Area farmed (AAU)","West",753.7
"1701","1991","Crops and pasture","West",575.3
"1702","1992","Crops and pasture","West",580.4
"1703","1993","Crops and pasture","West",616
"1704","1994","Crops and pasture","West",612.7
"1705","1995","Crops and pasture","West",620
"1706","1996","Crops and pasture","West",608.1
"1707","1997","Crops and pasture","West",625.2
"1708","1998","Crops and pasture","West",619.3
"1709","1999","Crops and pasture","West",621.4
"1710","2000","Crops and pasture","West",642.1
"1711","2001","Crops and pasture","West",651.4
"1712","2002","Crops and pasture","West",638.8
"1713","2003","Crops and pasture","West",639.2
"1714","2004","Crops and pasture","West",632
"1715","2005","Crops and pasture","West",637.2
"1716","2006","Crops and pasture","West",631.1
"1717","2007","Crops and pasture","West",638.4
"1718","1991","Pasture","West",391.3
"1719","1992","Pasture","West",385.9
"1720","1993","Pasture","West",404.4
"1721","1994","Pasture","West",399
"1722","1995","Pasture","West",410.9
"1723","1996","Pasture","West",389.5
"1724","1997","Pasture","West",417.3
"1725","1998","Pasture","West",423.4
"1726","1999","Pasture","West",426.2
"1727","2000","Pasture","West",411.6
"1728","2001","Pasture","West",418.4
"1729","2002","Pasture","West",423.8
"1730","2003","Pasture","West",427.6
"1731","2004","Pasture","West",418.9
"1732","2005","Pasture","West",360.9
"1733","2006","Pasture","West",347.6
"1734","2007","Pasture","West",408.1
"1735","1991","Hay","West",76.5
"1736","1992","Hay","West",75.6
