"","Year","Region","Type.of.Land.Use","value"
"647","2012","Midland","Beet",1.2
"648","2013","Midland","Beet",1.4
"649","2008","West","Beet",0.3
"650","2009","West","Beet",0.3
"651","2010","West","Beet",0.2
"652","2011","West","Beet",0.1
"653","2012","West","Beet",0.1
"654","2013","West","Beet",0.2
"655","2008","Mid-West","Beet",0.4
"656","2009","Mid-West","Beet",0.4
"657","2010","Mid-West","Beet",0.3
"658","2011","Mid-West","Beet",0.3
"659","2012","Mid-West","Beet",0.2
"660","2013","Mid-West","Beet",0.3
"661","2008","South-East","Beet",3.5
"662","2009","South-East","Beet",4.1
"663","2010","South-East","Beet",3.5
"664","2011","South-East","Beet",3
"665","2012","South-East","Beet",2.7
"666","2013","South-East","Beet",3.6
"667","2008","South-West","Beet",2.6
"668","2009","South-West","Beet",3.1
"669","2010","South-West","Beet",3.2
"670","2011","South-West","Beet",2.6
"671","2012","South-West","Beet",2.6
"672","2013","South-West","Beet",3.2
"673","2008","State","Vegetables for sale",3.7
"674","2009","State","Vegetables for sale",4.4
"675","2010","State","Vegetables for sale",4.9
"676","2011","State","Vegetables for sale",3.8
"677","2012","State","Vegetables for sale",3.6
"678","2013","State","Vegetables for sale",3.5
"679","2008","Dublin plus Mid East","Vegetables for sale",2.3
"680","2009","Dublin plus Mid East","Vegetables for sale",2.6
"681","2010","Dublin plus Mid East","Vegetables for sale",2.9
"682","2011","Dublin plus Mid East","Vegetables for sale",2.3
"683","2012","Dublin plus Mid East","Vegetables for sale",2
"684","2013","Dublin plus Mid East","Vegetables for sale",2
"685","2008","Border","Vegetables for sale",0.1
"686","2009","Border","Vegetables for sale",0.2
"687","2010","Border","Vegetables for sale",0.3
"688","2011","Border","Vegetables for sale",0.2
"689","2012","Border","Vegetables for sale",0.3
"690","2013","Border","Vegetables for sale",0.3
"691","2008","Midland","Vegetables for sale",0.2
"692","2009","Midland","Vegetables for sale",0.2
"693","2010","Midland","Vegetables for sale",0.2
"694","2011","Midland","Vegetables for sale",0.2
"695","2012","Midland","Vegetables for sale",0.2
"696","2013","Midland","Vegetables for sale",0.2
"697","2008","West","Vegetables for sale",0.1
"698","2009","West","Vegetables for sale",0.1
"699","2010","West","Vegetables for sale",0.1
"700","2011","West","Vegetables for sale",0.1
"701","2012","West","Vegetables for sale",0.1
"702","2013","West","Vegetables for sale",0.1
"703","2008","Mid-West","Vegetables for sale",0
"704","2009","Mid-West","Vegetables for sale",0.1
"705","2010","Mid-West","Vegetables for sale",0.1
"706","2011","Mid-West","Vegetables for sale",0
"707","2012","Mid-West","Vegetables for sale",0.1
"708","2013","Mid-West","Vegetables for sale",0
"709","2008","South-East","Vegetables for sale",0.7
"710","2009","South-East","Vegetables for sale",0.9
"711","2010","South-East","Vegetables for sale",0.8
"712","2011","South-East","Vegetables for sale",0.6
"713","2012","South-East","Vegetables for sale",0.7
"714","2013","South-East","Vegetables for sale",0.6
"715","2008","South-West","Vegetables for sale",0.3
"716","2009","South-West","Vegetables for sale",0.4
"717","2010","South-West","Vegetables for sale",0.5
"718","2011","South-West","Vegetables for sale",0.3
"719","2012","South-West","Vegetables for sale",0.3
"720","2013","South-West","Vegetables for sale",0.3
"721","2008","State","Fruit",0.4
"722","2009","State","Fruit",0.4
"723","2010","State","Fruit",1.2
"724","2011","State","Fruit",0.8
"725","2012","State","Fruit",0.9
"726","2013","State","Fruit",0.9
"727","2008","Dublin plus Mid East","Fruit",0.1
"728","2009","Dublin plus Mid East","Fruit",0.1
"729","2010","Dublin plus Mid East","Fruit",0.4
"730","2011","Dublin plus Mid East","Fruit",0.3
"731","2012","Dublin plus Mid East","Fruit",0.3
"732","2013","Dublin plus Mid East","Fruit",0.3
"733","2008","Border","Fruit",0
"734","2009","Border","Fruit",0
"735","2010","Border","Fruit",0.1
"736","2011","Border","Fruit",0
"737","2012","Border","Fruit",0
"738","2013","Border","Fruit",0
"739","2008","Midland","Fruit",0
"740","2009","Midland","Fruit",0
"741","2010","Midland","Fruit",0.1
"742","2011","Midland","Fruit",0
"743","2012","Midland","Fruit",0
"744","2013","Midland","Fruit",0
"745","2008","West","Fruit",0
"746","2009","West","Fruit",0
"747","2010","West","Fruit",0
"748","2011","West","Fruit",0
"749","2012","West","Fruit",0
"750","2013","West","Fruit",0
"751","2008","Mid-West","Fruit",0
"752","2009","Mid-West","Fruit",0
"753","2010","Mid-West","Fruit",0
"754","2011","Mid-West","Fruit",0
"755","2012","Mid-West","Fruit",0
"756","2013","Mid-West","Fruit",0
"757","2008","South-East","Fruit",0.2
"758","2009","South-East","Fruit",0.3
"759","2010","South-East","Fruit",0.5
"760","2011","South-East","Fruit",0.4
"761","2012","South-East","Fruit",0.4
"762","2013","South-East","Fruit",0.4
"763","2008","South-West","Fruit",0
"764","2009","South-West","Fruit",0
"765","2010","South-West","Fruit",0.1
"766","2011","South-West","Fruit",0
"767","2012","South-West","Fruit",0.1
"768","2013","South-West","Fruit",0.1
"769","2008","State","Nurseries, horticulture etc.",0.3
"770","2009","State","Nurseries, horticulture etc.",0.2
"771","2010","State","Nurseries, horticulture etc.",0.3
"772","2011","State","Nurseries, horticulture etc.",0.4
"773","2012","State","Nurseries, horticulture etc.",0.4
"774","2013","State","Nurseries, horticulture etc.",0.5
"775","2008","Dublin plus Mid East","Nurseries, horticulture etc.",0
"776","2009","Dublin plus Mid East","Nurseries, horticulture etc.",0
"777","2010","Dublin plus Mid East","Nurseries, horticulture etc.",0.1
"778","2011","Dublin plus Mid East","Nurseries, horticulture etc.",0
"779","2012","Dublin plus Mid East","Nurseries, horticulture etc.",0.1
"780","2013","Dublin plus Mid East","Nurseries, horticulture etc.",0
"781","2008","Border","Nurseries, horticulture etc.",0
"782","2009","Border","Nurseries, horticulture etc.",0
"783","2010","Border","Nurseries, horticulture etc.",0
"784","2011","Border","Nurseries, horticulture etc.",0
"785","2012","Border","Nurseries, horticulture etc.",0
"786","2013","Border","Nurseries, horticulture etc.",0
"787","2008","Midland","Nurseries, horticulture etc.",0
"788","2009","Midland","Nurseries, horticulture etc.",0
"789","2010","Midland","Nurseries, horticulture etc.",0
"790","2011","Midland","Nurseries, horticulture etc.",0
"791","2012","Midland","Nurseries, horticulture etc.",0
"792","2013","Midland","Nurseries, horticulture etc.",0
"793","2008","West","Nurseries, horticulture etc.",0
"794","2009","West","Nurseries, horticulture etc.",0
"795","2010","West","Nurseries, horticulture etc.",0
"796","2011","West","Nurseries, horticulture etc.",0
"797","2012","West","Nurseries, horticulture etc.",0
"798","2013","West","Nurseries, horticulture etc.",0
"799","2008","Mid-West","Nurseries, horticulture etc.",0
"800","2009","Mid-West","Nurseries, horticulture etc.",0
"801","2010","Mid-West","Nurseries, horticulture etc.",0
"802","2011","Mid-West","Nurseries, horticulture etc.",0
"803","2012","Mid-West","Nurseries, horticulture etc.",0
"804","2013","Mid-West","Nurseries, horticulture etc.",0
"805","2008","South-East","Nurseries, horticulture etc.",0.1
"806","2009","South-East","Nurseries, horticulture etc.",0.1
"807","2010","South-East","Nurseries, horticulture etc.",0
"808","2011","South-East","Nurseries, horticulture etc.",0.2
"809","2012","South-East","Nurseries, horticulture etc.",0.2
"810","2013","South-East","Nurseries, horticulture etc.",0.3
"811","2008","South-West","Nurseries, horticulture etc.",0.1
"812","2009","South-West","Nurseries, horticulture etc.",0
"813","2010","South-West","Nurseries, horticulture etc.",0.1
"814","2011","South-West","Nurseries, horticulture etc.",0.1
"815","2012","South-West","Nurseries, horticulture etc.",0.1
"816","2013","South-West","Nurseries, horticulture etc.",0.1
"817","2008","State","Other crops",0
"818","2009","State","Other crops",0
"819","2010","State","Other crops",9.4
"820","2011","State","Other crops",4.9
"821","2012","State","Other crops",4.5
"822","2013","State","Other crops",4.7
"823","2008","Dublin plus Mid East","Other crops",0
"824","2009","Dublin plus Mid East","Other crops",0
"825","2010","Dublin plus Mid East","Other crops",3.1
"826","2011","Dublin plus Mid East","Other crops",1.2
"827","2012","Dublin plus Mid East","Other crops",1.1
"828","2013","Dublin plus Mid East","Other crops",1.5
"829","2008","Border","Other crops",0
"830","2009","Border","Other crops",0
"831","2010","Border","Other crops",0.5
"832","2011","Border","Other crops",0.4
"833","2012","Border","Other crops",0.4
"834","2013","Border","Other crops",0.4
"835","2008","Midland","Other crops",0
"836","2009","Midland","Other crops",0
"837","2010","Midland","Other crops",0.5
"838","2011","Midland","Other crops",0.3
"839","2012","Midland","Other crops",0.3
"840","2013","Midland","Other crops",0.4
"841","2008","West","Other crops",0
"842","2009","West","Other crops",0
"843","2010","West","Other crops",0.3
"844","2011","West","Other crops",0.2
"845","2012","West","Other crops",0.2
"846","2013","West","Other crops",0.1
"847","2008","Mid-West","Other crops",0
"848","2009","Mid-West","Other crops",0
"849","2010","Mid-West","Other crops",0.7
"850","2011","Mid-West","Other crops",0.6
"851","2012","Mid-West","Other crops",0.6
"852","2013","Mid-West","Other crops",0.5
"853","2008","South-East","Other crops",0
"854","2009","South-East","Other crops",0
"855","2010","South-East","Other crops",3.2
"856","2011","South-East","Other crops",1.6
"857","2012","South-East","Other crops",1.4
"858","2013","South-East","Other crops",1.3
"859","2008","South-West","Other crops",0
"860","2009","South-West","Other crops",0
"861","2010","South-West","Other crops",1
"862","2011","South-West","Other crops",0.6
"863","2012","South-West","Other crops",0.6
"864","2013","South-West","Other crops",0.5
"865","2008","State","Total cereals",322
"866","2009","State","Total cereals",299.8
"867","2010","State","Total cereals",273.9
"868","2011","State","Total cereals",297.4
"869","2012","State","Total cereals",315.4
"870","2013","State","Total cereals",307.8
"871","2008","Dublin plus Mid East","Total cereals",84.8
"872","2009","Dublin plus Mid East","Total cereals",79.2
"873","2010","Dublin plus Mid East","Total cereals",74.7
"874","2011","Dublin plus Mid East","Total cereals",80.9
"875","2012","Dublin plus Mid East","Total cereals",85.2
"876","2013","Dublin plus Mid East","Total cereals",84.1
"877","2008","Border","Total cereals",25.7
"878","2009","Border","Total cereals",24.2
"879","2010","Border","Total cereals",22.9
"880","2011","Border","Total cereals",23.9
"881","2012","Border","Total cereals",24.8
"882","2013","Border","Total cereals",24.3
"883","2008","Midland","Total cereals",32.8
"884","2009","Midland","Total cereals",31
"885","2010","Midland","Total cereals",28.7
"886","2011","Midland","Total cereals",31.9
"887","2012","Midland","Total cereals",35.2
"888","2013","Midland","Total cereals",32.7
"889","2008","West","Total cereals",4.8
"890","2009","West","Total cereals",4.7
"891","2010","West","Total cereals",4.5
"892","2011","West","Total cereals",5
"893","2012","West","Total cereals",5.4
"894","2013","West","Total cereals",5.5
"895","2008","Mid-West","Total cereals",11.2
"896","2009","Mid-West","Total cereals",10.3
"897","2010","Mid-West","Total cereals",9.2
"898","2011","Mid-West","Total cereals",9.4
"899","2012","Mid-West","Total cereals",10.2
"900","2013","Mid-West","Total cereals",10
"901","2008","South-East","Total cereals",110.7
"902","2009","South-East","Total cereals",102
"903","2010","South-East","Total cereals",91.7
"904","2011","South-East","Total cereals",100.5
"905","2012","South-East","Total cereals",106.3
"906","2013","South-East","Total cereals",105.6
"907","2008","South-West","Total cereals",52.1
"908","2009","South-West","Total cereals",48.3
"909","2010","South-West","Total cereals",42.2
"910","2011","South-West","Total cereals",45.6
"911","2012","South-West","Total cereals",48.3
"912","2013","South-West","Total cereals",45.5
"913","2008","State","Total wheat",110.7
"914","2009","State","Total wheat",84.5
"915","2010","State","Total wheat",77.8
"916","2011","State","Total wheat",94.2
"917","2012","State","Total wheat",98
"918","2013","State","Total wheat",60.6
"919","2008","Dublin plus Mid East","Total wheat",46.9
"920","2009","Dublin plus Mid East","Total wheat",38.4
"921","2010","Dublin plus Mid East","Total wheat",35.8
"922","2011","Dublin plus Mid East","Total wheat",41.3
"923","2012","Dublin plus Mid East","Total wheat",43.4
"924","2013","Dublin plus Mid East","Total wheat",25.7
"925","2008","Border","Total wheat",8.9
"926","2009","Border","Total wheat",8
"927","2010","Border","Total wheat",7.4
"928","2011","Border","Total wheat",7.6
"929","2012","Border","Total wheat",8.1
"930","2013","Border","Total wheat",5.4
"931","2008","Midland","Total wheat",8.3
"932","2009","Midland","Total wheat",6.4
"933","2010","Midland","Total wheat",5.8
"934","2011","Midland","Total wheat",8
"935","2012","Midland","Total wheat",7.6
"936","2013","Midland","Total wheat",4.4
"937","2008","West","Total wheat",0.3
"938","2009","West","Total wheat",0.4
"939","2010","West","Total wheat",0.4
"940","2011","West","Total wheat",0.5
"941","2012","West","Total wheat",0.3
"942","2013","West","Total wheat",0.2
"943","2008","Mid-West","Total wheat",1.7
"944","2009","Mid-West","Total wheat",1.1
"945","2010","Mid-West","Total wheat",1.1
"946","2011","Mid-West","Total wheat",1.6
"947","2012","Mid-West","Total wheat",1.8
"948","2013","Mid-West","Total wheat",1
"949","2008","South-East","Total wheat",29.3
"950","2009","South-East","Total wheat",19.4
"951","2010","South-East","Total wheat",18.1
"952","2011","South-East","Total wheat",24.3
"953","2012","South-East","Total wheat",25.4
"954","2013","South-East","Total wheat",16.8
"955","2008","South-West","Total wheat",15.3
"956","2009","South-West","Total wheat",10.8
"957","2010","South-West","Total wheat",9.2
"958","2011","South-West","Total wheat",10.9
"959","2012","South-West","Total wheat",11.4
"960","2013","South-West","Total wheat",7.2
"961","2008","State","Winter wheat",87.5
"962","2009","State","Winter wheat",64.3
"963","2010","State","Winter wheat",59.8
"964","2011","State","Winter wheat",77.7
"965","2012","State","Winter wheat",84.6
"966","2013","State","Winter wheat",45.4
"967","2008","Dublin plus Mid East","Winter wheat",42.6
"968","2009","Dublin plus Mid East","Winter wheat",31.9
"969","2010","Dublin plus Mid East","Winter wheat",30.2
"970","2011","Dublin plus Mid East","Winter wheat",38.2
"971","2012","Dublin plus Mid East","Winter wheat",41
"972","2013","Dublin plus Mid East","Winter wheat",19.6
"973","2008","Border","Winter wheat",8.6
"974","2009","Border","Winter wheat",7.2
"975","2010","Border","Winter wheat",6.8
"976","2011","Border","Winter wheat",7.1
"977","2012","Border","Winter wheat",7.7
"978","2013","Border","Winter wheat",4.9
"979","2008","Midland","Winter wheat",6.9
"980","2009","Midland","Winter wheat",4.9
"981","2010","Midland","Winter wheat",4.4
"982","2011","Midland","Winter wheat",7
"983","2012","Midland","Winter wheat",6.3
"984","2013","Midland","Winter wheat",3.3
"985","2008","West","Winter wheat",0.1
"986","2009","West","Winter wheat",0.1
"987","2010","West","Winter wheat",0.2
"988","2011","West","Winter wheat",0.3
"989","2012","West","Winter wheat",0.1
"990","2013","West","Winter wheat",0.1
"991","2008","Mid-West","Winter wheat",1.3
"992","2009","Mid-West","Winter wheat",0.7
"993","2010","Mid-West","Winter wheat",0.8
"994","2011","Mid-West","Winter wheat",1.2
"995","2012","Mid-West","Winter wheat",1.2
"996","2013","Mid-West","Winter wheat",0.5
"997","2008","South-East","Winter wheat",20.7
"998","2009","South-East","Winter wheat",12.6
"999","2010","South-East","Winter wheat",12.9
"1000","2011","South-East","Winter wheat",18.5
"1001","2012","South-East","Winter wheat",21.1
"1002","2013","South-East","Winter wheat",12.9
"1003","2008","South-West","Winter wheat",7.3
"1004","2009","South-West","Winter wheat",6.9
"1005","2010","South-West","Winter wheat",4.5
"1006","2011","South-West","Winter wheat",5.4
"1007","2012","South-West","Winter wheat",7.2
"1008","2013","South-West","Winter wheat",4.2
"1009","2008","State","Spring wheat",23.2
"1010","2009","State","Spring wheat",20.2
"1011","2010","State","Spring wheat",18
"1012","2011","State","Spring wheat",16.4
"1013","2012","State","Spring wheat",13.5
"1014","2013","State","Spring wheat",15.2
"1015","2008","Dublin plus Mid East","Spring wheat",4.3
"1016","2009","Dublin plus Mid East","Spring wheat",6.5
"1017","2010","Dublin plus Mid East","Spring wheat",5.7
"1018","2011","Dublin plus Mid East","Spring wheat",3.1
"1019","2012","Dublin plus Mid East","Spring wheat",2.5
"1020","2013","Dublin plus Mid East","Spring wheat",6.1
"1021","2008","Border","Spring wheat",0.3
"1022","2009","Border","Spring wheat",0.8
"1023","2010","Border","Spring wheat",0.6
"1024","2011","Border","Spring wheat",0.5
"1025","2012","Border","Spring wheat",0.4
"1026","2013","Border","Spring wheat",0.5
"1027","2008","Midland","Spring wheat",1.4
"1028","2009","Midland","Spring wheat",1.5
"1029","2010","Midland","Spring wheat",1.4
"1030","2011","Midland","Spring wheat",1
"1031","2012","Midland","Spring wheat",1.3
"1032","2013","Midland","Spring wheat",1.1
"1033","2008","West","Spring wheat",0.2
"1034","2009","West","Spring wheat",0.2
"1035","2010","West","Spring wheat",0.2
"1036","2011","West","Spring wheat",0.2
"1037","2012","West","Spring wheat",0.2
"1038","2013","West","Spring wheat",0.1
"1039","2008","Mid-West","Spring wheat",0.4
"1040","2009","Mid-West","Spring wheat",0.4
"1041","2010","Mid-West","Spring wheat",0.3
"1042","2011","Mid-West","Spring wheat",0.4
"1043","2012","Mid-West","Spring wheat",0.6
"1044","2013","Mid-West","Spring wheat",0.5
"1045","2008","South-East","Spring wheat",8.6
"1046","2009","South-East","Spring wheat",6.8
"1047","2010","South-East","Spring wheat",5.2
"1048","2011","South-East","Spring wheat",5.8
"1049","2012","South-East","Spring wheat",4.3
"1050","2013","South-East","Spring wheat",3.9
"1051","2008","South-West","Spring wheat",8
"1052","2009","South-West","Spring wheat",3.9
"1053","2010","South-West","Spring wheat",4.7
"1054","2011","South-West","Spring wheat",5.5
"1055","2012","South-West","Spring wheat",4.23
"1056","2013","South-West","Spring wheat",2.9
"1057","2008","State","Total oats",22.9
"1058","2009","State","Total oats",20.4
"1059","2010","State","Total oats",19.7
"1060","2011","State","Total oats",21.4
"1061","2012","State","Total oats",23.7
"1062","2013","State","Total oats",26.7
"1063","2008","Dublin plus Mid East","Total oats",6.1
"1064","2009","Dublin plus Mid East","Total oats",5.5
"1065","2010","Dublin plus Mid East","Total oats",4.6
"1066","2011","Dublin plus Mid East","Total oats",5.5
"1067","2012","Dublin plus Mid East","Total oats",6.5
"1068","2013","Dublin plus Mid East","Total oats",8.1
"1069","2008","Border","Total oats",2
"1070","2009","Border","Total oats",1.9
"1071","2010","Border","Total oats",1.9
"1072","2011","Border","Total oats",2.2
"1073","2012","Border","Total oats",2.5
"1074","2013","Border","Total oats",2.4
"1075","2008","Midland","Total oats",1.4
"1076","2009","Midland","Total oats",1
"1077","2010","Midland","Total oats",1.2
"1078","2011","Midland","Total oats",1.4
"1079","2012","Midland","Total oats",1.8
"1080","2013","Midland","Total oats",1.8
"1081","2008","West","Total oats",0.7
"1082","2009","West","Total oats",0.6
"1083","2010","West","Total oats",0.8
"1084","2011","West","Total oats",0.9
"1085","2012","West","Total oats",0.9
"1086","2013","West","Total oats",0.9
"1087","2008","Mid-West","Total oats",0.6
"1088","2009","Mid-West","Total oats",0.4
"1089","2010","Mid-West","Total oats",0.5
"1090","2011","Mid-West","Total oats",0.3
"1091","2012","Mid-West","Total oats",0.4
"1092","2013","Mid-West","Total oats",0.4
"1093","2008","South-East","Total oats",8.8
"1094","2009","South-East","Total oats",8.1
"1095","2010","South-East","Total oats",7.7
"1096","2011","South-East","Total oats",8
"1097","2012","South-East","Total oats",8.5
"1098","2013","South-East","Total oats",9.8
"1099","2008","South-West","Total oats",3.3
"1100","2009","South-West","Total oats",2.9
"1101","2010","South-West","Total oats",3
"1102","2011","South-West","Total oats",3.1
"1103","2012","South-West","Total oats",3.2
"1104","2013","South-West","Total oats",3.1
"1105","2008","State","Winter oats",18.7
"1106","2009","State","Winter oats",9.1
"1107","2010","State","Winter oats",10.3
"1108","2011","State","Winter oats",9
"1109","2012","State","Winter oats",9.9
"1110","2013","State","Winter oats",5.4
"1111","2008","Dublin plus Mid East","Winter oats",5.6
"1112","2009","Dublin plus Mid East","Winter oats",3
"1113","2010","Dublin plus Mid East","Winter oats",2.8
"1114","2011","Dublin plus Mid East","Winter oats",3
"1115","2012","Dublin plus Mid East","Winter oats",3.8
"1116","2013","Dublin plus Mid East","Winter oats",1.8
"1117","2008","Border","Winter oats",1.3
"1118","2009","Border","Winter oats",0.8
"1119","2010","Border","Winter oats",0.6
"1120","2011","Border","Winter oats",0.7
"1121","2012","Border","Winter oats",0.6
"1122","2013","Border","Winter oats",0.3
"1123","2008","Midland","Winter oats",1.2
"1124","2009","Midland","Winter oats",0.5
"1125","2010","Midland","Winter oats",0.8
"1126","2011","Midland","Winter oats",0.6
"1127","2012","Midland","Winter oats",0.7
"1128","2013","Midland","Winter oats",0.6
"1129","2008","West","Winter oats",0.2
"1130","2009","West","Winter oats",0
"1131","2010","West","Winter oats",0
"1132","2011","West","Winter oats",0.1
"1133","2012","West","Winter oats",0
"1134","2013","West","Winter oats",0
"1135","2008","Mid-West","Winter oats",0.5
"1136","2009","Mid-West","Winter oats",0.2
"1137","2010","Mid-West","Winter oats",0.3
"1138","2011","Mid-West","Winter oats",0.1
"1139","2012","Mid-West","Winter oats",0.1
"1140","2013","Mid-West","Winter oats",0
"1141","2008","South-East","Winter oats",7.3
"1142","2009","South-East","Winter oats",3.2
"1143","2010","South-East","Winter oats",4.6
"1144","2011","South-East","Winter oats",3.3
"1145","2012","South-East","Winter oats",3.9
"1146","2013","South-East","Winter oats",2.3
"1147","2008","South-West","Winter oats",2.6
"1148","2009","South-West","Winter oats",1.4
"1149","2010","South-West","Winter oats",1.1
"1150","2011","South-West","Winter oats",1.3
"1151","2012","South-West","Winter oats",0.9
"1152","2013","South-West","Winter oats",0.4
"1153","2008","State","Spring oats",4.2
"1154","2009","State","Spring oats",11.3
"1155","2010","State","Spring oats",9.4
"1156","2011","State","Spring oats",12.4
"1157","2012","State","Spring oats",13.8
"1158","2013","State","Spring oats",21.3
"1159","2008","Dublin plus Mid East","Spring oats",0.5
"1160","2009","Dublin plus Mid East","Spring oats",2.5
"1161","2010","Dublin plus Mid East","Spring oats",1.7
"1162","2011","Dublin plus Mid East","Spring oats",2.5
"1163","2012","Dublin plus Mid East","Spring oats",2.7
"1164","2013","Dublin plus Mid East","Spring oats",6.3
"1165","2008","Border","Spring oats",0.7
"1166","2009","Border","Spring oats",1.1
"1167","2010","Border","Spring oats",1.3
"1168","2011","Border","Spring oats",1.5
"1169","2012","Border","Spring oats",1.9
"1170","2013","Border","Spring oats",2.2
"1171","2008","Midland","Spring oats",0.2
"1172","2009","Midland","Spring oats",0.5
"1173","2010","Midland","Spring oats",0.4
"1174","2011","Midland","Spring oats",0.7
"1175","2012","Midland","Spring oats",1.2
"1176","2013","Midland","Spring oats",1.3
"1177","2008","West","Spring oats",0.5
"1178","2009","West","Spring oats",0.6
"1179","2010","West","Spring oats",0.8
"1180","2011","West","Spring oats",0.9
"1181","2012","West","Spring oats",0.9
"1182","2013","West","Spring oats",0.9
"1183","2008","Mid-West","Spring oats",0
"1184","2009","Mid-West","Spring oats",0.2
"1185","2010","Mid-West","Spring oats",0.1
"1186","2011","Mid-West","Spring oats",0.2
"1187","2012","Mid-West","Spring oats",0.3
"1188","2013","Mid-West","Spring oats",0.4
"1189","2008","South-East","Spring oats",1.5
"1190","2009","South-East","Spring oats",4.8
"1191","2010","South-East","Spring oats",3.1
"1192","2011","South-East","Spring oats",4.7
"1193","2012","South-East","Spring oats",4.6
"1194","2013","South-East","Spring oats",7.5
"1195","2008","South-West","Spring oats",0.7
"1196","2009","South-West","Spring oats",1.5
"1197","2010","South-West","Spring oats",1.9
"1198","2011","South-West","Spring oats",1.8
"1199","2012","South-West","Spring oats",2.3
"1200","2013","South-West","Spring oats",2.6
"1201","2008","State","Total barley",187.2
"1202","2009","State","Total barley",193.6
"1203","2010","State","Total barley",174.8
"1204","2011","State","Total barley",180.6
"1205","2012","State","Total barley",192.8
"1206","2013","State","Total barley",219.4
"1207","2008","Dublin plus Mid East","Total barley",31.5
"1208","2009","Dublin plus Mid East","Total barley",34.9
"1209","2010","Dublin plus Mid East","Total barley",33.9
"1210","2011","Dublin plus Mid East","Total barley",33.8
"1211","2012","Dublin plus Mid East","Total barley",35.1
"1212","2013","Dublin plus Mid East","Total barley",49.9
"1213","2008","Border","Total barley",14.7
"1214","2009","Border","Total barley",14.3
"1215","2010","Border","Total barley",13.5
"1216","2011","Border","Total barley",14
"1217","2012","Border","Total barley",14
"1218","2013","Border","Total barley",16.3
"1219","2008","Midland","Total barley",23
"1220","2009","Midland","Total barley",23.4
"1221","2010","Midland","Total barley",21.4
"1222","2011","Midland","Total barley",22.4
"1223","2012","Midland","Total barley",25.6
"1224","2013","Midland","Total barley",26.3
"1225","2008","West","Total barley",3.7
"1226","2009","West","Total barley",3.5
"1227","2010","West","Total barley",3
"1228","2011","West","Total barley",3.4
"1229","2012","West","Total barley",4.1
"1230","2013","West","Total barley",4.3
"1231","2008","Mid-West","Total barley",8.9
"1232","2009","Mid-West","Total barley",8.8
"1233","2010","Mid-West","Total barley",7.6
"1234","2011","Mid-West","Total barley",7.5
"1235","2012","Mid-West","Total barley",8.1
"1236","2013","Mid-West","Total barley",8.6
"1237","2008","South-East","Total barley",72.3
"1238","2009","South-East","Total barley",74.3
"1239","2010","South-East","Total barley",65.6
"1240","2011","South-East","Total barley",68
"1241","2012","South-East","Total barley",72.1
"1242","2013","South-East","Total barley",78.7
"1243","2008","South-West","Total barley",33.2
"1244","2009","South-West","Total barley",34.4
"1245","2010","South-West","Total barley",29.9
"1246","2011","South-West","Total barley",31.5
"1247","2012","South-West","Total barley",33.7
"1248","2013","South-West","Total barley",35.2
"1249","2008","State","Winter barley",21.1
"1250","2009","State","Winter barley",19.3
"1251","2010","State","Winter barley",28.8
"1252","2011","State","Winter barley",35.9
"1253","2012","State","Winter barley",41
"1254","2013","State","Winter barley",36
"1255","2008","Dublin plus Mid East","Winter barley",6.4
"1256","2009","Dublin plus Mid East","Winter barley",5.6
"1257","2010","Dublin plus Mid East","Winter barley",8.1
"1258","2011","Dublin plus Mid East","Winter barley",9.5
"1259","2012","Dublin plus Mid East","Winter barley",11
"1260","2013","Dublin plus Mid East","Winter barley",8.6
"1261","2008","Border","Winter barley",4.8
"1262","2009","Border","Winter barley",4.2
"1263","2010","Border","Winter barley",5
"1264","2011","Border","Winter barley",5.1
"1265","2012","Border","Winter barley",5
"1266","2013","Border","Winter barley",4.6
"1267","2008","Midland","Winter barley",1.8
"1268","2009","Midland","Winter barley",1.6
"1269","2010","Midland","Winter barley",2.8
"1270","2011","Midland","Winter barley",3.2
"1271","2012","Midland","Winter barley",3.9
"1272","2013","Midland","Winter barley",2.9
"1273","2008","West","Winter barley",0.2
"1274","2009","West","Winter barley",0
"1275","2010","West","Winter barley",0.1
"1276","2011","West","Winter barley",0.2
"1277","2012","West","Winter barley",0.1
"1278","2013","West","Winter barley",0.1
"1279","2008","Mid-West","Winter barley",0.8
"1280","2009","Mid-West","Winter barley",0.4
"1281","2010","Mid-West","Winter barley",1.1
"1282","2011","Mid-West","Winter barley",1.4
"1283","2012","Mid-West","Winter barley",1.5
"1284","2013","Mid-West","Winter barley",0.9
"1285","2008","South-East","Winter barley",3.3
"1286","2009","South-East","Winter barley",3.4
"1287","2010","South-East","Winter barley",6.2
"1288","2011","South-East","Winter barley",9
"1289","2012","South-East","Winter barley",11.3
"1290","2013","South-East","Winter barley",10.5
"1291","2008","South-West","Winter barley",4
"1292","2009","South-West","Winter barley",4.2
"1293","2010","South-West","Winter barley",5.5
"1294","2011","South-West","Winter barley",7.5
"1295","2012","South-West","Winter barley",8.3
"1296","2013","South-West","Winter barley",8.5
"1297","2008","State","Spring barley",166
"1298","2009","State","Spring barley",174.3
"1299","2010","State","Spring barley",146
"1300","2011","State","Spring barley",144.8
"1301","2012","State","Spring barley",151.8
"1302","2013","State","Spring barley",183.5
"1303","2008","Dublin plus Mid East","Spring barley",25.1
"1304","2009","Dublin plus Mid East","Spring barley",29.3
"1305","2010","Dublin plus Mid East","Spring barley",25.8
"1306","2011","Dublin plus Mid East","Spring barley",24.3
