"","Year","Farm.Land.Utilisation","Rural.District","value"
"15053","1965","Apples","New Ross",25
"15054","1970","Apples","New Ross",15
"15055","1975","Apples","New Ross",8
"15056","1980","Apples","New Ross",3
"15057","1926","Fruit excluding apples","New Ross",NA
"15058","1933","Fruit excluding apples","New Ross",NA
"15059","1955","Fruit excluding apples","New Ross",NA
"15060","1960","Fruit excluding apples","New Ross",NA
"15061","1965","Fruit excluding apples","New Ross",42
"15062","1970","Fruit excluding apples","New Ross",32
"15063","1975","Fruit excluding apples","New Ross",36
"15064","1980","Fruit excluding apples","New Ross",69
"15065","1926","Horticultural bulbs, flowers and bushes","New Ross",NA
"15066","1933","Horticultural bulbs, flowers and bushes","New Ross",NA
"15067","1955","Horticultural bulbs, flowers and bushes","New Ross",NA
"15068","1960","Horticultural bulbs, flowers and bushes","New Ross",3
"15069","1965","Horticultural bulbs, flowers and bushes","New Ross",2
"15070","1970","Horticultural bulbs, flowers and bushes","New Ross",23
"15071","1975","Horticultural bulbs, flowers and bushes","New Ross",4
"15072","1980","Horticultural bulbs, flowers and bushes","New Ross",4
"15073","1926","Hay","New Ross",4687
"15074","1933","Hay","New Ross",4574
"15075","1955","Hay","New Ross",4344
"15076","1960","Hay","New Ross",4576
"15077","1965","Hay","New Ross",6015
"15078","1970","Hay","New Ross",6929
"15079","1975","Hay","New Ross",8039
"15080","1980","Hay","New Ross",10367
"15081","1926","Rye grass for seed","New Ross",NA
"15082","1933","Rye grass for seed","New Ross",NA
"15083","1955","Rye grass for seed","New Ross",NA
"15084","1960","Rye grass for seed","New Ross",167
"15085","1965","Rye grass for seed","New Ross",177
"15086","1970","Rye grass for seed","New Ross",33
"15087","1975","Rye grass for seed","New Ross",7
"15088","1980","Rye grass for seed","New Ross",2
"15089","1926","First to fourth years hay","New Ross",NA
"15090","1933","First to fourth years hay","New Ross",NA
"15091","1955","First to fourth years hay","New Ross",NA
"15092","1960","First to fourth years hay","New Ross",NA
"15093","1965","First to fourth years hay","New Ross",NA
"15094","1970","First to fourth years hay","New Ross",NA
"15095","1975","First to fourth years hay","New Ross",4032
"15096","1980","First to fourth years hay","New Ross",6294
"15097","1926","Permanent meadow","New Ross",NA
"15098","1933","Permanent meadow","New Ross",NA
"15099","1955","Permanent meadow","New Ross",NA
"15100","1960","Permanent meadow","New Ross",NA
"15101","1965","Permanent meadow","New Ross",NA
"15102","1970","Permanent meadow","New Ross",NA
"15103","1975","Permanent meadow","New Ross",4000
"15104","1980","Permanent meadow","New Ross",4071
"15105","1926","Pasture","New Ross",28640
"15106","1933","Pasture","New Ross",28118
"15107","1955","Pasture","New Ross",24817
"15108","1960","Pasture","New Ross",23932
"15109","1965","Pasture","New Ross",23987
"15110","1970","Pasture","New Ross",23631
"15111","1975","Pasture","New Ross",21736
"15112","1980","Pasture","New Ross",19416
"15113","1926","Rough grazing in use","New Ross",NA
"15114","1933","Rough grazing in use","New Ross",NA
"15115","1955","Rough grazing in use","New Ross",NA
"15116","1960","Rough grazing in use","New Ross",NA
"15117","1965","Rough grazing in use","New Ross",NA
"15118","1970","Rough grazing in use","New Ross",NA
"15119","1975","Rough grazing in use","New Ross",3683
"15120","1980","Rough grazing in use","New Ross",2385
"15121","1926","Other land","New Ross",NA
"15122","1933","Other land","New Ross",NA
"15123","1955","Other land","New Ross",NA
"15124","1960","Other land","New Ross",NA
"15125","1965","Other land","New Ross",NA
"15126","1970","Other land","New Ross",NA
"15127","1975","Other land","New Ross",3551
"15128","1980","Other land","New Ross",2713
"15129","1926","Total Area","Wexford",53827
"15130","1933","Total Area","Wexford",53827
"15131","1955","Total Area","Wexford",53840
"15132","1960","Total Area","Wexford",53383
"15133","1965","Total Area","Wexford",53840
"15134","1970","Total Area","Wexford",53840
"15135","1975","Total Area","Wexford",53840
"15136","1980","Total Area","Wexford",53828
"15137","1926","Crops, hay, pasture and rough grazing","Wexford",NA
"15138","1933","Crops, hay, pasture and rough grazing","Wexford",NA
"15139","1955","Crops, hay, pasture and rough grazing","Wexford",NA
"15140","1960","Crops, hay, pasture and rough grazing","Wexford",NA
"15141","1965","Crops, hay, pasture and rough grazing","Wexford",NA
"15142","1970","Crops, hay, pasture and rough grazing","Wexford",NA
"15143","1975","Crops, hay, pasture and rough grazing","Wexford",49804
"15144","1980","Crops, hay, pasture and rough grazing","Wexford",49048
"15145","1926","Crops, hay and pasture","Wexford",49761
"15146","1933","Crops, hay and pasture","Wexford",47472
"15147","1955","Crops, hay and pasture","Wexford",48617
"15148","1960","Crops, hay and pasture","Wexford",45163
"15149","1965","Crops, hay and pasture","Wexford",47393
"15150","1970","Crops, hay and pasture","Wexford",47760
"15151","1975","Crops, hay and pasture","Wexford",47229
"15152","1980","Crops, hay and pasture","Wexford",47476
"15153","1926","Crops including fruit and horticultural","Wexford",9628
"15154","1933","Crops including fruit and horticultural","Wexford",9160
"15155","1955","Crops including fruit and horticultural","Wexford",11852
"15156","1960","Crops including fruit and horticultural","Wexford",12546
"15157","1965","Crops including fruit and horticultural","Wexford",10837
"15158","1970","Crops including fruit and horticultural","Wexford",11730
"15159","1975","Crops including fruit and horticultural","Wexford",11318
"15160","1980","Crops including fruit and horticultural","Wexford",14733
"15161","1926","Corn crops","Wexford",5926
"15162","1933","Corn crops","Wexford",5575
"15163","1955","Corn crops","Wexford",8486
"15164","1960","Corn crops","Wexford",9195
"15165","1965","Corn crops","Wexford",7264
"15166","1970","Corn crops","Wexford",8564
"15167","1975","Corn crops","Wexford",8375
"15168","1980","Corn crops","Wexford",11874
"15169","1926","Wheat","Wexford",433
"15170","1933","Wheat","Wexford",659
"15171","1955","Wheat","Wexford",4238
"15172","1960","Wheat","Wexford",4579
"15173","1965","Wheat","Wexford",2045
"15174","1970","Wheat","Wexford",3115
"15175","1975","Wheat","Wexford",1725
"15176","1980","Wheat","Wexford",1013
"15177","1926","Spring wheat","Wexford",NA
"15178","1933","Spring wheat","Wexford",NA
"15179","1955","Spring wheat","Wexford",NA
"15180","1960","Spring wheat","Wexford",NA
"15181","1965","Spring wheat","Wexford",NA
"15182","1970","Spring wheat","Wexford",NA
"15183","1975","Spring wheat","Wexford",NA
"15184","1980","Spring wheat","Wexford",876
"15185","1926","Winter wheat","Wexford",NA
"15186","1933","Winter wheat","Wexford",NA
"15187","1955","Winter wheat","Wexford",NA
"15188","1960","Winter wheat","Wexford",NA
"15189","1965","Winter wheat","Wexford",NA
"15190","1970","Winter wheat","Wexford",NA
"15191","1975","Winter wheat","Wexford",NA
"15192","1980","Winter wheat","Wexford",137
"15193","1926","Oats","Wexford",3202
"15194","1933","Oats","Wexford",2930
"15195","1955","Oats","Wexford",2588
"15196","1960","Oats","Wexford",2263
"15197","1965","Oats","Wexford",1614
"15198","1970","Oats","Wexford",857
"15199","1975","Oats","Wexford",626
"15200","1980","Oats","Wexford",298
"15201","1926","Barley","Wexford",2283
"15202","1933","Barley","Wexford",1985
"15203","1955","Barley","Wexford",1654
"15204","1960","Barley","Wexford",2337
"15205","1965","Barley","Wexford",3598
"15206","1970","Barley","Wexford",4568
"15207","1975","Barley","Wexford",6016
"15208","1980","Barley","Wexford",10537
"15209","1926","Malting barley","Wexford",NA
"15210","1933","Malting barley","Wexford",NA
"15211","1955","Malting barley","Wexford",NA
"15212","1960","Malting barley","Wexford",1168
"15213","1965","Malting barley","Wexford",1225
"15214","1970","Malting barley","Wexford",1165
"15215","1975","Malting barley","Wexford",1434
"15216","1980","Malting barley","Wexford",960
"15217","1926","Other barley","Wexford",NA
"15218","1933","Other barley","Wexford",NA
"15219","1955","Other barley","Wexford",NA
"15220","1960","Other barley","Wexford",1170
"15221","1965","Other barley","Wexford",2373
"15222","1970","Other barley","Wexford",3403
"15223","1975","Other barley","Wexford",4582
"15224","1980","Other barley","Wexford",9577
"15225","1926","Spring barley","Wexford",NA
"15226","1933","Spring barley","Wexford",NA
"15227","1955","Spring barley","Wexford",NA
"15228","1960","Spring barley","Wexford",NA
"15229","1965","Spring barley","Wexford",NA
"15230","1970","Spring barley","Wexford",NA
"15231","1975","Spring barley","Wexford",NA
"15232","1980","Spring barley","Wexford",9415
"15233","1926","Winter barley","Wexford",NA
"15234","1933","Winter barley","Wexford",NA
"15235","1955","Winter barley","Wexford",NA
"15236","1960","Winter barley","Wexford",NA
"15237","1965","Winter barley","Wexford",NA
"15238","1970","Winter barley","Wexford",NA
"15239","1975","Winter barley","Wexford",NA
"15240","1980","Winter barley","Wexford",162
"15241","1926","Other corn crops","Wexford",8
"15242","1933","Other corn crops","Wexford",2
"15243","1955","Other corn crops","Wexford",6
"15244","1960","Other corn crops","Wexford",15
"15245","1965","Other corn crops","Wexford",6
"15246","1970","Other corn crops","Wexford",25
"15247","1975","Other corn crops","Wexford",9
"15248","1980","Other corn crops","Wexford",26
"15249","1926","Root and green crops","Wexford",3651
"15250","1933","Root and green crops","Wexford",3530
"15251","1955","Root and green crops","Wexford",3295
"15252","1960","Root and green crops","Wexford",3248
"15253","1965","Root and green crops","Wexford",3462
"15254","1970","Root and green crops","Wexford",3073
"15255","1975","Root and green crops","Wexford",2888
"15256","1980","Root and green crops","Wexford",2818
"15257","1926","Potatoes","Wexford",1266
"15258","1933","Potatoes","Wexford",1161
"15259","1955","Potatoes","Wexford",802
"15260","1960","Potatoes","Wexford",801
"15261","1965","Potatoes","Wexford",588
"15262","1970","Potatoes","Wexford",502
"15263","1975","Potatoes","Wexford",442
"15264","1980","Potatoes","Wexford",428
"15265","1926","Turnips","Wexford",1396
"15266","1933","Turnips","Wexford",1195
"15267","1955","Turnips","Wexford",1263
"15268","1960","Turnips","Wexford",879
"15269","1965","Turnips","Wexford",953
"15270","1970","Turnips","Wexford",833
"15271","1975","Turnips","Wexford",443
"15272","1980","Turnips","Wexford",290
"15273","1926","Sugar beet","Wexford",135
"15274","1933","Sugar beet","Wexford",441
"15275","1955","Sugar beet","Wexford",701
"15276","1960","Sugar beet","Wexford",958
"15277","1965","Sugar beet","Wexford",1427
"15278","1970","Sugar beet","Wexford",1461
"15279","1975","Sugar beet","Wexford",1733
"15280","1980","Sugar beet","Wexford",1886
"15281","1926","Other root and green crops","Wexford",855
"15282","1933","Other root and green crops","Wexford",733
"15283","1955","Other root and green crops","Wexford",531
"15284","1960","Other root and green crops","Wexford",610
"15285","1965","Other root and green crops","Wexford",494
"15286","1970","Other root and green crops","Wexford",276
"15287","1975","Other root and green crops","Wexford",271
"15288","1980","Other root and green crops","Wexford",214
"15289","1926","Fruit and horticulture","Wexford",50
"15290","1933","Fruit and horticulture","Wexford",55
"15291","1955","Fruit and horticulture","Wexford",70
"15292","1960","Fruit and horticulture","Wexford",103
"15293","1965","Fruit and horticulture","Wexford",112
"15294","1970","Fruit and horticulture","Wexford",92
"15295","1975","Fruit and horticulture","Wexford",54
"15296","1980","Fruit and horticulture","Wexford",41
"15297","1926","Apples","Wexford",NA
"15298","1933","Apples","Wexford",NA
"15299","1955","Apples","Wexford",NA
"15300","1960","Apples","Wexford",NA
"15301","1965","Apples","Wexford",42
"15302","1970","Apples","Wexford",30
"15303","1975","Apples","Wexford",15
"15304","1980","Apples","Wexford",6
"15305","1926","Fruit excluding apples","Wexford",NA
"15306","1933","Fruit excluding apples","Wexford",NA
"15307","1955","Fruit excluding apples","Wexford",NA
"15308","1960","Fruit excluding apples","Wexford",NA
"15309","1965","Fruit excluding apples","Wexford",66
"15310","1970","Fruit excluding apples","Wexford",52
"15311","1975","Fruit excluding apples","Wexford",31
"15312","1980","Fruit excluding apples","Wexford",27
"15313","1926","Horticultural bulbs, flowers and bushes","Wexford",NA
"15314","1933","Horticultural bulbs, flowers and bushes","Wexford",NA
"15315","1955","Horticultural bulbs, flowers and bushes","Wexford",NA
"15316","1960","Horticultural bulbs, flowers and bushes","Wexford",4
"15317","1965","Horticultural bulbs, flowers and bushes","Wexford",3
"15318","1970","Horticultural bulbs, flowers and bushes","Wexford",10
"15319","1975","Horticultural bulbs, flowers and bushes","Wexford",8
"15320","1980","Horticultural bulbs, flowers and bushes","Wexford",8
"15321","1926","Hay","Wexford",7017
"15322","1933","Hay","Wexford",6525
"15323","1955","Hay","Wexford",5817
"15324","1960","Hay","Wexford",6075
"15325","1965","Hay","Wexford",7003
"15326","1970","Hay","Wexford",8449
"15327","1975","Hay","Wexford",10037
"15328","1980","Hay","Wexford",12910
"15329","1926","Rye grass for seed","Wexford",NA
"15330","1933","Rye grass for seed","Wexford",NA
"15331","1955","Rye grass for seed","Wexford",NA
"15332","1960","Rye grass for seed","Wexford",214
"15333","1965","Rye grass for seed","Wexford",209
"15334","1970","Rye grass for seed","Wexford",9
"15335","1975","Rye grass for seed","Wexford",0
"15336","1980","Rye grass for seed","Wexford",0
"15337","1926","First to fourth years hay","Wexford",NA
"15338","1933","First to fourth years hay","Wexford",NA
"15339","1955","First to fourth years hay","Wexford",NA
"15340","1960","First to fourth years hay","Wexford",NA
"15341","1965","First to fourth years hay","Wexford",NA
"15342","1970","First to fourth years hay","Wexford",NA
"15343","1975","First to fourth years hay","Wexford",7101
"15344","1980","First to fourth years hay","Wexford",7362
"15345","1926","Permanent meadow","Wexford",NA
"15346","1933","Permanent meadow","Wexford",NA
"15347","1955","Permanent meadow","Wexford",NA
"15348","1960","Permanent meadow","Wexford",NA
"15349","1965","Permanent meadow","Wexford",NA
"15350","1970","Permanent meadow","Wexford",NA
"15351","1975","Permanent meadow","Wexford",2935
"15352","1980","Permanent meadow","Wexford",5548
"15353","1926","Pasture","Wexford",33116
"15354","1933","Pasture","Wexford",31787
"15355","1955","Pasture","Wexford",30948
"15356","1960","Pasture","Wexford",26543
"15357","1965","Pasture","Wexford",29552
"15358","1970","Pasture","Wexford",27581
"15359","1975","Pasture","Wexford",25874
"15360","1980","Pasture","Wexford",19833
"15361","1926","Rough grazing in use","Wexford",NA
"15362","1933","Rough grazing in use","Wexford",NA
"15363","1955","Rough grazing in use","Wexford",NA
"15364","1960","Rough grazing in use","Wexford",NA
"15365","1965","Rough grazing in use","Wexford",NA
"15366","1970","Rough grazing in use","Wexford",NA
"15367","1975","Rough grazing in use","Wexford",2575
"15368","1980","Rough grazing in use","Wexford",1572
"15369","1926","Other land","Wexford",NA
"15370","1933","Other land","Wexford",NA
"15371","1955","Other land","Wexford",NA
"15372","1960","Other land","Wexford",NA
"15373","1965","Other land","Wexford",NA
"15374","1970","Other land","Wexford",NA
"15375","1975","Other land","Wexford",4036
"15376","1980","Other land","Wexford",4780
"15377","1926","Total Area","Co. Wicklow",202442
"15378","1933","Total Area","Co. Wicklow",202442
"15379","1955","Total Area","Co. Wicklow",202444
"15380","1960","Total Area","Co. Wicklow",202444
"15381","1965","Total Area","Co. Wicklow",202476
"15382","1970","Total Area","Co. Wicklow",202476
"15383","1975","Total Area","Co. Wicklow",202476
"15384","1980","Total Area","Co. Wicklow",202476
"15385","1926","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15386","1933","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15387","1955","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15388","1960","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15389","1965","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15390","1970","Crops, hay, pasture and rough grazing","Co. Wicklow",NA
"15391","1975","Crops, hay, pasture and rough grazing","Co. Wicklow",149875
"15392","1980","Crops, hay, pasture and rough grazing","Co. Wicklow",147114
"15393","1926","Crops, hay and pasture","Co. Wicklow",119697
"15394","1933","Crops, hay and pasture","Co. Wicklow",107285
"15395","1955","Crops, hay and pasture","Co. Wicklow",105841
"15396","1960","Crops, hay and pasture","Co. Wicklow",96185
"15397","1965","Crops, hay and pasture","Co. Wicklow",103852
"15398","1970","Crops, hay and pasture","Co. Wicklow",106573
"15399","1975","Crops, hay and pasture","Co. Wicklow",101500
"15400","1980","Crops, hay and pasture","Co. Wicklow",99755
"15401","1926","Crops including fruit and horticultural","Co. Wicklow",14611
"15402","1933","Crops including fruit and horticultural","Co. Wicklow",14487
"15403","1955","Crops including fruit and horticultural","Co. Wicklow",18962
"15404","1960","Crops including fruit and horticultural","Co. Wicklow",20412
"15405","1965","Crops including fruit and horticultural","Co. Wicklow",18724
"15406","1970","Crops including fruit and horticultural","Co. Wicklow",19567
"15407","1975","Crops including fruit and horticultural","Co. Wicklow",19709
"15408","1980","Crops including fruit and horticultural","Co. Wicklow",25855
"15409","1926","Corn crops","Co. Wicklow",8360
"15410","1933","Corn crops","Co. Wicklow",8641
"15411","1955","Corn crops","Co. Wicklow",13263
"15412","1960","Corn crops","Co. Wicklow",14819
"15413","1965","Corn crops","Co. Wicklow",13779
"15414","1970","Corn crops","Co. Wicklow",15372
"15415","1975","Corn crops","Co. Wicklow",16545
"15416","1980","Corn crops","Co. Wicklow",22951
"15417","1926","Wheat","Co. Wicklow",70
"15418","1933","Wheat","Co. Wicklow",197
"15419","1955","Wheat","Co. Wicklow",4785
"15420","1960","Wheat","Co. Wicklow",5875
"15421","1965","Wheat","Co. Wicklow",3064
"15422","1970","Wheat","Co. Wicklow",3627
"15423","1975","Wheat","Co. Wicklow",2382
"15424","1980","Wheat","Co. Wicklow",2903
"15425","1926","Spring wheat","Co. Wicklow",NA
"15426","1933","Spring wheat","Co. Wicklow",NA
"15427","1955","Spring wheat","Co. Wicklow",NA
"15428","1960","Spring wheat","Co. Wicklow",NA
"15429","1965","Spring wheat","Co. Wicklow",NA
"15430","1970","Spring wheat","Co. Wicklow",NA
"15431","1975","Spring wheat","Co. Wicklow",NA
"15432","1980","Spring wheat","Co. Wicklow",1600
"15433","1926","Winter wheat","Co. Wicklow",NA
"15434","1933","Winter wheat","Co. Wicklow",NA
"15435","1955","Winter wheat","Co. Wicklow",NA
"15436","1960","Winter wheat","Co. Wicklow",NA
"15437","1965","Winter wheat","Co. Wicklow",NA
"15438","1970","Winter wheat","Co. Wicklow",NA
"15439","1975","Winter wheat","Co. Wicklow",NA
"15440","1980","Winter wheat","Co. Wicklow",1303
"15441","1926","Oats","Co. Wicklow",8135
"15442","1933","Oats","Co. Wicklow",8349
"15443","1955","Oats","Co. Wicklow",7388
"15444","1960","Oats","Co. Wicklow",5545
"15445","1965","Oats","Co. Wicklow",4111
"15446","1970","Oats","Co. Wicklow",2034
"15447","1975","Oats","Co. Wicklow",1469
"15448","1980","Oats","Co. Wicklow",622
"15449","1926","Barley","Co. Wicklow",146
"15450","1933","Barley","Co. Wicklow",91
"15451","1955","Barley","Co. Wicklow",998
"15452","1960","Barley","Co. Wicklow",3295
"15453","1965","Barley","Co. Wicklow",6578
"15454","1970","Barley","Co. Wicklow",9675
"15455","1975","Barley","Co. Wicklow",12564
"15456","1980","Barley","Co. Wicklow",19251
"15457","1926","Malting barley","Co. Wicklow",NA
"15458","1933","Malting barley","Co. Wicklow",NA
"15459","1955","Malting barley","Co. Wicklow",NA
"15460","1960","Malting barley","Co. Wicklow",531
"15461","1965","Malting barley","Co. Wicklow",757
"15462","1970","Malting barley","Co. Wicklow",556
"15463","1975","Malting barley","Co. Wicklow",1249
"15464","1980","Malting barley","Co. Wicklow",1148
"15465","1926","Other barley","Co. Wicklow",NA
"15466","1933","Other barley","Co. Wicklow",NA
"15467","1955","Other barley","Co. Wicklow",NA
"15468","1960","Other barley","Co. Wicklow",2764
"15469","1965","Other barley","Co. Wicklow",5821
"15470","1970","Other barley","Co. Wicklow",9120
"15471","1975","Other barley","Co. Wicklow",11315
"15472","1980","Other barley","Co. Wicklow",18103
"15473","1926","Spring barley","Co. Wicklow",NA
"15474","1933","Spring barley","Co. Wicklow",NA
"15475","1955","Spring barley","Co. Wicklow",NA
"15476","1960","Spring barley","Co. Wicklow",NA
"15477","1965","Spring barley","Co. Wicklow",NA
"15478","1970","Spring barley","Co. Wicklow",NA
"15479","1975","Spring barley","Co. Wicklow",NA
"15480","1980","Spring barley","Co. Wicklow",15273
"15481","1926","Winter barley","Co. Wicklow",NA
"15482","1933","Winter barley","Co. Wicklow",NA
"15483","1955","Winter barley","Co. Wicklow",NA
"15484","1960","Winter barley","Co. Wicklow",NA
"15485","1965","Winter barley","Co. Wicklow",NA
"15486","1970","Winter barley","Co. Wicklow",NA
"15487","1975","Winter barley","Co. Wicklow",NA
"15488","1980","Winter barley","Co. Wicklow",2830
"15489","1926","Other corn crops","Co. Wicklow",9
"15490","1933","Other corn crops","Co. Wicklow",3
"15491","1955","Other corn crops","Co. Wicklow",92
"15492","1960","Other corn crops","Co. Wicklow",104
"15493","1965","Other corn crops","Co. Wicklow",26
"15494","1970","Other corn crops","Co. Wicklow",35
"15495","1975","Other corn crops","Co. Wicklow",130
"15496","1980","Other corn crops","Co. Wicklow",175
"15497","1926","Root and green crops","Co. Wicklow",6165
"15498","1933","Root and green crops","Co. Wicklow",5777
"15499","1955","Root and green crops","Co. Wicklow",5589
"15500","1960","Root and green crops","Co. Wicklow",5439
"15501","1965","Root and green crops","Co. Wicklow",4798
"15502","1970","Root and green crops","Co. Wicklow",4093
"15503","1975","Root and green crops","Co. Wicklow",3061
"15504","1980","Root and green crops","Co. Wicklow",2793
"15505","1926","Potatoes","Co. Wicklow",2586
"15506","1933","Potatoes","Co. Wicklow",2427
"15507","1955","Potatoes","Co. Wicklow",2018
"15508","1960","Potatoes","Co. Wicklow",1704
"15509","1965","Potatoes","Co. Wicklow",1216
"15510","1970","Potatoes","Co. Wicklow",1043
"15511","1975","Potatoes","Co. Wicklow",716
"15512","1980","Potatoes","Co. Wicklow",953
"15513","1926","Turnips","Co. Wicklow",2356
"15514","1933","Turnips","Co. Wicklow",2386
"15515","1955","Turnips","Co. Wicklow",1641
"15516","1960","Turnips","Co. Wicklow",1259
"15517","1965","Turnips","Co. Wicklow",1600
"15518","1970","Turnips","Co. Wicklow",1721
"15519","1975","Turnips","Co. Wicklow",907
"15520","1980","Turnips","Co. Wicklow",611
"15521","1926","Sugar beet","Co. Wicklow",141
"15522","1933","Sugar beet","Co. Wicklow",52
"15523","1955","Sugar beet","Co. Wicklow",388
"15524","1960","Sugar beet","Co. Wicklow",367
"15525","1965","Sugar beet","Co. Wicklow",376
"15526","1970","Sugar beet","Co. Wicklow",435
"15527","1975","Sugar beet","Co. Wicklow",634
"15528","1980","Sugar beet","Co. Wicklow",586
"15529","1926","Other root and green crops","Co. Wicklow",1081
"15530","1933","Other root and green crops","Co. Wicklow",913
"15531","1955","Other root and green crops","Co. Wicklow",1541
"15532","1960","Other root and green crops","Co. Wicklow",2110
"15533","1965","Other root and green crops","Co. Wicklow",1606
"15534","1970","Other root and green crops","Co. Wicklow",895
"15535","1975","Other root and green crops","Co. Wicklow",805
"15536","1980","Other root and green crops","Co. Wicklow",643
"15537","1926","Fruit and horticulture","Co. Wicklow",86
"15538","1933","Fruit and horticulture","Co. Wicklow",68
"15539","1955","Fruit and horticulture","Co. Wicklow",110
"15540","1960","Fruit and horticulture","Co. Wicklow",154
"15541","1965","Fruit and horticulture","Co. Wicklow",147
"15542","1970","Fruit and horticulture","Co. Wicklow",102
"15543","1975","Fruit and horticulture","Co. Wicklow",102
"15544","1980","Fruit and horticulture","Co. Wicklow",111
"15545","1926","Apples","Co. Wicklow",NA
"15546","1933","Apples","Co. Wicklow",NA
"15547","1955","Apples","Co. Wicklow",NA
"15548","1960","Apples","Co. Wicklow",NA
"15549","1965","Apples","Co. Wicklow",69
"15550","1970","Apples","Co. Wicklow",40
"15551","1975","Apples","Co. Wicklow",29
"15552","1980","Apples","Co. Wicklow",28
"15553","1926","Fruit excluding apples","Co. Wicklow",NA
"15554","1933","Fruit excluding apples","Co. Wicklow",NA
"15555","1955","Fruit excluding apples","Co. Wicklow",NA
"15556","1960","Fruit excluding apples","Co. Wicklow",NA
"15557","1965","Fruit excluding apples","Co. Wicklow",20
"15558","1970","Fruit excluding apples","Co. Wicklow",23
"15559","1975","Fruit excluding apples","Co. Wicklow",9
"15560","1980","Fruit excluding apples","Co. Wicklow",20
"15561","1926","Horticultural bulbs, flowers and bushes","Co. Wicklow",NA
"15562","1933","Horticultural bulbs, flowers and bushes","Co. Wicklow",NA
"15563","1955","Horticultural bulbs, flowers and bushes","Co. Wicklow",NA
"15564","1960","Horticultural bulbs, flowers and bushes","Co. Wicklow",47
"15565","1965","Horticultural bulbs, flowers and bushes","Co. Wicklow",59
"15566","1970","Horticultural bulbs, flowers and bushes","Co. Wicklow",39
"15567","1975","Horticultural bulbs, flowers and bushes","Co. Wicklow",64
"15568","1980","Horticultural bulbs, flowers and bushes","Co. Wicklow",63
"15569","1926","Hay","Co. Wicklow",20628
"15570","1933","Hay","Co. Wicklow",20663
"15571","1955","Hay","Co. Wicklow",16747
"15572","1960","Hay","Co. Wicklow",16535
"15573","1965","Hay","Co. Wicklow",16285
"15574","1970","Hay","Co. Wicklow",19624
"15575","1975","Hay","Co. Wicklow",22512
"15576","1980","Hay","Co. Wicklow",23499
"15577","1926","Rye grass for seed","Co. Wicklow",NA
"15578","1933","Rye grass for seed","Co. Wicklow",NA
"15579","1955","Rye grass for seed","Co. Wicklow",NA
"15580","1960","Rye grass for seed","Co. Wicklow",69
"15581","1965","Rye grass for seed","Co. Wicklow",99
"15582","1970","Rye grass for seed","Co. Wicklow",0
"15583","1975","Rye grass for seed","Co. Wicklow",0
"15584","1980","Rye grass for seed","Co. Wicklow",0
"15585","1926","First to fourth years hay","Co. Wicklow",NA
"15586","1933","First to fourth years hay","Co. Wicklow",NA
"15587","1955","First to fourth years hay","Co. Wicklow",NA
"15588","1960","First to fourth years hay","Co. Wicklow",NA
"15589","1965","First to fourth years hay","Co. Wicklow",NA
"15590","1970","First to fourth years hay","Co. Wicklow",NA
"15591","1975","First to fourth years hay","Co. Wicklow",10088
"15592","1980","First to fourth years hay","Co. Wicklow",12396
"15593","1926","Permanent meadow","Co. Wicklow",NA
"15594","1933","Permanent meadow","Co. Wicklow",NA
"15595","1955","Permanent meadow","Co. Wicklow",NA
"15596","1960","Permanent meadow","Co. Wicklow",NA
"15597","1965","Permanent meadow","Co. Wicklow",NA
"15598","1970","Permanent meadow","Co. Wicklow",NA
"15599","1975","Permanent meadow","Co. Wicklow",12424
"15600","1980","Permanent meadow","Co. Wicklow",11103
"15601","1926","Pasture","Co. Wicklow",84458
"15602","1933","Pasture","Co. Wicklow",72135
"15603","1955","Pasture","Co. Wicklow",70131
"15604","1960","Pasture","Co. Wicklow",59239
"15605","1965","Pasture","Co. Wicklow",68843
"15606","1970","Pasture","Co. Wicklow",67382
"15607","1975","Pasture","Co. Wicklow",59279
"15608","1980","Pasture","Co. Wicklow",50401
"15609","1926","Rough grazing in use","Co. Wicklow",NA
"15610","1933","Rough grazing in use","Co. Wicklow",NA
"15611","1955","Rough grazing in use","Co. Wicklow",NA
"15612","1960","Rough grazing in use","Co. Wicklow",NA
"15613","1965","Rough grazing in use","Co. Wicklow",NA
"15614","1970","Rough grazing in use","Co. Wicklow",NA
"15615","1975","Rough grazing in use","Co. Wicklow",48375
"15616","1980","Rough grazing in use","Co. Wicklow",47359
"15617","1926","Other land","Co. Wicklow",NA
"15618","1933","Other land","Co. Wicklow",NA
"15619","1955","Other land","Co. Wicklow",NA
"15620","1960","Other land","Co. Wicklow",NA
"15621","1965","Other land","Co. Wicklow",NA
"15622","1970","Other land","Co. Wicklow",NA
"15623","1975","Other land","Co. Wicklow",52601
"15624","1980","Other land","Co. Wicklow",55362
"15625","1926","Total Area","Baltinglass No.1",62713
"15626","1933","Total Area","Baltinglass No.1",62713
"15627","1955","Total Area","Baltinglass No.1",62713
"15628","1960","Total Area","Baltinglass No.1",63106
"15629","1965","Total Area","Baltinglass No.1",62713
"15630","1970","Total Area","Baltinglass No.1",62713
"15631","1975","Total Area","Baltinglass No.1",62713
"15632","1980","Total Area","Baltinglass No.1",62713
