"","Region","Year","Statistic","value"
"1074","Border","2012","All Livestock Products (Euro Million)",182.65
"1075","Midland","2012","All Livestock Products (Euro Million)",111
"1076","West","2012","All Livestock Products (Euro Million)",65.56
"1077","Southern and Eastern","2012","All Livestock Products (Euro Million)",1342.33
"1078","Mid-West","2012","All Livestock Products (Euro Million)",247.68
"1079","South-East","2012","All Livestock Products (Euro Million)",384.12
"1080","South-West","2012","All Livestock Products (Euro Million)",565.69
"1081","State","1995","Livestock Products - Milk (Euro Million)",1538.47
"1082","Dublin plus Mid East","1995","Livestock Products - Milk (Euro Million)",130.79
"1083","Border, Midland and Western","1995","Livestock Products - Milk (Euro Million)",363.39
"1084","Border","1995","Livestock Products - Milk (Euro Million)",167.92
"1085","Midland","1995","Livestock Products - Milk (Euro Million)",102.31
"1086","West","1995","Livestock Products - Milk (Euro Million)",93.16
"1087","Southern and Eastern","1995","Livestock Products - Milk (Euro Million)",1175.08
"1088","Mid-West","1995","Livestock Products - Milk (Euro Million)",239.52
"1089","South-East","1995","Livestock Products - Milk (Euro Million)",318.26
"1090","South-West","1995","Livestock Products - Milk (Euro Million)",486.51
"1091","State","1996","Livestock Products - Milk (Euro Million)",1536.02
"1092","Dublin plus Mid East","1996","Livestock Products - Milk (Euro Million)",138.33
"1093","Border, Midland and Western","1996","Livestock Products - Milk (Euro Million)",367.84
"1094","Border","1996","Livestock Products - Milk (Euro Million)",172.02
"1095","Midland","1996","Livestock Products - Milk (Euro Million)",101.84
"1096","West","1996","Livestock Products - Milk (Euro Million)",93.98
"1097","Southern and Eastern","1996","Livestock Products - Milk (Euro Million)",1168.19
"1098","Mid-West","1996","Livestock Products - Milk (Euro Million)",230.39
"1099","South-East","1996","Livestock Products - Milk (Euro Million)",308.04
"1100","South-West","1996","Livestock Products - Milk (Euro Million)",491.44
"1101","State","1997","Livestock Products - Milk (Euro Million)",1414.52
"1102","Dublin plus Mid East","1997","Livestock Products - Milk (Euro Million)",124.86
"1103","Border, Midland and Western","1997","Livestock Products - Milk (Euro Million)",341.78
"1104","Border","1997","Livestock Products - Milk (Euro Million)",158.12
"1105","Midland","1997","Livestock Products - Milk (Euro Million)",94.68
"1106","West","1997","Livestock Products - Milk (Euro Million)",88.98
"1107","Southern and Eastern","1997","Livestock Products - Milk (Euro Million)",1072.74
"1108","Mid-West","1997","Livestock Products - Milk (Euro Million)",205
"1109","South-East","1997","Livestock Products - Milk (Euro Million)",292.1
"1110","South-West","1997","Livestock Products - Milk (Euro Million)",450.79
"1111","State","1998","Livestock Products - Milk (Euro Million)",1431.22
"1112","Dublin plus Mid East","1998","Livestock Products - Milk (Euro Million)",122.71
"1113","Border, Midland and Western","1998","Livestock Products - Milk (Euro Million)",353.26
"1114","Border","1998","Livestock Products - Milk (Euro Million)",153.73
"1115","Midland","1998","Livestock Products - Milk (Euro Million)",106.36
"1116","West","1998","Livestock Products - Milk (Euro Million)",93.17
"1117","Southern and Eastern","1998","Livestock Products - Milk (Euro Million)",1077.95
"1118","Mid-West","1998","Livestock Products - Milk (Euro Million)",208.18
"1119","South-East","1998","Livestock Products - Milk (Euro Million)",296.7
"1120","South-West","1998","Livestock Products - Milk (Euro Million)",450.35
"1121","State","1999","Livestock Products - Milk (Euro Million)",1408.75
"1122","Dublin plus Mid East","1999","Livestock Products - Milk (Euro Million)",123.97
"1123","Border, Midland and Western","1999","Livestock Products - Milk (Euro Million)",338.31
"1124","Border","1999","Livestock Products - Milk (Euro Million)",146.81
"1125","Midland","1999","Livestock Products - Milk (Euro Million)",104.33
"1126","West","1999","Livestock Products - Milk (Euro Million)",87.17
"1127","Southern and Eastern","1999","Livestock Products - Milk (Euro Million)",1070.44
"1128","Mid-West","1999","Livestock Products - Milk (Euro Million)",203.08
"1129","South-East","1999","Livestock Products - Milk (Euro Million)",298.38
"1130","South-West","1999","Livestock Products - Milk (Euro Million)",445
"1131","State","2000","Livestock Products - Milk (Euro Million)",1447.09
"1132","Dublin plus Mid East","2000","Livestock Products - Milk (Euro Million)",127.9
"1133","Border, Midland and Western","2000","Livestock Products - Milk (Euro Million)",345.65
"1134","Border","2000","Livestock Products - Milk (Euro Million)",160.97
"1135","Midland","2000","Livestock Products - Milk (Euro Million)",101.22
"1136","West","2000","Livestock Products - Milk (Euro Million)",83.45
"1137","Southern and Eastern","2000","Livestock Products - Milk (Euro Million)",1101.44
"1138","Mid-West","2000","Livestock Products - Milk (Euro Million)",217.74
"1139","South-East","2000","Livestock Products - Milk (Euro Million)",307.09
"1140","South-West","2000","Livestock Products - Milk (Euro Million)",448.7
"1141","State","2001","Livestock Products - Milk (Euro Million)",1566.14
"1142","Dublin plus Mid East","2001","Livestock Products - Milk (Euro Million)",134.44
"1143","Border, Midland and Western","2001","Livestock Products - Milk (Euro Million)",363.24
"1144","Border","2001","Livestock Products - Milk (Euro Million)",167.9
"1145","Midland","2001","Livestock Products - Milk (Euro Million)",107.42
"1146","West","2001","Livestock Products - Milk (Euro Million)",87.93
"1147","Southern and Eastern","2001","Livestock Products - Milk (Euro Million)",1202.9
"1148","Mid-West","2001","Livestock Products - Milk (Euro Million)",232.16
"1149","South-East","2001","Livestock Products - Milk (Euro Million)",327.02
"1150","South-West","2001","Livestock Products - Milk (Euro Million)",509.28
"1151","State","2002","Livestock Products - Milk (Euro Million)",1413.02
"1152","Dublin plus Mid East","2002","Livestock Products - Milk (Euro Million)",120.12
"1153","Border, Midland and Western","2002","Livestock Products - Milk (Euro Million)",329.19
"1154","Border","2002","Livestock Products - Milk (Euro Million)",145.05
"1155","Midland","2002","Livestock Products - Milk (Euro Million)",103.29
"1156","West","2002","Livestock Products - Milk (Euro Million)",80.85
"1157","Southern and Eastern","2002","Livestock Products - Milk (Euro Million)",1083.83
"1158","Mid-West","2002","Livestock Products - Milk (Euro Million)",216.96
"1159","South-East","2002","Livestock Products - Milk (Euro Million)",291.39
"1160","South-West","2002","Livestock Products - Milk (Euro Million)",455.36
"1161","State","2003","Livestock Products - Milk (Euro Million)",1431.32
"1162","Dublin plus Mid East","2003","Livestock Products - Milk (Euro Million)",118.95
"1163","Border, Midland and Western","2003","Livestock Products - Milk (Euro Million)",342.17
"1164","Border","2003","Livestock Products - Milk (Euro Million)",157.44
"1165","Midland","2003","Livestock Products - Milk (Euro Million)",103.3
"1166","West","2003","Livestock Products - Milk (Euro Million)",81.42
"1167","Southern and Eastern","2003","Livestock Products - Milk (Euro Million)",1089.15
"1168","Mid-West","2003","Livestock Products - Milk (Euro Million)",213.69
"1169","South-East","2003","Livestock Products - Milk (Euro Million)",292
"1170","South-West","2003","Livestock Products - Milk (Euro Million)",464.51
"1171","State","2004","Livestock Products - Milk (Euro Million)",1417.77
"1172","Dublin plus Mid East","2004","Livestock Products - Milk (Euro Million)",118.36
"1173","Border, Midland and Western","2004","Livestock Products - Milk (Euro Million)",338.22
"1174","Border","2004","Livestock Products - Milk (Euro Million)",152.36
"1175","Midland","2004","Livestock Products - Milk (Euro Million)",103.62
"1176","West","2004","Livestock Products - Milk (Euro Million)",82.24
"1177","Southern and Eastern","2004","Livestock Products - Milk (Euro Million)",1079.55
"1178","Mid-West","2004","Livestock Products - Milk (Euro Million)",216.47
"1179","South-East","2004","Livestock Products - Milk (Euro Million)",295.32
"1180","South-West","2004","Livestock Products - Milk (Euro Million)",449.4
"1181","State","2005","Livestock Products - Milk (Euro Million)",1342.12
"1182","Dublin plus Mid East","2005","Livestock Products - Milk (Euro Million)",116.04
"1183","Border, Midland and Western","2005","Livestock Products - Milk (Euro Million)",303.72
"1184","Border","2005","Livestock Products - Milk (Euro Million)",136.55
"1185","Midland","2005","Livestock Products - Milk (Euro Million)",97.39
"1186","West","2005","Livestock Products - Milk (Euro Million)",69.79
"1187","Southern and Eastern","2005","Livestock Products - Milk (Euro Million)",1038.4
"1188","Mid-West","2005","Livestock Products - Milk (Euro Million)",205.87
"1189","South-East","2005","Livestock Products - Milk (Euro Million)",278.18
"1190","South-West","2005","Livestock Products - Milk (Euro Million)",438.3
"1191","State","2006","Livestock Products - Milk (Euro Million)",1332.47
"1192","Dublin plus Mid East","2006","Livestock Products - Milk (Euro Million)",114.3
"1193","Border, Midland and Western","2006","Livestock Products - Milk (Euro Million)",299.14
"1194","Border","2006","Livestock Products - Milk (Euro Million)",130.14
"1195","Midland","2006","Livestock Products - Milk (Euro Million)",103.08
"1196","West","2006","Livestock Products - Milk (Euro Million)",65.91
"1197","Southern and Eastern","2006","Livestock Products - Milk (Euro Million)",1033.34
"1198","Mid-West","2006","Livestock Products - Milk (Euro Million)",207.9
"1199","South-East","2006","Livestock Products - Milk (Euro Million)",280.5
"1200","South-West","2006","Livestock Products - Milk (Euro Million)",430.65
"1201","State","2007","Livestock Products - Milk (Euro Million)",1667.46
"1202","Dublin plus Mid East","2007","Livestock Products - Milk (Euro Million)",137.73
"1203","Border, Midland and Western","2007","Livestock Products - Milk (Euro Million)",375.12
"1204","Border","2007","Livestock Products - Milk (Euro Million)",171.03
"1205","Midland","2007","Livestock Products - Milk (Euro Million)",121.82
"1206","West","2007","Livestock Products - Milk (Euro Million)",82.27
"1207","Southern and Eastern","2007","Livestock Products - Milk (Euro Million)",1292.34
"1208","Mid-West","2007","Livestock Products - Milk (Euro Million)",238.4
"1209","South-East","2007","Livestock Products - Milk (Euro Million)",362.77
"1210","South-West","2007","Livestock Products - Milk (Euro Million)",553.44
"1211","State","2008","Livestock Products - Milk (Euro Million)",1628.13
"1212","Dublin plus Mid East","2008","Livestock Products - Milk (Euro Million)",142.23
"1213","Border, Midland and Western","2008","Livestock Products - Milk (Euro Million)",336.27
"1214","Border","2008","Livestock Products - Milk (Euro Million)",146.62
"1215","Midland","2008","Livestock Products - Milk (Euro Million)",119.76
"1216","West","2008","Livestock Products - Milk (Euro Million)",69.89
"1217","Southern and Eastern","2008","Livestock Products - Milk (Euro Million)",1291.86
"1218","Mid-West","2008","Livestock Products - Milk (Euro Million)",239.42
"1219","South-East","2008","Livestock Products - Milk (Euro Million)",364.42
"1220","South-West","2008","Livestock Products - Milk (Euro Million)",545.78
"1221","State","2009","Livestock Products - Milk (Euro Million)",1106.46
"1222","Dublin plus Mid East","2009","Livestock Products - Milk (Euro Million)",103.02
"1223","Border, Midland and Western","2009","Livestock Products - Milk (Euro Million)",222.18
"1224","Border","2009","Livestock Products - Milk (Euro Million)",99.36
"1225","Midland","2009","Livestock Products - Milk (Euro Million)",76.76
"1226","West","2009","Livestock Products - Milk (Euro Million)",46.07
"1227","Southern and Eastern","2009","Livestock Products - Milk (Euro Million)",884.28
"1228","Mid-West","2009","Livestock Products - Milk (Euro Million)",163.51
"1229","South-East","2009","Livestock Products - Milk (Euro Million)",250.74
"1230","South-West","2009","Livestock Products - Milk (Euro Million)",367.01
"1231","State","2010","Livestock Products - Milk (Euro Million)",1541.93
"1232","Dublin plus Mid East","2010","Livestock Products - Milk (Euro Million)",132.44
"1233","Border, Midland and Western","2010","Livestock Products - Milk (Euro Million)",295.83
"1234","Border","2010","Livestock Products - Milk (Euro Million)",130.14
"1235","Midland","2010","Livestock Products - Milk (Euro Million)",106.58
"1236","West","2010","Livestock Products - Milk (Euro Million)",59.12
"1237","Southern and Eastern","2010","Livestock Products - Milk (Euro Million)",1246.1
"1238","Mid-West","2010","Livestock Products - Milk (Euro Million)",233.81
"1239","South-East","2010","Livestock Products - Milk (Euro Million)",347.08
"1240","South-West","2010","Livestock Products - Milk (Euro Million)",532.77
"1241","State","2011","Livestock Products - Milk (Euro Million)",1834.77
"1242","Dublin plus Mid East","2011","Livestock Products - Milk (Euro Million)",154.49
"1243","Border, Midland and Western","2011","Livestock Products - Milk (Euro Million)",350.25
"1244","Border","2011","Livestock Products - Milk (Euro Million)",152.06
"1245","Midland","2011","Livestock Products - Milk (Euro Million)",125.44
"1246","West","2011","Livestock Products - Milk (Euro Million)",72.75
"1247","Southern and Eastern","2011","Livestock Products - Milk (Euro Million)",1484.52
"1248","Mid-West","2011","Livestock Products - Milk (Euro Million)",282.03
"1249","South-East","2011","Livestock Products - Milk (Euro Million)",413.95
"1250","South-West","2011","Livestock Products - Milk (Euro Million)",634.05
"1251","State","2012","Livestock Products - Milk (Euro Million)",1629.77
"1252","Dublin plus Mid East","2012","Livestock Products - Milk (Euro Million)",139.66
"1253","Border, Midland and Western","2012","Livestock Products - Milk (Euro Million)",311.66
"1254","Border","2012","Livestock Products - Milk (Euro Million)",141.16
"1255","Midland","2012","Livestock Products - Milk (Euro Million)",109.3
"1256","West","2012","Livestock Products - Milk (Euro Million)",61.2
"1257","Southern and Eastern","2012","Livestock Products - Milk (Euro Million)",1318.11
"1258","Mid-West","2012","Livestock Products - Milk (Euro Million)",246.86
"1259","South-East","2012","Livestock Products - Milk (Euro Million)",378.28
"1260","South-West","2012","Livestock Products - Milk (Euro Million)",553.31
"1261","State","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",42.32
"1262","Dublin plus Mid East","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.52
"1263","Border, Midland and Western","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",25.88
"1264","Border","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",18.83
"1265","Midland","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.55
"1266","West","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.5
"1267","Southern and Eastern","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",16.43
"1268","Mid-West","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.25
"1269","South-East","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.24
"1270","South-West","1995","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.42
"1271","State","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",37.88
"1272","Dublin plus Mid East","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.49
"1273","Border, Midland and Western","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",25.23
"1274","Border","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",18.93
"1275","Midland","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.19
"1276","West","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.11
"1277","Southern and Eastern","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",12.65
"1278","Mid-West","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.04
"1279","South-East","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.95
"1280","South-West","1996","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.17
"1281","State","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",36.32
"1282","Dublin plus Mid East","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.85
"1283","Border, Midland and Western","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",24.79
"1284","Border","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",18.94
"1285","Midland","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.87
"1286","West","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.99
"1287","Southern and Eastern","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",11.53
"1288","Mid-West","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.74
"1289","South-East","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.89
"1290","South-West","1997","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.05
"1291","State","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",34.69
"1292","Dublin plus Mid East","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.07
"1293","Border, Midland and Western","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",23.44
"1294","Border","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",18.76
"1295","Midland","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.06
"1296","West","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.62
"1297","Southern and Eastern","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",11.25
"1298","Mid-West","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.96
"1299","South-East","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.67
"1300","South-West","1998","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.55
"1301","State","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",29.34
"1302","Dublin plus Mid East","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.43
"1303","Border, Midland and Western","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",19.99
"1304","Border","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",15.66
"1305","Midland","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.79
"1306","West","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.54
"1307","Southern and Eastern","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",9.34
"1308","Mid-West","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.75
"1309","South-East","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.1
"1310","South-West","1999","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.06
"1311","State","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",37.22
"1312","Dublin plus Mid East","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.19
"1313","Border, Midland and Western","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",26.26
"1314","Border","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",20.4
"1315","Midland","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.08
"1316","West","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.78
"1317","Southern and Eastern","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",10.96
"1318","Mid-West","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.83
"1319","South-East","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.82
"1320","South-West","2000","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.12
"1321","State","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",38.06
"1322","Dublin plus Mid East","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.04
"1323","Border, Midland and Western","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",27.08
"1324","Border","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.2
"1325","Midland","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.08
"1326","West","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.81
"1327","Southern and Eastern","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",10.98
"1328","Mid-West","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.83
"1329","South-East","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.97
"1330","South-West","2001","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.14
"1331","State","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",37.94
"1332","Dublin plus Mid East","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.78
"1333","Border, Midland and Western","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",27.46
"1334","Border","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.98
"1335","Midland","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.97
"1336","West","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.5
"1337","Southern and Eastern","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",10.49
"1338","Mid-West","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.8
"1339","South-East","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.83
"1340","South-West","2002","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.07
"1341","State","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",39.29
"1342","Dublin plus Mid East","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.91
"1343","Border, Midland and Western","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",26.86
"1344","Border","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.89
"1345","Midland","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.65
"1346","West","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.31
"1347","Southern and Eastern","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",12.43
"1348","Mid-West","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.68
"1349","South-East","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.92
"1350","South-West","2003","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.92
"1351","State","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",41.57
"1352","Dublin plus Mid East","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.53
"1353","Border, Midland and Western","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",26.8
"1354","Border","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.07
"1355","Midland","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.08
"1356","West","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.66
"1357","Southern and Eastern","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",14.76
"1358","Mid-West","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.63
"1359","South-East","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.07
"1360","South-West","2004","Livestock Products - Other Products (excluding Milk) (Euro Million)",6.53
"1361","State","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",42.54
"1362","Dublin plus Mid East","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.76
"1363","Border, Midland and Western","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",26.63
"1364","Border","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.07
"1365","Midland","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.35
"1366","West","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.21
"1367","Southern and Eastern","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",15.91
"1368","Mid-West","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.51
"1369","South-East","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.68
"1370","South-West","2005","Livestock Products - Other Products (excluding Milk) (Euro Million)",8.96
"1371","State","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",42.47
"1372","Dublin plus Mid East","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.84
"1373","Border, Midland and Western","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",27.91
"1374","Border","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",23.04
"1375","Midland","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.28
"1376","West","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.59
"1377","Southern and Eastern","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",14.56
"1378","Mid-West","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.91
"1379","South-East","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.16
"1380","South-West","2006","Livestock Products - Other Products (excluding Milk) (Euro Million)",7.65
"1381","State","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",43.38
"1382","Dublin plus Mid East","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.03
"1383","Border, Midland and Western","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",30.23
"1384","Border","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",25.47
"1385","Midland","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.23
"1386","West","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.53
"1387","Southern and Eastern","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",13.15
"1388","Mid-West","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.41
"1389","South-East","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.38
"1390","South-West","2007","Livestock Products - Other Products (excluding Milk) (Euro Million)",6.33
"1391","State","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",47.65
"1392","Dublin plus Mid East","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.34
"1393","Border, Midland and Western","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",33.15
"1394","Border","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",28.02
"1395","Midland","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.43
"1396","West","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.69
"1397","Southern and Eastern","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",14.5
"1398","Mid-West","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.54
"1399","South-East","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.65
"1400","South-West","2008","Livestock Products - Other Products (excluding Milk) (Euro Million)",6.98
"1401","State","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",41.86
"1402","Dublin plus Mid East","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.86
"1403","Border, Midland and Western","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",29.05
"1404","Border","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",24.88
"1405","Midland","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.11
"1406","West","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.06
"1407","Southern and Eastern","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",12.81
"1408","Mid-West","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.34
"1409","South-East","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",2.48
"1410","South-West","2009","Livestock Products - Other Products (excluding Milk) (Euro Million)",6.12
"1411","State","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",48.97
"1412","Dublin plus Mid East","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.8
"1413","Border, Midland and Western","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",31.31
"1414","Border","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",26.96
"1415","Midland","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.26
"1416","West","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",3.09
"1417","Southern and Eastern","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",17.67
"1418","Mid-West","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.58
"1419","South-East","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.07
"1420","South-West","2010","Livestock Products - Other Products (excluding Milk) (Euro Million)",8.22
"1421","State","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",59.21
"1422","Dublin plus Mid East","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.65
"1423","Border, Midland and Western","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",38.11
"1424","Border","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",32.36
"1425","Midland","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",1.59
"1426","West","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",4.16
"1427","Southern and Eastern","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",21.09
"1428","Mid-West","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",0.72
"1429","South-East","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.74
"1430","South-West","2011","Livestock Products - Other Products (excluding Milk) (Euro Million)",9.97
"1431","State","2012","Livestock Products - Other Products (excluding Milk) (Euro Million)",71.77
"1432","Dublin plus Mid East","2012","Livestock Products - Other Products (excluding Milk) (Euro Million)",5.18
"1433","Border, Midland and Western","2012","Livestock Products - Other Products (excluding Milk) (Euro Million)",47.55
