"","Year","Statistic","value"
"513","1998","Crops - Forage Plants (Euro Million)",566.03
"514","1999","Crops - Forage Plants (Euro Million)",582.15
"515","2000","Crops - Forage Plants (Euro Million)",649.85
"516","2001","Crops - Forage Plants (Euro Million)",695.06
"517","2002","Crops - Forage Plants (Euro Million)",629.24
"518","2003","Crops - Forage Plants (Euro Million)",644.23
"519","2004","Crops - Forage Plants (Euro Million)",690.67
"520","2005","Crops - Forage Plants (Euro Million)",789.52
"521","2006","Crops - Forage Plants (Euro Million)",877.41
"522","2007","Crops - Forage Plants (Euro Million)",964.12
"523","2008","Crops - Forage Plants (Euro Million)",1053.57
"524","2009","Crops - Forage Plants (Euro Million)",852.32
"525","2010","Crops - Forage Plants (Euro Million)",886.97
"526","2011","Crops - Forage Plants (Euro Million)",1050.94
"527","2012","Crops - Forage Plants (Euro Million)",1133.23
"528","2013","Crops - Forage Plants (Euro Million)",1152.17
"529","1990","Goods Output at Producer Prices (Euro Million)",4685.35
"530","1991","Goods Output at Producer Prices (Euro Million)",4543.28
"531","1992","Goods Output at Producer Prices (Euro Million)",4827.63
"532","1993","Goods Output at Producer Prices (Euro Million)",5027.99
"533","1994","Goods Output at Producer Prices (Euro Million)",4963.87
"534","1995","Goods Output at Producer Prices (Euro Million)",5147.09
"535","1996","Goods Output at Producer Prices (Euro Million)",5160.8
"536","1997","Goods Output at Producer Prices (Euro Million)",4758.97
"537","1998","Goods Output at Producer Prices (Euro Million)",4746.27
"538","1999","Goods Output at Producer Prices (Euro Million)",4690.27
"539","2000","Goods Output at Producer Prices (Euro Million)",4883.54
"540","2001","Goods Output at Producer Prices (Euro Million)",5101.8
"541","2002","Goods Output at Producer Prices (Euro Million)",4711.13
"542","2003","Goods Output at Producer Prices (Euro Million)",4838.71
"543","2004","Goods Output at Producer Prices (Euro Million)",5022.78
"544","2005","Goods Output at Producer Prices (Euro Million)",5041.36
"545","2006","Goods Output at Producer Prices (Euro Million)",5228.26
"546","2007","Goods Output at Producer Prices (Euro Million)",5727.49
"547","2008","Goods Output at Producer Prices (Euro Million)",5880.29
"548","2009","Goods Output at Producer Prices (Euro Million)",4754.61
"549","2010","Goods Output at Producer Prices (Euro Million)",5365.23
"550","2011","Goods Output at Producer Prices (Euro Million)",6301.05
"551","2012","Goods Output at Producer Prices (Euro Million)",6701.3
"552","2013","Goods Output at Producer Prices (Euro Million)",7255.65
"553","1990","Contract Work (Euro Million)",180.74
"554","1991","Contract Work (Euro Million)",171.97
"555","1992","Contract Work (Euro Million)",179.81
"556","1993","Contract Work (Euro Million)",199.48
"557","1994","Contract Work (Euro Million)",205.32
"558","1995","Contract Work (Euro Million)",212.45
"559","1996","Contract Work (Euro Million)",220.87
"560","1997","Contract Work (Euro Million)",225.18
"561","1998","Contract Work (Euro Million)",225.29
"562","1999","Contract Work (Euro Million)",245.36
"563","2000","Contract Work (Euro Million)",258.1
"564","2001","Contract Work (Euro Million)",279.25
"565","2002","Contract Work (Euro Million)",248.3
"566","2003","Contract Work (Euro Million)",247.87
"567","2004","Contract Work (Euro Million)",261.14
"568","2005","Contract Work (Euro Million)",270.1
"569","2006","Contract Work (Euro Million)",271.52
"570","2007","Contract Work (Euro Million)",288.32
"571","2008","Contract Work (Euro Million)",281.03
"572","2009","Contract Work (Euro Million)",268.72
"573","2010","Contract Work (Euro Million)",277.68
"574","2011","Contract Work (Euro Million)",335.67
"575","2012","Contract Work (Euro Million)",360.22
"576","2013","Contract Work (Euro Million)",406.74
"577","1990","Subsidies on Products (Euro Million)",408.9
"578","1991","Subsidies on Products (Euro Million)",357.33
"579","1992","Subsidies on Products (Euro Million)",446.02
"580","1993","Subsidies on Products (Euro Million)",466.37
"581","1994","Subsidies on Products (Euro Million)",665.97
"582","1995","Subsidies on Products (Euro Million)",735.55
"583","1996","Subsidies on Products (Euro Million)",805.97
"584","1997","Subsidies on Products (Euro Million)",808.71
"585","1998","Subsidies on Products (Euro Million)",899.6
"586","1999","Subsidies on Products (Euro Million)",743.66
"587","2000","Subsidies on Products (Euro Million)",876.68
"588","2001","Subsidies on Products (Euro Million)",710.76
"589","2002","Subsidies on Products (Euro Million)",904.08
"590","2003","Subsidies on Products (Euro Million)",928.38
"591","2004","Subsidies on Products (Euro Million)",912.13
"592","2005","Subsidies on Products (Euro Million)",453.44
"593","2006","Subsidies on Products (Euro Million)",3.78
"594","2007","Subsidies on Products (Euro Million)",0.7
"595","2008","Subsidies on Products (Euro Million)",32.38
"596","2009","Subsidies on Products (Euro Million)",29.98
"597","2010","Subsidies on Products (Euro Million)",31.84
"598","2011","Subsidies on Products (Euro Million)",31.04
"599","2012","Subsidies on Products (Euro Million)",28.54
"600","2013","Subsidies on Products (Euro Million)",9.35
"601","1990","Taxes on Products (Euro Million)",74.96
"602","1991","Taxes on Products (Euro Million)",78.2
"603","1992","Taxes on Products (Euro Million)",79.48
"604","1993","Taxes on Products (Euro Million)",67.98
"605","1994","Taxes on Products (Euro Million)",53.72
"606","1995","Taxes on Products (Euro Million)",59.55
"607","1996","Taxes on Products (Euro Million)",52.95
"608","1997","Taxes on Products (Euro Million)",39.75
"609","1998","Taxes on Products (Euro Million)",39.43
"610","1999","Taxes on Products (Euro Million)",27.9
"611","2000","Taxes on Products (Euro Million)",32.84
"612","2001","Taxes on Products (Euro Million)",25.01
"613","2002","Taxes on Products (Euro Million)",27.38
"614","2003","Taxes on Products (Euro Million)",35.84
"615","2004","Taxes on Products (Euro Million)",39.13
"616","2005","Taxes on Products (Euro Million)",54.2
"617","2006","Taxes on Products (Euro Million)",36.84
"618","2007","Taxes on Products (Euro Million)",41.08
"619","2008","Taxes on Products (Euro Million)",50.66
"620","2009","Taxes on Products (Euro Million)",39.28
"621","2010","Taxes on Products (Euro Million)",42.31
"622","2011","Taxes on Products (Euro Million)",42.04
"623","2012","Taxes on Products (Euro Million)",56.65
"624","2013","Taxes on Products (Euro Million)",42.03
"625","1990","Subsidies less Taxes on Products (Euro Million)",333.94
"626","1991","Subsidies less Taxes on Products (Euro Million)",279.14
"627","1992","Subsidies less Taxes on Products (Euro Million)",366.55
"628","1993","Subsidies less Taxes on Products (Euro Million)",398.38
"629","1994","Subsidies less Taxes on Products (Euro Million)",612.26
"630","1995","Subsidies less Taxes on Products (Euro Million)",675.99
"631","1996","Subsidies less Taxes on Products (Euro Million)",753.02
"632","1997","Subsidies less Taxes on Products (Euro Million)",768.96
"633","1998","Subsidies less Taxes on Products (Euro Million)",860.16
"634","1999","Subsidies less Taxes on Products (Euro Million)",715.76
"635","2000","Subsidies less Taxes on Products (Euro Million)",843.84
"636","2001","Subsidies less Taxes on Products (Euro Million)",685.75
"637","2002","Subsidies less Taxes on Products (Euro Million)",876.7
"638","2003","Subsidies less Taxes on Products (Euro Million)",892.54
"639","2004","Subsidies less Taxes on Products (Euro Million)",873
"640","2005","Subsidies less Taxes on Products (Euro Million)",399.23
"641","2006","Subsidies less Taxes on Products (Euro Million)",-33.06
"642","2007","Subsidies less Taxes on Products (Euro Million)",-40.38
"643","2008","Subsidies less Taxes on Products (Euro Million)",-18.28
"644","2009","Subsidies less Taxes on Products (Euro Million)",-9.31
"645","2010","Subsidies less Taxes on Products (Euro Million)",-10.47
"646","2011","Subsidies less Taxes on Products (Euro Million)",-11
"647","2012","Subsidies less Taxes on Products (Euro Million)",-28.11
"648","2013","Subsidies less Taxes on Products (Euro Million)",-32.68
"649","1990","Agricultural Output at Basic Prices (Euro Million)",5200.03
"650","1991","Agricultural Output at Basic Prices (Euro Million)",4994.39
"651","1992","Agricultural Output at Basic Prices (Euro Million)",5373.99
"652","1993","Agricultural Output at Basic Prices (Euro Million)",5625.85
"653","1994","Agricultural Output at Basic Prices (Euro Million)",5781.45
"654","1995","Agricultural Output at Basic Prices (Euro Million)",6035.53
"655","1996","Agricultural Output at Basic Prices (Euro Million)",6134.69
"656","1997","Agricultural Output at Basic Prices (Euro Million)",5753.11
"657","1998","Agricultural Output at Basic Prices (Euro Million)",5831.73
"658","1999","Agricultural Output at Basic Prices (Euro Million)",5651.38
"659","2000","Agricultural Output at Basic Prices (Euro Million)",5985.47
"660","2001","Agricultural Output at Basic Prices (Euro Million)",6066.8
"661","2002","Agricultural Output at Basic Prices (Euro Million)",5836.13
"662","2003","Agricultural Output at Basic Prices (Euro Million)",5979.12
"663","2004","Agricultural Output at Basic Prices (Euro Million)",6156.92
"664","2005","Agricultural Output at Basic Prices (Euro Million)",5710.69
"665","2006","Agricultural Output at Basic Prices (Euro Million)",5466.72
"666","2007","Agricultural Output at Basic Prices (Euro Million)",5975.44
"667","2008","Agricultural Output at Basic Prices (Euro Million)",6143.03
"668","2009","Agricultural Output at Basic Prices (Euro Million)",5014.02
"669","2010","Agricultural Output at Basic Prices (Euro Million)",5632.44
"670","2011","Agricultural Output at Basic Prices (Euro Million)",6625.72
"671","2012","Agricultural Output at Basic Prices (Euro Million)",7033.4
"672","2013","Agricultural Output at Basic Prices (Euro Million)",7629.71
"673","1990","Intermediate Consumption (Euro Million)",2461.88
"674","1991","Intermediate Consumption (Euro Million)",2423.32
"675","1992","Intermediate Consumption (Euro Million)",2438.89
"676","1993","Intermediate Consumption (Euro Million)",2607.91
"677","1994","Intermediate Consumption (Euro Million)",2796.26
"678","1995","Intermediate Consumption (Euro Million)",2926.9
"679","1996","Intermediate Consumption (Euro Million)",3098.89
"680","1997","Intermediate Consumption (Euro Million)",2929.92
"681","1998","Intermediate Consumption (Euro Million)",3015.05
"682","1999","Intermediate Consumption (Euro Million)",3110.99
"683","2000","Intermediate Consumption (Euro Million)",3207.47
"684","2001","Intermediate Consumption (Euro Million)",3469.43
"685","2002","Intermediate Consumption (Euro Million)",3413.26
"686","2003","Intermediate Consumption (Euro Million)",3464.71
"687","2004","Intermediate Consumption (Euro Million)",3516.07
"688","2005","Intermediate Consumption (Euro Million)",3744.66
"689","2006","Intermediate Consumption (Euro Million)",4014.69
"690","2007","Intermediate Consumption (Euro Million)",4225.67
"691","2008","Intermediate Consumption (Euro Million)",4700.04
"692","2009","Intermediate Consumption (Euro Million)",4190.6
"693","2010","Intermediate Consumption (Euro Million)",4260.81
"694","2011","Intermediate Consumption (Euro Million)",4827.91
"695","2012","Intermediate Consumption (Euro Million)",5292.39
"696","2013","Intermediate Consumption (Euro Million)",5708.13
"697","1990","Intermediate Consumption - Feeding Stuffs (Euro Million)",642.22
"698","1991","Intermediate Consumption - Feeding Stuffs (Euro Million)",646.54
"699","1992","Intermediate Consumption - Feeding Stuffs (Euro Million)",668.45
"700","1993","Intermediate Consumption - Feeding Stuffs (Euro Million)",733.45
"701","1994","Intermediate Consumption - Feeding Stuffs (Euro Million)",818.61
"702","1995","Intermediate Consumption - Feeding Stuffs (Euro Million)",809.46
"703","1996","Intermediate Consumption - Feeding Stuffs (Euro Million)",808.84
"704","1997","Intermediate Consumption - Feeding Stuffs (Euro Million)",749.68
"705","1998","Intermediate Consumption - Feeding Stuffs (Euro Million)",831.24
"706","1999","Intermediate Consumption - Feeding Stuffs (Euro Million)",860.87
"707","2000","Intermediate Consumption - Feeding Stuffs (Euro Million)",829.86
"708","2001","Intermediate Consumption - Feeding Stuffs (Euro Million)",881.99
"709","2002","Intermediate Consumption - Feeding Stuffs (Euro Million)",955.94
"710","2003","Intermediate Consumption - Feeding Stuffs (Euro Million)",922.99
"711","2004","Intermediate Consumption - Feeding Stuffs (Euro Million)",903.86
"712","2005","Intermediate Consumption - Feeding Stuffs (Euro Million)",865.14
"713","2006","Intermediate Consumption - Feeding Stuffs (Euro Million)",962.41
"714","2007","Intermediate Consumption - Feeding Stuffs (Euro Million)",1024.77
"715","2008","Intermediate Consumption - Feeding Stuffs (Euro Million)",1184.34
"716","2009","Intermediate Consumption - Feeding Stuffs (Euro Million)",1048.89
"717","2010","Intermediate Consumption - Feeding Stuffs (Euro Million)",1041.13
"718","2011","Intermediate Consumption - Feeding Stuffs (Euro Million)",1175.1
"719","2012","Intermediate Consumption - Feeding Stuffs (Euro Million)",1442.45
"720","2013","Intermediate Consumption - Feeding Stuffs (Euro Million)",1609.4
"721","1990","Intermediate Consumption - Fertilisers (Euro Million)",326.01
"722","1991","Intermediate Consumption - Fertilisers (Euro Million)",319.1
"723","1992","Intermediate Consumption - Fertilisers (Euro Million)",305.06
"724","1993","Intermediate Consumption - Fertilisers (Euro Million)",301.23
"725","1994","Intermediate Consumption - Fertilisers (Euro Million)",316.34
"726","1995","Intermediate Consumption - Fertilisers (Euro Million)",369.61
"727","1996","Intermediate Consumption - Fertilisers (Euro Million)",386.09
"728","1997","Intermediate Consumption - Fertilisers (Euro Million)",330.57
"729","1998","Intermediate Consumption - Fertilisers (Euro Million)",328.99
"730","1999","Intermediate Consumption - Fertilisers (Euro Million)",338.96
"731","2000","Intermediate Consumption - Fertilisers (Euro Million)",338.69
"732","2001","Intermediate Consumption - Fertilisers (Euro Million)",350.66
"733","2002","Intermediate Consumption - Fertilisers (Euro Million)",341.43
"734","2003","Intermediate Consumption - Fertilisers (Euro Million)",371.25
"735","2004","Intermediate Consumption - Fertilisers (Euro Million)",357.96
"736","2005","Intermediate Consumption - Fertilisers (Euro Million)",363.01
"737","2006","Intermediate Consumption - Fertilisers (Euro Million)",379.19
"738","2007","Intermediate Consumption - Fertilisers (Euro Million)",360.05
"739","2008","Intermediate Consumption - Fertilisers (Euro Million)",517.18
"740","2009","Intermediate Consumption - Fertilisers (Euro Million)",420.56
"741","2010","Intermediate Consumption - Fertilisers (Euro Million)",450.31
"742","2011","Intermediate Consumption - Fertilisers (Euro Million)",493.69
"743","2012","Intermediate Consumption - Fertilisers (Euro Million)",492
"744","2013","Intermediate Consumption - Fertilisers (Euro Million)",613.94
"745","1990","Intermediate Consumption - Seeds (Euro Million)",42.04
"746","1991","Intermediate Consumption - Seeds (Euro Million)",43.78
"747","1992","Intermediate Consumption - Seeds (Euro Million)",46.39
"748","1993","Intermediate Consumption - Seeds (Euro Million)",46.85
"749","1994","Intermediate Consumption - Seeds (Euro Million)",49.95
"750","1995","Intermediate Consumption - Seeds (Euro Million)",60.6
"751","1996","Intermediate Consumption - Seeds (Euro Million)",66.11
"752","1997","Intermediate Consumption - Seeds (Euro Million)",65.84
"753","1998","Intermediate Consumption - Seeds (Euro Million)",66.15
"754","1999","Intermediate Consumption - Seeds (Euro Million)",55.61
"755","2000","Intermediate Consumption - Seeds (Euro Million)",59.65
"756","2001","Intermediate Consumption - Seeds (Euro Million)",73.31
"757","2002","Intermediate Consumption - Seeds (Euro Million)",74.29
"758","2003","Intermediate Consumption - Seeds (Euro Million)",81.35
"759","2004","Intermediate Consumption - Seeds (Euro Million)",84.31
"760","2005","Intermediate Consumption - Seeds (Euro Million)",85.46
"761","2006","Intermediate Consumption - Seeds (Euro Million)",92.61
"762","2007","Intermediate Consumption - Seeds (Euro Million)",105.61
"763","2008","Intermediate Consumption - Seeds (Euro Million)",110.5
"764","2009","Intermediate Consumption - Seeds (Euro Million)",86.65
"765","2010","Intermediate Consumption - Seeds (Euro Million)",51.6
"766","2011","Intermediate Consumption - Seeds (Euro Million)",53.89
"767","2012","Intermediate Consumption - Seeds (Euro Million)",63.92
"768","2013","Intermediate Consumption - Seeds (Euro Million)",69.83
"769","1990","Intermediate Consumption - Energy and Lubricants (Euro Million)",165.01
"770","1991","Intermediate Consumption - Energy and Lubricants (Euro Million)",164.8
"771","1992","Intermediate Consumption - Energy and Lubricants (Euro Million)",155.44
"772","1993","Intermediate Consumption - Energy and Lubricants (Euro Million)",158.93
"773","1994","Intermediate Consumption - Energy and Lubricants (Euro Million)",158.8
"774","1995","Intermediate Consumption - Energy and Lubricants (Euro Million)",161.24
"775","1996","Intermediate Consumption - Energy and Lubricants (Euro Million)",186.73
"776","1997","Intermediate Consumption - Energy and Lubricants (Euro Million)",187.43
"777","1998","Intermediate Consumption - Energy and Lubricants (Euro Million)",185.77
"778","1999","Intermediate Consumption - Energy and Lubricants (Euro Million)",189.49
"779","2000","Intermediate Consumption - Energy and Lubricants (Euro Million)",217.7
"780","2001","Intermediate Consumption - Energy and Lubricants (Euro Million)",242.76
"781","2002","Intermediate Consumption - Energy and Lubricants (Euro Million)",221.52
"782","2003","Intermediate Consumption - Energy and Lubricants (Euro Million)",227.67
"783","2004","Intermediate Consumption - Energy and Lubricants (Euro Million)",237.56
"784","2005","Intermediate Consumption - Energy and Lubricants (Euro Million)",300.32
"785","2006","Intermediate Consumption - Energy and Lubricants (Euro Million)",329.83
"786","2007","Intermediate Consumption - Energy and Lubricants (Euro Million)",347.75
"787","2008","Intermediate Consumption - Energy and Lubricants (Euro Million)",379.32
"788","2009","Intermediate Consumption - Energy and Lubricants (Euro Million)",339.98
"789","2010","Intermediate Consumption - Energy and Lubricants (Euro Million)",386.86
"790","2011","Intermediate Consumption - Energy and Lubricants (Euro Million)",480.67
"791","2012","Intermediate Consumption - Energy and Lubricants (Euro Million)",501.35
"792","2013","Intermediate Consumption - Energy and Lubricants (Euro Million)",503.68
"793","1990","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",203.9
"794","1991","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",184.62
"795","1992","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",175.08
"796","1993","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",195.74
"797","1994","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",220.27
"798","1995","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",241.45
"799","1996","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",270.66
"800","1997","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",270.35
"801","1998","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",277.15
"802","1999","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",286.26
"803","2000","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",290.47
"804","2001","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",333.01
"805","2002","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",306.84
"806","2003","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",325.07
"807","2004","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",327.15
"808","2005","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",369.38
"809","2006","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",377.66
"810","2007","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",393.25
"811","2008","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",400.47
"812","2009","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",399.66
"813","2010","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",405.09
"814","2011","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",434.6
"815","2012","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",458.22
"816","2013","Intermediate Consumption - Maintenance and Repairs  (Euro Million)",467.41
"817","1990","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"818","1991","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"819","1992","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"820","1993","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"821","1994","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"822","1995","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"823","1996","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"824","1997","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"825","1998","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"826","1999","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"827","2000","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"828","2001","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"829","2002","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"830","2003","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"831","2004","Intermediate Consumption - Other Goods and Services (Euro Million)",0
"832","2005","Intermediate Consumption - Other Goods and Services (Euro Million)",357.92
"833","2006","Intermediate Consumption - Other Goods and Services (Euro Million)",361.82
"834","2007","Intermediate Consumption - Other Goods and Services (Euro Million)",370.56
"835","2008","Intermediate Consumption - Other Goods and Services (Euro Million)",386.83
"836","2009","Intermediate Consumption - Other Goods and Services (Euro Million)",416.3
"837","2010","Intermediate Consumption - Other Goods and Services (Euro Million)",419.28
"838","2011","Intermediate Consumption - Other Goods and Services (Euro Million)",454.57
"839","2012","Intermediate Consumption - Other Goods and Services (Euro Million)",468.06
"840","2013","Intermediate Consumption - Other Goods and Services (Euro Million)",492.42
"841","1990","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",73.21
"842","1991","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",75.32
"843","1992","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",72.19
"844","1993","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",79.8
"845","1994","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",81.78
"846","1995","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",89.73
"847","1996","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",109.32
"848","1997","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",103.72
"849","1998","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",107.95
"850","1999","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",110.33
"851","2000","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",108.09
"852","2001","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",118.58
"853","2002","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",111.63
"854","2003","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",112.76
"855","2004","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",114.18
"856","2005","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"857","2006","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"858","2007","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"859","2008","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"860","2009","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"861","2010","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"862","2011","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"863","2012","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"864","2013","Intermediate Consumption - Other Goods (Detergents, Small Tools,etc) (Euro Million)",NA
"865","1990","Intermediate Consumption - Services (Euro Million)",109.09
"866","1991","Intermediate Consumption - Services (Euro Million)",110.23
"867","1992","Intermediate Consumption - Services (Euro Million)",110.77
"868","1993","Intermediate Consumption - Services (Euro Million)",113.28
"869","1994","Intermediate Consumption - Services (Euro Million)",118.47
"870","1995","Intermediate Consumption - Services (Euro Million)",124.92
"871","1996","Intermediate Consumption - Services (Euro Million)",140.12
"872","1997","Intermediate Consumption - Services (Euro Million)",142.2
"873","1998","Intermediate Consumption - Services (Euro Million)",147.55
"874","1999","Intermediate Consumption - Services (Euro Million)",152.96
"875","2000","Intermediate Consumption - Services (Euro Million)",175.75
"876","2001","Intermediate Consumption - Services (Euro Million)",200.2
"877","2002","Intermediate Consumption - Services (Euro Million)",210.22
"878","2003","Intermediate Consumption - Services (Euro Million)",212.8
"879","2004","Intermediate Consumption - Services (Euro Million)",205.74
"880","2005","Intermediate Consumption - Services (Euro Million)",NA
"881","2006","Intermediate Consumption - Services (Euro Million)",NA
"882","2007","Intermediate Consumption - Services (Euro Million)",NA
"883","2008","Intermediate Consumption - Services (Euro Million)",NA
"884","2009","Intermediate Consumption - Services (Euro Million)",NA
"885","2010","Intermediate Consumption - Services (Euro Million)",NA
"886","2011","Intermediate Consumption - Services (Euro Million)",NA
"887","2012","Intermediate Consumption - Services (Euro Million)",NA
"888","2013","Intermediate Consumption - Services (Euro Million)",NA
"889","1990","Intermediate Consumption - Crop Protection Products (Euro Million)",47.37
"890","1991","Intermediate Consumption - Crop Protection Products (Euro Million)",50.43
"891","1992","Intermediate Consumption - Crop Protection Products (Euro Million)",55.22
"892","1993","Intermediate Consumption - Crop Protection Products (Euro Million)",57
"893","1994","Intermediate Consumption - Crop Protection Products (Euro Million)",57.5
"894","1995","Intermediate Consumption - Crop Protection Products (Euro Million)",60.22
"895","1996","Intermediate Consumption - Crop Protection Products (Euro Million)",67.03
"896","1997","Intermediate Consumption - Crop Protection Products (Euro Million)",69.53
"897","1998","Intermediate Consumption - Crop Protection Products (Euro Million)",72.26
"898","1999","Intermediate Consumption - Crop Protection Products (Euro Million)",69.94
"899","2000","Intermediate Consumption - Crop Protection Products (Euro Million)",67.35
"900","2001","Intermediate Consumption - Crop Protection Products (Euro Million)",60.5
"901","2002","Intermediate Consumption - Crop Protection Products (Euro Million)",73.03
"902","2003","Intermediate Consumption - Crop Protection Products (Euro Million)",65.14
"903","2004","Intermediate Consumption - Crop Protection Products (Euro Million)",64.57
"904","2005","Intermediate Consumption - Crop Protection Products (Euro Million)",55.89
"905","2006","Intermediate Consumption - Crop Protection Products (Euro Million)",46.42
"906","2007","Intermediate Consumption - Crop Protection Products (Euro Million)",50.94
"907","2008","Intermediate Consumption - Crop Protection Products (Euro Million)",56.72
"908","2009","Intermediate Consumption - Crop Protection Products (Euro Million)",47.63
"909","2010","Intermediate Consumption - Crop Protection Products (Euro Million)",54.14
"910","2011","Intermediate Consumption - Crop Protection Products (Euro Million)",58.32
"911","2012","Intermediate Consumption - Crop Protection Products (Euro Million)",66.16
"912","2013","Intermediate Consumption - Crop Protection Products (Euro Million)",58.98
"913","1990","Intermediate Consumption - Veterinary Expenses (Euro Million)",85.17
"914","1991","Intermediate Consumption - Veterinary Expenses (Euro Million)",91.93
"915","1992","Intermediate Consumption - Veterinary Expenses (Euro Million)",93.71
"916","1993","Intermediate Consumption - Veterinary Expenses (Euro Million)",100.24
"917","1994","Intermediate Consumption - Veterinary Expenses (Euro Million)",108.68
"918","1995","Intermediate Consumption - Veterinary Expenses (Euro Million)",114.81
"919","1996","Intermediate Consumption - Veterinary Expenses (Euro Million)",146.58
"920","1997","Intermediate Consumption - Veterinary Expenses (Euro Million)",153.45
"921","1998","Intermediate Consumption - Veterinary Expenses (Euro Million)",155.66
"922","1999","Intermediate Consumption - Veterinary Expenses (Euro Million)",151.45
"923","2000","Intermediate Consumption - Veterinary Expenses (Euro Million)",159.36
"924","2001","Intermediate Consumption - Veterinary Expenses (Euro Million)",181.17
"925","2002","Intermediate Consumption - Veterinary Expenses (Euro Million)",189.77
"926","2003","Intermediate Consumption - Veterinary Expenses (Euro Million)",194.86
"927","2004","Intermediate Consumption - Veterinary Expenses (Euro Million)",196.13
"928","2005","Intermediate Consumption - Veterinary Expenses (Euro Million)",209.5
"929","2006","Intermediate Consumption - Veterinary Expenses (Euro Million)",220.45
"930","2007","Intermediate Consumption - Veterinary Expenses (Euro Million)",225.47
"931","2008","Intermediate Consumption - Veterinary Expenses (Euro Million)",224.19
"932","2009","Intermediate Consumption - Veterinary Expenses (Euro Million)",236.95
"933","2010","Intermediate Consumption - Veterinary Expenses (Euro Million)",240.27
"934","2011","Intermediate Consumption - Veterinary Expenses (Euro Million)",259.55
"935","2012","Intermediate Consumption - Veterinary Expenses (Euro Million)",281.39
"936","2013","Intermediate Consumption - Veterinary Expenses (Euro Million)",310.89
"937","1990","Intermediate Consumption - Forage Plants (Euro Million)",553.13
