"","Statistic","Year","Product","value"
"303","Value Index of Agricultural Output (Base 1995=100)","1994","Total Pigs",96.7
"304","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Pigs",0.4
"305","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Pigs",11.1
"306","Estimated Value of Agricultural Output (Euro Million)","1995","Total Pigs",296.6
"307","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Pigs",3020
"308","Value Index of Agricultural Output (Base 1995=100)","1995","Total Pigs",100
"309","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Pigs",4.3
"310","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Pigs",44
"311","Estimated Value of Agricultural Output (Euro Million)","1996","Total Pigs",358.1
"312","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Pigs",3255
"313","Value Index of Agricultural Output (Base 1995=100)","1996","Total Pigs",108.1
"314","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Pigs",8.1
"315","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Pigs",122.2
"316","Estimated Value of Agricultural Output (Euro Million)","1997","Total Pigs",338.4
"317","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Pigs",3478
"318","Value Index of Agricultural Output (Base 1995=100)","1997","Total Pigs",115.7
"319","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Pigs",2
"320","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Pigs",52.5
"321","Estimated Value of Agricultural Output (Euro Million)","1998","Total Pigs",284.4
"322","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Pigs",3645
"323","Value Index of Agricultural Output (Base 1995=100)","1998","Total Pigs",121
"324","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Pigs",4.5
"325","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Pigs",83.9
"326","Estimated Value of Agricultural Output (Euro Million)","1999","Total Pigs",253.3
"327","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Pigs",3510
"328","Value Index of Agricultural Output (Base 1995=100)","1999","Total Pigs",118.3
"329","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Pigs",-1.9
"330","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Pigs",-38
"331","Estimated Value of Agricultural Output (Euro Million)","2000","Total Pigs",299.3
"332","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Pigs",3280
"333","Value Index of Agricultural Output (Base 1995=100)","2000","Total Pigs",111.7
"334","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Pigs",1.3
"335","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Pigs",-0.8
"336","Estimated Value of Agricultural Output (Euro Million)","2001","Total Pigs",347.5
"337","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Pigs",3351
"338","Value Index of Agricultural Output (Base 1995=100)","2001","Total Pigs",114.4
"339","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Pigs",1.7
"340","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Pigs",31.5
"341","Estimated Value of Agricultural Output (Euro Million)","2002","Total Pigs",300.1
"342","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Pigs",3348
"343","Value Index of Agricultural Output (Base 1995=100)","2002","Total Pigs",112.5
"344","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Pigs",0.4
"345","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Pigs",18.5
"346","Estimated Value of Agricultural Output (Euro Million)","2003","Total Pigs",282.7
"347","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Pigs",NA
"348","Value Index of Agricultural Output (Base 1995=100)","2003","Total Pigs",NA
"349","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Pigs",NA
"350","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Pigs",NA
"351","Estimated Value of Agricultural Output (Euro Million)","1990","Total Sheep",188.8
"352","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Sheep",4096
"353","Value Index of Agricultural Output (Base 1995=100)","1990","Total Sheep",108
"354","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Sheep",10.4
"355","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Sheep",149.8
"356","Estimated Value of Agricultural Output (Euro Million)","1991","Total Sheep",201.4
"357","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Sheep",4349
"358","Value Index of Agricultural Output (Base 1995=100)","1991","Total Sheep",111.9
"359","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Sheep",4.8
"360","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Sheep",123.9
"361","Estimated Value of Agricultural Output (Euro Million)","1992","Total Sheep",195.3
"362","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Sheep",4611
"363","Value Index of Agricultural Output (Base 1995=100)","1992","Total Sheep",119
"364","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Sheep",6.8
"365","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Sheep",137.5
"366","Estimated Value of Agricultural Output (Euro Million)","1993","Total Sheep",234.7
"367","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Sheep",4786
"368","Value Index of Agricultural Output (Base 1995=100)","1993","Total Sheep",123.5
"369","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Sheep",-6.7
"370","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Sheep",-134.2
"371","Estimated Value of Agricultural Output (Euro Million)","1994","Total Sheep",232.7
"372","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Sheep",4405
"373","Value Index of Agricultural Output (Base 1995=100)","1994","Total Sheep",114.1
"374","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Sheep",-9
"375","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Sheep",-218.5
"376","Estimated Value of Agricultural Output (Euro Million)","1995","Total Sheep",192
"377","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Sheep",3913
"378","Value Index of Agricultural Output (Base 1995=100)","1995","Total Sheep",100
"379","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Sheep",-9
"380","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Sheep",-189.2
"381","Estimated Value of Agricultural Output (Euro Million)","1996","Total Sheep",243.1
"382","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Sheep",3977
"383","Value Index of Agricultural Output (Base 1995=100)","1996","Total Sheep",103.6
"384","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Sheep",-8
"385","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Sheep",-192.6
"386","Estimated Value of Agricultural Output (Euro Million)","1997","Total Sheep",231.1
"387","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Sheep",3794
"388","Value Index of Agricultural Output (Base 1995=100)","1997","Total Sheep",96.4
"389","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Sheep",9
"390","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Sheep",243.7
"391","Estimated Value of Agricultural Output (Euro Million)","1998","Total Sheep",214
"392","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Sheep",4042
"393","Value Index of Agricultural Output (Base 1995=100)","1998","Total Sheep",105.3
"394","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Sheep",-1.3
"395","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Sheep",-18.1
"396","Estimated Value of Agricultural Output (Euro Million)","1999","Total Sheep",198
"397","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Sheep",4018
"398","Value Index of Agricultural Output (Base 1995=100)","1999","Total Sheep",105.7
"399","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Sheep",-10.2
"400","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Sheep",-240.5
"401","Estimated Value of Agricultural Output (Euro Million)","2000","Total Sheep",203.4
"402","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Sheep",3614
"403","Value Index of Agricultural Output (Base 1995=100)","2000","Total Sheep",95.6
"404","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Sheep",-12
"405","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Sheep",-262.5
"406","Estimated Value of Agricultural Output (Euro Million)","2001","Total Sheep",285.8
"407","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Sheep",3474
"408","Value Index of Agricultural Output (Base 1995=100)","2001","Total Sheep",92.3
"409","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Sheep",-14
"410","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Sheep",-231.8
"411","Estimated Value of Agricultural Output (Euro Million)","2002","Total Sheep",202.2
"412","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Sheep",3089
"413","Value Index of Agricultural Output (Base 1995=100)","2002","Total Sheep",78.1
"414","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Sheep",-2.3
"415","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Sheep",21.5
"416","Estimated Value of Agricultural Output (Euro Million)","2003","Total Sheep",193.3
"417","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Sheep",NA
"418","Value Index of Agricultural Output (Base 1995=100)","2003","Total Sheep",NA
"419","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Sheep",NA
"420","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Sheep",NA
"421","Estimated Value of Agricultural Output (Euro Million)","1990","Total Horses",83.2
"422","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Horses",NA
"423","Value Index of Agricultural Output (Base 1995=100)","1990","Total Horses",98
"424","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Horses",NA
"425","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Horses",NA
"426","Estimated Value of Agricultural Output (Euro Million)","1991","Total Horses",70.2
"427","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Horses",NA
"428","Value Index of Agricultural Output (Base 1995=100)","1991","Total Horses",100.6
"429","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Horses",NA
"430","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Horses",NA
"431","Estimated Value of Agricultural Output (Euro Million)","1992","Total Horses",61.4
"432","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Horses",NA
"433","Value Index of Agricultural Output (Base 1995=100)","1992","Total Horses",106.9
"434","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Horses",NA
"435","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Horses",NA
"436","Estimated Value of Agricultural Output (Euro Million)","1993","Total Horses",84.5
"437","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Horses",NA
"438","Value Index of Agricultural Output (Base 1995=100)","1993","Total Horses",103.2
"439","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Horses",NA
"440","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Horses",NA
"441","Estimated Value of Agricultural Output (Euro Million)","1994","Total Horses",75.9
"442","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Horses",NA
"443","Value Index of Agricultural Output (Base 1995=100)","1994","Total Horses",110.2
"444","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Horses",NA
"445","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Horses",NA
"446","Estimated Value of Agricultural Output (Euro Million)","1995","Total Horses",70.1
"447","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Horses",NA
"448","Value Index of Agricultural Output (Base 1995=100)","1995","Total Horses",100
"449","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Horses",NA
"450","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Horses",NA
"451","Estimated Value of Agricultural Output (Euro Million)","1996","Total Horses",96.8
"452","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Horses",NA
"453","Value Index of Agricultural Output (Base 1995=100)","1996","Total Horses",107.2
"454","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Horses",NA
"455","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Horses",NA
"456","Estimated Value of Agricultural Output (Euro Million)","1997","Total Horses",106.9
"457","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Horses",NA
"458","Value Index of Agricultural Output (Base 1995=100)","1997","Total Horses",114.7
"459","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Horses",NA
"460","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Horses",NA
"461","Estimated Value of Agricultural Output (Euro Million)","1998","Total Horses",128.7
"462","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Horses",NA
"463","Value Index of Agricultural Output (Base 1995=100)","1998","Total Horses",107.3
"464","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Horses",NA
"465","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Horses",NA
"466","Estimated Value of Agricultural Output (Euro Million)","1999","Total Horses",150
"467","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Horses",NA
"468","Value Index of Agricultural Output (Base 1995=100)","1999","Total Horses",116.5
"469","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Horses",NA
"470","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Horses",NA
"471","Estimated Value of Agricultural Output (Euro Million)","2000","Total Horses",164.3
"472","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Horses",NA
"473","Value Index of Agricultural Output (Base 1995=100)","2000","Total Horses",129.1
"474","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Horses",NA
"475","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Horses",NA
"476","Estimated Value of Agricultural Output (Euro Million)","2001","Total Horses",146.5
"477","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Horses",NA
"478","Value Index of Agricultural Output (Base 1995=100)","2001","Total Horses",143
"479","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Horses",NA
"480","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Horses",NA
"481","Estimated Value of Agricultural Output (Euro Million)","2002","Total Horses",198.7
"482","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Horses",NA
"483","Value Index of Agricultural Output (Base 1995=100)","2002","Total Horses",151.4
"484","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Horses",NA
"485","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Horses",NA
"486","Estimated Value of Agricultural Output (Euro Million)","2003","Total Horses",NA
"487","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Horses",NA
"488","Value Index of Agricultural Output (Base 1995=100)","2003","Total Horses",NA
"489","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Horses",NA
"490","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Horses",NA
"491","Estimated Value of Agricultural Output (Euro Million)","1990","Total Poultry",122.4
"492","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Poultry",50917
"493","Value Index of Agricultural Output (Base 1995=100)","1990","Total Poultry",80.3
"494","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Poultry",3.3
"495","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Poultry",1502.4
"496","Estimated Value of Agricultural Output (Euro Million)","1991","Total Poultry",130.2
"497","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Poultry",50210
"498","Value Index of Agricultural Output (Base 1995=100)","1991","Total Poultry",85.3
"499","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Poultry",3.3
"500","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Poultry",482.3
"501","Estimated Value of Agricultural Output (Euro Million)","1992","Total Poultry",133.2
"502","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Poultry",52991
"503","Value Index of Agricultural Output (Base 1995=100)","1992","Total Poultry",86.9
"504","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Poultry",-0.3
"505","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Poultry",131.9
"506","Estimated Value of Agricultural Output (Euro Million)","1993","Total Poultry",120.2
"507","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Poultry",49861
"508","Value Index of Agricultural Output (Base 1995=100)","1993","Total Poultry",83.3
"509","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Poultry",-1
"510","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Poultry",707.4
"511","Estimated Value of Agricultural Output (Euro Million)","1994","Total Poultry",141.7
"512","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Poultry",56692
"513","Value Index of Agricultural Output (Base 1995=100)","1994","Total Poultry",97.4
"514","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Poultry",7.8
"515","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Poultry",1307.5
"516","Estimated Value of Agricultural Output (Euro Million)","1995","Total Poultry",141.8
"517","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Poultry",50982
"518","Value Index of Agricultural Output (Base 1995=100)","1995","Total Poultry",100
"519","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Poultry",1.7
"520","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Poultry",-524.4
"521","Estimated Value of Agricultural Output (Euro Million)","1996","Total Poultry",148.9
"522","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Poultry",49387
"523","Value Index of Agricultural Output (Base 1995=100)","1996","Total Poultry",103.3
"524","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Poultry",1.6
"525","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Poultry",418.5
"526","Estimated Value of Agricultural Output (Euro Million)","1997","Total Poultry",161.1
"527","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Poultry",57641
"528","Value Index of Agricultural Output (Base 1995=100)","1997","Total Poultry",107.9
"529","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Poultry",0
"530","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Poultry",-294.2
"531","Estimated Value of Agricultural Output (Euro Million)","1998","Total Poultry",154.6
"532","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Poultry",60367
"533","Value Index of Agricultural Output (Base 1995=100)","1998","Total Poultry",106.2
"534","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Poultry",-0.5
"535","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Poultry",-226
"536","Estimated Value of Agricultural Output (Euro Million)","1999","Total Poultry",149.8
"537","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Poultry",61592
"538","Value Index of Agricultural Output (Base 1995=100)","1999","Total Poultry",108.9
"539","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Poultry",3.2
"540","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Poultry",757.7
"541","Estimated Value of Agricultural Output (Euro Million)","2000","Total Poultry",139.4
"542","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Poultry",59462
"543","Value Index of Agricultural Output (Base 1995=100)","2000","Total Poultry",101.1
"544","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Poultry",-7.6
"545","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Poultry",-1390.4
"546","Estimated Value of Agricultural Output (Euro Million)","2001","Total Poultry",152.2
"547","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Poultry",60845
"548","Value Index of Agricultural Output (Base 1995=100)","2001","Total Poultry",105.9
"549","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Poultry",2.1
"550","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Poultry",-375.7
"551","Estimated Value of Agricultural Output (Euro Million)","2002","Total Poultry",150.6
"552","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Poultry",60427
"553","Value Index of Agricultural Output (Base 1995=100)","2002","Total Poultry",103.5
"554","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Poultry",-2.6
"555","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Poultry",-2.9
"556","Estimated Value of Agricultural Output (Euro Million)","2003","Total Poultry",NA
"557","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Poultry",NA
"558","Value Index of Agricultural Output (Base 1995=100)","2003","Total Poultry",NA
"559","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Poultry",NA
"560","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Poultry",NA
"561","Estimated Value of Agricultural Output (Euro Million)","1990","Total Livestock Products",1359.3
"562","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Livestock Products",NA
"563","Value Index of Agricultural Output (Base 1995=100)","1990","Total Livestock Products",99.7
"564","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Livestock Products",NA
"565","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Livestock Products",NA
"566","Estimated Value of Agricultural Output (Euro Million)","1991","Total Livestock Products",1303.7
"567","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Livestock Products",NA
"568","Value Index of Agricultural Output (Base 1995=100)","1991","Total Livestock Products",99
"569","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Livestock Products",NA
"570","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Livestock Products",NA
"571","Estimated Value of Agricultural Output (Euro Million)","1992","Total Livestock Products",1411.9
"572","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Livestock Products",NA
"573","Value Index of Agricultural Output (Base 1995=100)","1992","Total Livestock Products",99.8
"574","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Livestock Products",NA
"575","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Livestock Products",NA
"576","Estimated Value of Agricultural Output (Euro Million)","1993","Total Livestock Products",1478.5
"577","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Livestock Products",NA
"578","Value Index of Agricultural Output (Base 1995=100)","1993","Total Livestock Products",98.7
"579","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Livestock Products",NA
"580","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Livestock Products",NA
"581","Estimated Value of Agricultural Output (Euro Million)","1994","Total Livestock Products",1489.3
"582","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Livestock Products",NA
"583","Value Index of Agricultural Output (Base 1995=100)","1994","Total Livestock Products",99.7
"584","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Livestock Products",NA
"585","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Livestock Products",NA
"586","Estimated Value of Agricultural Output (Euro Million)","1995","Total Livestock Products",1582.8
"587","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Livestock Products",NA
"588","Value Index of Agricultural Output (Base 1995=100)","1995","Total Livestock Products",100
"589","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Livestock Products",NA
"590","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Livestock Products",NA
"591","Estimated Value of Agricultural Output (Euro Million)","1996","Total Livestock Products",1576.1
"592","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Livestock Products",NA
"593","Value Index of Agricultural Output (Base 1995=100)","1996","Total Livestock Products",99.8
"594","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Livestock Products",NA
"595","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Livestock Products",NA
"596","Estimated Value of Agricultural Output (Euro Million)","1997","Total Livestock Products",1452.7
"597","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Livestock Products",NA
"598","Value Index of Agricultural Output (Base 1995=100)","1997","Total Livestock Products",98.9
"599","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Livestock Products",NA
"600","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Livestock Products",NA
"601","Estimated Value of Agricultural Output (Euro Million)","1998","Total Livestock Products",1466.7
"602","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Livestock Products",NA
"603","Value Index of Agricultural Output (Base 1995=100)","1998","Total Livestock Products",96
"604","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Livestock Products",NA
"605","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Livestock Products",NA
"606","Estimated Value of Agricultural Output (Euro Million)","1999","Total Livestock Products",1439.3
"607","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Livestock Products",NA
"608","Value Index of Agricultural Output (Base 1995=100)","1999","Total Livestock Products",96.4
"609","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Livestock Products",NA
"610","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Livestock Products",NA
"611","Estimated Value of Agricultural Output (Euro Million)","2000","Total Livestock Products",1486.1
"612","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Livestock Products",NA
"613","Value Index of Agricultural Output (Base 1995=100)","2000","Total Livestock Products",97.2
"614","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Livestock Products",NA
"615","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Livestock Products",NA
"616","Estimated Value of Agricultural Output (Euro Million)","2001","Total Livestock Products",1605.4
"617","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Livestock Products",NA
"618","Value Index of Agricultural Output (Base 1995=100)","2001","Total Livestock Products",100.3
"619","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Livestock Products",NA
"620","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Livestock Products",NA
"621","Estimated Value of Agricultural Output (Euro Million)","2002","Total Livestock Products",1454.3
"622","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Livestock Products",NA
"623","Value Index of Agricultural Output (Base 1995=100)","2002","Total Livestock Products",97.6
"624","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Livestock Products",NA
"625","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Livestock Products",NA
"626","Estimated Value of Agricultural Output (Euro Million)","2003","Total Livestock Products",1482.6
"627","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Livestock Products",NA
"628","Value Index of Agricultural Output (Base 1995=100)","2003","Total Livestock Products",NA
"629","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Livestock Products",NA
"630","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Livestock Products",NA
"631","Estimated Value of Agricultural Output (Euro Million)","1990","Milk (m litres)",1314.3
"632","Estimated Quantity of Agricultural Output (Thousand)","1990","Milk (m litres)",5179
"633","Value Index of Agricultural Output (Base 1995=100)","1990","Milk (m litres)",99.9
"634","Value of Changes in Livestock and Crops (Euro Million)","1990","Milk (m litres)",NA
"635","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Milk (m litres)",NA
"636","Estimated Value of Agricultural Output (Euro Million)","1991","Milk (m litres)",1258.9
"637","Estimated Quantity of Agricultural Output (Thousand)","1991","Milk (m litres)",5123
"638","Value Index of Agricultural Output (Base 1995=100)","1991","Milk (m litres)",98.8
"639","Value of Changes in Livestock and Crops (Euro Million)","1991","Milk (m litres)",NA
"640","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Milk (m litres)",NA
"641","Estimated Value of Agricultural Output (Euro Million)","1992","Milk (m litres)",1373.1
"642","Estimated Quantity of Agricultural Output (Thousand)","1992","Milk (m litres)",5167
"643","Value Index of Agricultural Output (Base 1995=100)","1992","Milk (m litres)",99.6
"644","Value of Changes in Livestock and Crops (Euro Million)","1992","Milk (m litres)",NA
"645","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Milk (m litres)",NA
"646","Estimated Value of Agricultural Output (Euro Million)","1993","Milk (m litres)",1439
"647","Estimated Quantity of Agricultural Output (Thousand)","1993","Milk (m litres)",5109
"648","Value Index of Agricultural Output (Base 1995=100)","1993","Milk (m litres)",98.5
"649","Value of Changes in Livestock and Crops (Euro Million)","1993","Milk (m litres)",NA
"650","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Milk (m litres)",NA
"651","Estimated Value of Agricultural Output (Euro Million)","1994","Milk (m litres)",1446.2
"652","Estimated Quantity of Agricultural Output (Thousand)","1994","Milk (m litres)",5176
