"","Statistic","Year","Production.Cost","value"
"361","Agricultural Input Value (Euro Million)","2002","Gross Value Added at Basic Prices",2620.9
"362","Agricultural Input Value Index (Base 1995=100)","2002","Gross Value Added at Basic Prices",95.3
"363","Agricultural Input Value (Euro Million)","2003","Gross Value Added at Basic Prices",2775.1
"364","Agricultural Input Value Index (Base 1995=100)","2003","Gross Value Added at Basic Prices",NA
"365","Agricultural Input Value (Euro Million)","1990","Other Subsidies less Taxes on Production",53.8
"366","Agricultural Input Value Index (Base 1995=100)","1990","Other Subsidies less Taxes on Production",NA
"367","Agricultural Input Value (Euro Million)","1991","Other Subsidies less Taxes on Production",58.3
"368","Agricultural Input Value Index (Base 1995=100)","1991","Other Subsidies less Taxes on Production",NA
"369","Agricultural Input Value (Euro Million)","1992","Other Subsidies less Taxes on Production",70.3
"370","Agricultural Input Value Index (Base 1995=100)","1992","Other Subsidies less Taxes on Production",NA
"371","Agricultural Input Value (Euro Million)","1993","Other Subsidies less Taxes on Production",72.4
"372","Agricultural Input Value Index (Base 1995=100)","1993","Other Subsidies less Taxes on Production",NA
"373","Agricultural Input Value (Euro Million)","1994","Other Subsidies less Taxes on Production",164.4
"374","Agricultural Input Value Index (Base 1995=100)","1994","Other Subsidies less Taxes on Production",NA
"375","Agricultural Input Value (Euro Million)","1995","Other Subsidies less Taxes on Production",180.9
"376","Agricultural Input Value Index (Base 1995=100)","1995","Other Subsidies less Taxes on Production",NA
"377","Agricultural Input Value (Euro Million)","1996","Other Subsidies less Taxes on Production",330.5
"378","Agricultural Input Value Index (Base 1995=100)","1996","Other Subsidies less Taxes on Production",NA
"379","Agricultural Input Value (Euro Million)","1997","Other Subsidies less Taxes on Production",371.6
"380","Agricultural Input Value Index (Base 1995=100)","1997","Other Subsidies less Taxes on Production",NA
"381","Agricultural Input Value (Euro Million)","1998","Other Subsidies less Taxes on Production",409.3
"382","Agricultural Input Value Index (Base 1995=100)","1998","Other Subsidies less Taxes on Production",NA
"383","Agricultural Input Value (Euro Million)","1999","Other Subsidies less Taxes on Production",430.2
"384","Agricultural Input Value Index (Base 1995=100)","1999","Other Subsidies less Taxes on Production",NA
"385","Agricultural Input Value (Euro Million)","2000","Other Subsidies less Taxes on Production",457.5
"386","Agricultural Input Value Index (Base 1995=100)","2000","Other Subsidies less Taxes on Production",NA
"387","Agricultural Input Value (Euro Million)","2001","Other Subsidies less Taxes on Production",709.8
"388","Agricultural Input Value Index (Base 1995=100)","2001","Other Subsidies less Taxes on Production",NA
"389","Agricultural Input Value (Euro Million)","2002","Other Subsidies less Taxes on Production",748.3
"390","Agricultural Input Value Index (Base 1995=100)","2002","Other Subsidies less Taxes on Production",NA
"391","Agricultural Input Value (Euro Million)","2003","Other Subsidies less Taxes on Production",722.8
"392","Agricultural Input Value Index (Base 1995=100)","2003","Other Subsidies less Taxes on Production",NA
"393","Agricultural Input Value (Euro Million)","1990","Net Value Added at Basic Prices",2347.5
"394","Agricultural Input Value Index (Base 1995=100)","1990","Net Value Added at Basic Prices",NA
"395","Agricultural Input Value (Euro Million)","1991","Net Value Added at Basic Prices",2161.8
"396","Agricultural Input Value Index (Base 1995=100)","1991","Net Value Added at Basic Prices",NA
"397","Agricultural Input Value (Euro Million)","1992","Net Value Added at Basic Prices",2485.5
"398","Agricultural Input Value Index (Base 1995=100)","1992","Net Value Added at Basic Prices",NA
"399","Agricultural Input Value (Euro Million)","1993","Net Value Added at Basic Prices",2603.5
"400","Agricultural Input Value Index (Base 1995=100)","1993","Net Value Added at Basic Prices",NA
"401","Agricultural Input Value (Euro Million)","1994","Net Value Added at Basic Prices",2589.1
"402","Agricultural Input Value Index (Base 1995=100)","1994","Net Value Added at Basic Prices",NA
"403","Agricultural Input Value (Euro Million)","1995","Net Value Added at Basic Prices",2696.3
"404","Agricultural Input Value Index (Base 1995=100)","1995","Net Value Added at Basic Prices",NA
"405","Agricultural Input Value (Euro Million)","1996","Net Value Added at Basic Prices",2681.2
"406","Agricultural Input Value Index (Base 1995=100)","1996","Net Value Added at Basic Prices",NA
"407","Agricultural Input Value (Euro Million)","1997","Net Value Added at Basic Prices",2451.1
"408","Agricultural Input Value Index (Base 1995=100)","1997","Net Value Added at Basic Prices",NA
"409","Agricultural Input Value (Euro Million)","1998","Net Value Added at Basic Prices",2421.5
"410","Agricultural Input Value Index (Base 1995=100)","1998","Net Value Added at Basic Prices",NA
"411","Agricultural Input Value (Euro Million)","1999","Net Value Added at Basic Prices",2148.1
"412","Agricultural Input Value Index (Base 1995=100)","1999","Net Value Added at Basic Prices",NA
"413","Agricultural Input Value (Euro Million)","2000","Net Value Added at Basic Prices",2350.3
"414","Agricultural Input Value Index (Base 1995=100)","2000","Net Value Added at Basic Prices",NA
"415","Agricultural Input Value (Euro Million)","2001","Net Value Added at Basic Prices",2241.7
"416","Agricultural Input Value Index (Base 1995=100)","2001","Net Value Added at Basic Prices",NA
"417","Agricultural Input Value (Euro Million)","2002","Net Value Added at Basic Prices",1997.3
"418","Agricultural Input Value Index (Base 1995=100)","2002","Net Value Added at Basic Prices",NA
"419","Agricultural Input Value (Euro Million)","2003","Net Value Added at Basic Prices",2151.2
"420","Agricultural Input Value Index (Base 1995=100)","2003","Net Value Added at Basic Prices",NA
"421","Agricultural Input Value (Euro Million)","1990","Fixed Capital Consumption",431.6
"422","Agricultural Input Value Index (Base 1995=100)","1990","Fixed Capital Consumption",NA
"423","Agricultural Input Value (Euro Million)","1991","Fixed Capital Consumption",444.4
"424","Agricultural Input Value Index (Base 1995=100)","1991","Fixed Capital Consumption",NA
"425","Agricultural Input Value (Euro Million)","1992","Fixed Capital Consumption",449.6
"426","Agricultural Input Value Index (Base 1995=100)","1992","Fixed Capital Consumption",NA
"427","Agricultural Input Value (Euro Million)","1993","Fixed Capital Consumption",457.1
"428","Agricultural Input Value Index (Base 1995=100)","1993","Fixed Capital Consumption",NA
"429","Agricultural Input Value (Euro Million)","1994","Fixed Capital Consumption",471
"430","Agricultural Input Value Index (Base 1995=100)","1994","Fixed Capital Consumption",NA
"431","Agricultural Input Value (Euro Million)","1995","Fixed Capital Consumption",495.6
"432","Agricultural Input Value Index (Base 1995=100)","1995","Fixed Capital Consumption",NA
"433","Agricultural Input Value (Euro Million)","1996","Fixed Capital Consumption",516.2
"434","Agricultural Input Value Index (Base 1995=100)","1996","Fixed Capital Consumption",NA
"435","Agricultural Input Value (Euro Million)","1997","Fixed Capital Consumption",530.1
"436","Agricultural Input Value Index (Base 1995=100)","1997","Fixed Capital Consumption",NA
"437","Agricultural Input Value (Euro Million)","1998","Fixed Capital Consumption",544.6
"438","Agricultural Input Value Index (Base 1995=100)","1998","Fixed Capital Consumption",NA
"439","Agricultural Input Value (Euro Million)","1999","Fixed Capital Consumption",562.5
"440","Agricultural Input Value Index (Base 1995=100)","1999","Fixed Capital Consumption",NA
"441","Agricultural Input Value (Euro Million)","2000","Fixed Capital Consumption",582.4
"442","Agricultural Input Value Index (Base 1995=100)","2000","Fixed Capital Consumption",NA
"443","Agricultural Input Value (Euro Million)","2001","Fixed Capital Consumption",609.8
"444","Agricultural Input Value Index (Base 1995=100)","2001","Fixed Capital Consumption",NA
"445","Agricultural Input Value (Euro Million)","2002","Fixed Capital Consumption",623.6
"446","Agricultural Input Value Index (Base 1995=100)","2002","Fixed Capital Consumption",NA
"447","Agricultural Input Value (Euro Million)","2003","Fixed Capital Consumption",623.9
"448","Agricultural Input Value Index (Base 1995=100)","2003","Fixed Capital Consumption",NA
"449","Agricultural Input Value (Euro Million)","1990","Fixed Capital Consumption - Machinery and Equipment etc",325.5
"450","Agricultural Input Value Index (Base 1995=100)","1990","Fixed Capital Consumption - Machinery and Equipment etc",NA
"451","Agricultural Input Value (Euro Million)","1991","Fixed Capital Consumption - Machinery and Equipment etc",331.7
"452","Agricultural Input Value Index (Base 1995=100)","1991","Fixed Capital Consumption - Machinery and Equipment etc",NA
"453","Agricultural Input Value (Euro Million)","1992","Fixed Capital Consumption - Machinery and Equipment etc",332.4
"454","Agricultural Input Value Index (Base 1995=100)","1992","Fixed Capital Consumption - Machinery and Equipment etc",NA
"455","Agricultural Input Value (Euro Million)","1993","Fixed Capital Consumption - Machinery and Equipment etc",335.5
"456","Agricultural Input Value Index (Base 1995=100)","1993","Fixed Capital Consumption - Machinery and Equipment etc",NA
"457","Agricultural Input Value (Euro Million)","1994","Fixed Capital Consumption - Machinery and Equipment etc",346.5
"458","Agricultural Input Value Index (Base 1995=100)","1994","Fixed Capital Consumption - Machinery and Equipment etc",NA
"459","Agricultural Input Value (Euro Million)","1995","Fixed Capital Consumption - Machinery and Equipment etc",366.2
"460","Agricultural Input Value Index (Base 1995=100)","1995","Fixed Capital Consumption - Machinery and Equipment etc",NA
"461","Agricultural Input Value (Euro Million)","1996","Fixed Capital Consumption - Machinery and Equipment etc",382.5
"462","Agricultural Input Value Index (Base 1995=100)","1996","Fixed Capital Consumption - Machinery and Equipment etc",NA
"463","Agricultural Input Value (Euro Million)","1997","Fixed Capital Consumption - Machinery and Equipment etc",389
"464","Agricultural Input Value Index (Base 1995=100)","1997","Fixed Capital Consumption - Machinery and Equipment etc",NA
"465","Agricultural Input Value (Euro Million)","1998","Fixed Capital Consumption - Machinery and Equipment etc",397.4
"466","Agricultural Input Value Index (Base 1995=100)","1998","Fixed Capital Consumption - Machinery and Equipment etc",NA
"467","Agricultural Input Value (Euro Million)","1999","Fixed Capital Consumption - Machinery and Equipment etc",409.1
"468","Agricultural Input Value Index (Base 1995=100)","1999","Fixed Capital Consumption - Machinery and Equipment etc",NA
"469","Agricultural Input Value (Euro Million)","2000","Fixed Capital Consumption - Machinery and Equipment etc",417.7
"470","Agricultural Input Value Index (Base 1995=100)","2000","Fixed Capital Consumption - Machinery and Equipment etc",NA
"471","Agricultural Input Value (Euro Million)","2001","Fixed Capital Consumption - Machinery and Equipment etc",426.1
"472","Agricultural Input Value Index (Base 1995=100)","2001","Fixed Capital Consumption - Machinery and Equipment etc",NA
"473","Agricultural Input Value (Euro Million)","2002","Fixed Capital Consumption - Machinery and Equipment etc",430.2
"474","Agricultural Input Value Index (Base 1995=100)","2002","Fixed Capital Consumption - Machinery and Equipment etc",NA
"475","Agricultural Input Value (Euro Million)","2003","Fixed Capital Consumption - Machinery and Equipment etc",NA
"476","Agricultural Input Value Index (Base 1995=100)","2003","Fixed Capital Consumption - Machinery and Equipment etc",NA
"477","Agricultural Input Value (Euro Million)","1990","Fixed Capital Consumption - Farm Buildings",106.1
"478","Agricultural Input Value Index (Base 1995=100)","1990","Fixed Capital Consumption - Farm Buildings",NA
"479","Agricultural Input Value (Euro Million)","1991","Fixed Capital Consumption - Farm Buildings",112.7
"480","Agricultural Input Value Index (Base 1995=100)","1991","Fixed Capital Consumption - Farm Buildings",NA
"481","Agricultural Input Value (Euro Million)","1992","Fixed Capital Consumption - Farm Buildings",117.2
"482","Agricultural Input Value Index (Base 1995=100)","1992","Fixed Capital Consumption - Farm Buildings",NA
"483","Agricultural Input Value (Euro Million)","1993","Fixed Capital Consumption - Farm Buildings",121.6
"484","Agricultural Input Value Index (Base 1995=100)","1993","Fixed Capital Consumption - Farm Buildings",NA
"485","Agricultural Input Value (Euro Million)","1994","Fixed Capital Consumption - Farm Buildings",124.4
"486","Agricultural Input Value Index (Base 1995=100)","1994","Fixed Capital Consumption - Farm Buildings",NA
"487","Agricultural Input Value (Euro Million)","1995","Fixed Capital Consumption - Farm Buildings",129.4
"488","Agricultural Input Value Index (Base 1995=100)","1995","Fixed Capital Consumption - Farm Buildings",NA
"489","Agricultural Input Value (Euro Million)","1996","Fixed Capital Consumption - Farm Buildings",133.7
"490","Agricultural Input Value Index (Base 1995=100)","1996","Fixed Capital Consumption - Farm Buildings",NA
"491","Agricultural Input Value (Euro Million)","1997","Fixed Capital Consumption - Farm Buildings",141.1
"492","Agricultural Input Value Index (Base 1995=100)","1997","Fixed Capital Consumption - Farm Buildings",NA
"493","Agricultural Input Value (Euro Million)","1998","Fixed Capital Consumption - Farm Buildings",147.2
"494","Agricultural Input Value Index (Base 1995=100)","1998","Fixed Capital Consumption - Farm Buildings",NA
"495","Agricultural Input Value (Euro Million)","1999","Fixed Capital Consumption - Farm Buildings",153.4
"496","Agricultural Input Value Index (Base 1995=100)","1999","Fixed Capital Consumption - Farm Buildings",NA
"497","Agricultural Input Value (Euro Million)","2000","Fixed Capital Consumption - Farm Buildings",164.7
"498","Agricultural Input Value Index (Base 1995=100)","2000","Fixed Capital Consumption - Farm Buildings",NA
"499","Agricultural Input Value (Euro Million)","2001","Fixed Capital Consumption - Farm Buildings",183.7
"500","Agricultural Input Value Index (Base 1995=100)","2001","Fixed Capital Consumption - Farm Buildings",NA
"501","Agricultural Input Value (Euro Million)","2002","Fixed Capital Consumption - Farm Buildings",193.5
"502","Agricultural Input Value Index (Base 1995=100)","2002","Fixed Capital Consumption - Farm Buildings",NA
"503","Agricultural Input Value (Euro Million)","2003","Fixed Capital Consumption - Farm Buildings",NA
"504","Agricultural Input Value Index (Base 1995=100)","2003","Fixed Capital Consumption - Farm Buildings",NA
"505","Agricultural Input Value (Euro Million)","1990","Factor Income",2401.2
"506","Agricultural Input Value Index (Base 1995=100)","1990","Factor Income",NA
"507","Agricultural Input Value (Euro Million)","1991","Factor Income",2220.1
"508","Agricultural Input Value Index (Base 1995=100)","1991","Factor Income",NA
"509","Agricultural Input Value (Euro Million)","1992","Factor Income",2555.8
"510","Agricultural Input Value Index (Base 1995=100)","1992","Factor Income",NA
"511","Agricultural Input Value (Euro Million)","1993","Factor Income",2675.9
"512","Agricultural Input Value Index (Base 1995=100)","1993","Factor Income",NA
"513","Agricultural Input Value (Euro Million)","1994","Factor Income",2753.5
"514","Agricultural Input Value Index (Base 1995=100)","1994","Factor Income",NA
"515","Agricultural Input Value (Euro Million)","1995","Factor Income",2877.2
"516","Agricultural Input Value Index (Base 1995=100)","1995","Factor Income",NA
"517","Agricultural Input Value (Euro Million)","1996","Factor Income",3011.8
"518","Agricultural Input Value Index (Base 1995=100)","1996","Factor Income",NA
"519","Agricultural Input Value (Euro Million)","1997","Factor Income",2822.7
"520","Agricultural Input Value Index (Base 1995=100)","1997","Factor Income",NA
"521","Agricultural Input Value (Euro Million)","1998","Factor Income",2830.8
"522","Agricultural Input Value Index (Base 1995=100)","1998","Factor Income",NA
"523","Agricultural Input Value (Euro Million)","1999","Factor Income",2578.2
"524","Agricultural Input Value Index (Base 1995=100)","1999","Factor Income",NA
"525","Agricultural Input Value (Euro Million)","2000","Factor Income",2807.8
"526","Agricultural Input Value Index (Base 1995=100)","2000","Factor Income",NA
"527","Agricultural Input Value (Euro Million)","2001","Factor Income",2951.5
"528","Agricultural Input Value Index (Base 1995=100)","2001","Factor Income",NA
"529","Agricultural Input Value (Euro Million)","2002","Factor Income",2745.6
"530","Agricultural Input Value Index (Base 1995=100)","2002","Factor Income",NA
"531","Agricultural Input Value (Euro Million)","2003","Factor Income",2874
"532","Agricultural Input Value Index (Base 1995=100)","2003","Factor Income",NA
"533","Agricultural Input Value (Euro Million)","1990","Compensation of Employees",307.7
"534","Agricultural Input Value Index (Base 1995=100)","1990","Compensation of Employees",NA
"535","Agricultural Input Value (Euro Million)","1991","Compensation of Employees",294.8
"536","Agricultural Input Value Index (Base 1995=100)","1991","Compensation of Employees",NA
"537","Agricultural Input Value (Euro Million)","1992","Compensation of Employees",268.3
"538","Agricultural Input Value Index (Base 1995=100)","1992","Compensation of Employees",NA
"539","Agricultural Input Value (Euro Million)","1993","Compensation of Employees",265.4
"540","Agricultural Input Value Index (Base 1995=100)","1993","Compensation of Employees",NA
"541","Agricultural Input Value (Euro Million)","1994","Compensation of Employees",265
"542","Agricultural Input Value Index (Base 1995=100)","1994","Compensation of Employees",NA
"543","Agricultural Input Value (Euro Million)","1995","Compensation of Employees",280.4
"544","Agricultural Input Value Index (Base 1995=100)","1995","Compensation of Employees",NA
"545","Agricultural Input Value (Euro Million)","1996","Compensation of Employees",253.9
"546","Agricultural Input Value Index (Base 1995=100)","1996","Compensation of Employees",NA
"547","Agricultural Input Value (Euro Million)","1997","Compensation of Employees",256.5
"548","Agricultural Input Value Index (Base 1995=100)","1997","Compensation of Employees",NA
"549","Agricultural Input Value (Euro Million)","1998","Compensation of Employees",267.5
"550","Agricultural Input Value Index (Base 1995=100)","1998","Compensation of Employees",NA
"551","Agricultural Input Value (Euro Million)","1999","Compensation of Employees",274.9
"552","Agricultural Input Value Index (Base 1995=100)","1999","Compensation of Employees",NA
"553","Agricultural Input Value (Euro Million)","2000","Compensation of Employees",272.6
"554","Agricultural Input Value Index (Base 1995=100)","2000","Compensation of Employees",NA
"555","Agricultural Input Value (Euro Million)","2001","Compensation of Employees",254.4
"556","Agricultural Input Value Index (Base 1995=100)","2001","Compensation of Employees",NA
"557","Agricultural Input Value (Euro Million)","2002","Compensation of Employees",276.2
"558","Agricultural Input Value Index (Base 1995=100)","2002","Compensation of Employees",NA
"559","Agricultural Input Value (Euro Million)","2003","Compensation of Employees",284.5
"560","Agricultural Input Value Index (Base 1995=100)","2003","Compensation of Employees",NA
"561","Agricultural Input Value (Euro Million)","1990","Operating Surplus",2093.5
"562","Agricultural Input Value Index (Base 1995=100)","1990","Operating Surplus",NA
"563","Agricultural Input Value (Euro Million)","1991","Operating Surplus",1925.3
"564","Agricultural Input Value Index (Base 1995=100)","1991","Operating Surplus",NA
"565","Agricultural Input Value (Euro Million)","1992","Operating Surplus",2287.5
"566","Agricultural Input Value Index (Base 1995=100)","1992","Operating Surplus",NA
"567","Agricultural Input Value (Euro Million)","1993","Operating Surplus",2410.5
"568","Agricultural Input Value Index (Base 1995=100)","1993","Operating Surplus",NA
"569","Agricultural Input Value (Euro Million)","1994","Operating Surplus",2488.5
"570","Agricultural Input Value Index (Base 1995=100)","1994","Operating Surplus",NA
"571","Agricultural Input Value (Euro Million)","1995","Operating Surplus",2596.8
"572","Agricultural Input Value Index (Base 1995=100)","1995","Operating Surplus",NA
"573","Agricultural Input Value (Euro Million)","1996","Operating Surplus",2757.9
"574","Agricultural Input Value Index (Base 1995=100)","1996","Operating Surplus",NA
"575","Agricultural Input Value (Euro Million)","1997","Operating Surplus",2566.2
"576","Agricultural Input Value Index (Base 1995=100)","1997","Operating Surplus",NA
"577","Agricultural Input Value (Euro Million)","1998","Operating Surplus",2563.3
"578","Agricultural Input Value Index (Base 1995=100)","1998","Operating Surplus",NA
"579","Agricultural Input Value (Euro Million)","1999","Operating Surplus",2303.4
"580","Agricultural Input Value Index (Base 1995=100)","1999","Operating Surplus",NA
"581","Agricultural Input Value (Euro Million)","2000","Operating Surplus",2535.3
"582","Agricultural Input Value Index (Base 1995=100)","2000","Operating Surplus",NA
"583","Agricultural Input Value (Euro Million)","2001","Operating Surplus",2697.2
"584","Agricultural Input Value Index (Base 1995=100)","2001","Operating Surplus",NA
"585","Agricultural Input Value (Euro Million)","2002","Operating Surplus",2469.4
"586","Agricultural Input Value Index (Base 1995=100)","2002","Operating Surplus",NA
"587","Agricultural Input Value (Euro Million)","2003","Operating Surplus",2589.5
"588","Agricultural Input Value Index (Base 1995=100)","2003","Operating Surplus",NA
