"","Statistic","Year","Type.of.Pig","value"
"363","Pig Population Estimated from June Survey (Thousand)","2000","Other sows for breeding",30.1
"364","Pig Population Estimated from December Survey (Thousand)","2000","Other sows for breeding",33.9
"365","Pig Population Estimated from June Survey (Thousand)","2001","Other sows for breeding",35.7
"366","Pig Population Estimated from December Survey (Thousand)","2001","Other sows for breeding",37.3
"367","Pig Population Estimated from June Survey (Thousand)","2002","Other sows for breeding",31.9
"368","Pig Population Estimated from December Survey (Thousand)","2002","Other sows for breeding",33.8
"369","Pig Population Estimated from June Survey (Thousand)","2003","Other sows for breeding",31.2
"370","Pig Population Estimated from December Survey (Thousand)","2003","Other sows for breeding",33.4
"371","Pig Population Estimated from June Survey (Thousand)","2004","Other sows for breeding",28.6
"372","Pig Population Estimated from December Survey (Thousand)","2004","Other sows for breeding",32.2
"373","Pig Population Estimated from June Survey (Thousand)","2005","Other sows for breeding",31.7
"374","Pig Population Estimated from December Survey (Thousand)","2005","Other sows for breeding",35.5
"375","Pig Population Estimated from June Survey (Thousand)","2006","Other sows for breeding",29.6
"376","Pig Population Estimated from December Survey (Thousand)","2006","Other sows for breeding",31.4
"377","Pig Population Estimated from June Survey (Thousand)","2007","Other sows for breeding",29.6
"378","Pig Population Estimated from December Survey (Thousand)","2007","Other sows for breeding",26.4
"379","Pig Population Estimated from June Survey (Thousand)","2008","Other sows for breeding",24.6
"380","Pig Population Estimated from December Survey (Thousand)","2008","Other sows for breeding",25.6
"381","Pig Population Estimated from June Survey (Thousand)","2009","Other sows for breeding",23.5
"382","Pig Population Estimated from December Survey (Thousand)","2009","Other sows for breeding",29.6
"383","Pig Population Estimated from June Survey (Thousand)","2010","Other sows for breeding",31.6
"384","Pig Population Estimated from December Survey (Thousand)","2010","Other sows for breeding",25.9
"385","Pig Population Estimated from June Survey (Thousand)","2011","Other sows for breeding",30.5
"386","Pig Population Estimated from December Survey (Thousand)","2011","Other sows for breeding",23.4
"387","Pig Population Estimated from June Survey (Thousand)","2012","Other sows for breeding",24.7
"388","Pig Population Estimated from December Survey (Thousand)","2012","Other sows for breeding",25.7
"389","Pig Population Estimated from June Survey (Thousand)","2013","Other sows for breeding",28.2
"390","Pig Population Estimated from December Survey (Thousand)","2013","Other sows for breeding",NA
"391","Pig Population Estimated from June Survey (Thousand)","1975","Gilts not yet served",7.6
"392","Pig Population Estimated from December Survey (Thousand)","1975","Gilts not yet served",9.1
"393","Pig Population Estimated from June Survey (Thousand)","1976","Gilts not yet served",7.1
"394","Pig Population Estimated from December Survey (Thousand)","1976","Gilts not yet served",6.9
"395","Pig Population Estimated from June Survey (Thousand)","1977","Gilts not yet served",7.8
"396","Pig Population Estimated from December Survey (Thousand)","1977","Gilts not yet served",8.5
"397","Pig Population Estimated from June Survey (Thousand)","1978","Gilts not yet served",10.1
"398","Pig Population Estimated from December Survey (Thousand)","1978","Gilts not yet served",9.9
"399","Pig Population Estimated from June Survey (Thousand)","1979","Gilts not yet served",9.3
"400","Pig Population Estimated from December Survey (Thousand)","1979","Gilts not yet served",9
"401","Pig Population Estimated from June Survey (Thousand)","1980","Gilts not yet served",8.4
"402","Pig Population Estimated from December Survey (Thousand)","1980","Gilts not yet served",7.7
"403","Pig Population Estimated from June Survey (Thousand)","1981","Gilts not yet served",9
"404","Pig Population Estimated from December Survey (Thousand)","1981","Gilts not yet served",10.1
"405","Pig Population Estimated from June Survey (Thousand)","1982","Gilts not yet served",10.6
"406","Pig Population Estimated from December Survey (Thousand)","1982","Gilts not yet served",10.3
"407","Pig Population Estimated from June Survey (Thousand)","1983","Gilts not yet served",10.3
"408","Pig Population Estimated from December Survey (Thousand)","1983","Gilts not yet served",9.9
"409","Pig Population Estimated from June Survey (Thousand)","1984","Gilts not yet served",9.9
"410","Pig Population Estimated from December Survey (Thousand)","1984","Gilts not yet served",9.9
"411","Pig Population Estimated from June Survey (Thousand)","1985","Gilts not yet served",9.6
"412","Pig Population Estimated from December Survey (Thousand)","1985","Gilts not yet served",9.5
"413","Pig Population Estimated from June Survey (Thousand)","1986","Gilts not yet served",9.4
"414","Pig Population Estimated from December Survey (Thousand)","1986","Gilts not yet served",8.7
"415","Pig Population Estimated from June Survey (Thousand)","1987","Gilts not yet served",9.3
"416","Pig Population Estimated from December Survey (Thousand)","1987","Gilts not yet served",8.5
"417","Pig Population Estimated from June Survey (Thousand)","1988","Gilts not yet served",9.2
"418","Pig Population Estimated from December Survey (Thousand)","1988","Gilts not yet served",8.9
"419","Pig Population Estimated from June Survey (Thousand)","1989","Gilts not yet served",9.4
"420","Pig Population Estimated from December Survey (Thousand)","1989","Gilts not yet served",11.5
"421","Pig Population Estimated from June Survey (Thousand)","1990","Gilts not yet served",11.9
"422","Pig Population Estimated from December Survey (Thousand)","1990","Gilts not yet served",12.3
"423","Pig Population Estimated from June Survey (Thousand)","1991","Gilts not yet served",13.8
"424","Pig Population Estimated from December Survey (Thousand)","1991","Gilts not yet served",14
"425","Pig Population Estimated from June Survey (Thousand)","1992","Gilts not yet served",14.2
"426","Pig Population Estimated from December Survey (Thousand)","1992","Gilts not yet served",14.9
"427","Pig Population Estimated from June Survey (Thousand)","1993","Gilts not yet served",14.3
"428","Pig Population Estimated from December Survey (Thousand)","1993","Gilts not yet served",14.4
"429","Pig Population Estimated from June Survey (Thousand)","1994","Gilts not yet served",14.1
"430","Pig Population Estimated from December Survey (Thousand)","1994","Gilts not yet served",15.3
"431","Pig Population Estimated from June Survey (Thousand)","1995","Gilts not yet served",17.2
"432","Pig Population Estimated from December Survey (Thousand)","1995","Gilts not yet served",17.9
"433","Pig Population Estimated from June Survey (Thousand)","1996","Gilts not yet served",16.2
"434","Pig Population Estimated from December Survey (Thousand)","1996","Gilts not yet served",17.5
"435","Pig Population Estimated from June Survey (Thousand)","1997","Gilts not yet served",17.7
"436","Pig Population Estimated from December Survey (Thousand)","1997","Gilts not yet served",17.7
"437","Pig Population Estimated from June Survey (Thousand)","1998","Gilts not yet served",19.8
"438","Pig Population Estimated from December Survey (Thousand)","1998","Gilts not yet served",17.6
"439","Pig Population Estimated from June Survey (Thousand)","1999","Gilts not yet served",16.8
"440","Pig Population Estimated from December Survey (Thousand)","1999","Gilts not yet served",15.6
"441","Pig Population Estimated from June Survey (Thousand)","2000","Gilts not yet served",17.6
"442","Pig Population Estimated from December Survey (Thousand)","2000","Gilts not yet served",18.1
"443","Pig Population Estimated from June Survey (Thousand)","2001","Gilts not yet served",20
"444","Pig Population Estimated from December Survey (Thousand)","2001","Gilts not yet served",17.9
"445","Pig Population Estimated from June Survey (Thousand)","2002","Gilts not yet served",21
"446","Pig Population Estimated from December Survey (Thousand)","2002","Gilts not yet served",18.1
"447","Pig Population Estimated from June Survey (Thousand)","2003","Gilts not yet served",18.3
"448","Pig Population Estimated from December Survey (Thousand)","2003","Gilts not yet served",17.3
"449","Pig Population Estimated from June Survey (Thousand)","2004","Gilts not yet served",17
"450","Pig Population Estimated from December Survey (Thousand)","2004","Gilts not yet served",21
"451","Pig Population Estimated from June Survey (Thousand)","2005","Gilts not yet served",20.1
"452","Pig Population Estimated from December Survey (Thousand)","2005","Gilts not yet served",19
"453","Pig Population Estimated from June Survey (Thousand)","2006","Gilts not yet served",19
"454","Pig Population Estimated from December Survey (Thousand)","2006","Gilts not yet served",18.3
"455","Pig Population Estimated from June Survey (Thousand)","2007","Gilts not yet served",15.6
"456","Pig Population Estimated from December Survey (Thousand)","2007","Gilts not yet served",16.6
"457","Pig Population Estimated from June Survey (Thousand)","2008","Gilts not yet served",15.6
"458","Pig Population Estimated from December Survey (Thousand)","2008","Gilts not yet served",16
"459","Pig Population Estimated from June Survey (Thousand)","2009","Gilts not yet served",17.8
"460","Pig Population Estimated from December Survey (Thousand)","2009","Gilts not yet served",16.8
"461","Pig Population Estimated from June Survey (Thousand)","2010","Gilts not yet served",14.4
"462","Pig Population Estimated from December Survey (Thousand)","2010","Gilts not yet served",15
"463","Pig Population Estimated from June Survey (Thousand)","2011","Gilts not yet served",15
"464","Pig Population Estimated from December Survey (Thousand)","2011","Gilts not yet served",15.9
"465","Pig Population Estimated from June Survey (Thousand)","2012","Gilts not yet served",15.2
"466","Pig Population Estimated from December Survey (Thousand)","2012","Gilts not yet served",15.2
"467","Pig Population Estimated from June Survey (Thousand)","2013","Gilts not yet served",14.9
"468","Pig Population Estimated from December Survey (Thousand)","2013","Gilts not yet served",NA
"469","Pig Population Estimated from June Survey (Thousand)","1975","Boars",2.7
"470","Pig Population Estimated from December Survey (Thousand)","1975","Boars",2.7
"471","Pig Population Estimated from June Survey (Thousand)","1976","Boars",3.1
"472","Pig Population Estimated from December Survey (Thousand)","1976","Boars",3.1
"473","Pig Population Estimated from June Survey (Thousand)","1977","Boars",3.1
"474","Pig Population Estimated from December Survey (Thousand)","1977","Boars",3.4
"475","Pig Population Estimated from June Survey (Thousand)","1978","Boars",3.9
"476","Pig Population Estimated from December Survey (Thousand)","1978","Boars",4.1
"477","Pig Population Estimated from June Survey (Thousand)","1979","Boars",4.1
"478","Pig Population Estimated from December Survey (Thousand)","1979","Boars",4.2
"479","Pig Population Estimated from June Survey (Thousand)","1980","Boars",4.1
"480","Pig Population Estimated from December Survey (Thousand)","1980","Boars",4.1
"481","Pig Population Estimated from June Survey (Thousand)","1981","Boars",4.1
"482","Pig Population Estimated from December Survey (Thousand)","1981","Boars",4.5
"483","Pig Population Estimated from June Survey (Thousand)","1982","Boars",4.5
"484","Pig Population Estimated from December Survey (Thousand)","1982","Boars",4.9
"485","Pig Population Estimated from June Survey (Thousand)","1983","Boars",4.4
"486","Pig Population Estimated from December Survey (Thousand)","1983","Boars",4.9
"487","Pig Population Estimated from June Survey (Thousand)","1984","Boars",4.3
"488","Pig Population Estimated from December Survey (Thousand)","1984","Boars",4.9
"489","Pig Population Estimated from June Survey (Thousand)","1985","Boars",4.4
"490","Pig Population Estimated from December Survey (Thousand)","1985","Boars",5
"491","Pig Population Estimated from June Survey (Thousand)","1986","Boars",4.4
"492","Pig Population Estimated from December Survey (Thousand)","1986","Boars",4.9
"493","Pig Population Estimated from June Survey (Thousand)","1987","Boars",4.3
"494","Pig Population Estimated from December Survey (Thousand)","1987","Boars",4.9
"495","Pig Population Estimated from June Survey (Thousand)","1988","Boars",5
"496","Pig Population Estimated from December Survey (Thousand)","1988","Boars",5
"497","Pig Population Estimated from June Survey (Thousand)","1989","Boars",5.2
"498","Pig Population Estimated from December Survey (Thousand)","1989","Boars",5.6
"499","Pig Population Estimated from June Survey (Thousand)","1990","Boars",6.1
"500","Pig Population Estimated from December Survey (Thousand)","1990","Boars",6.4
"501","Pig Population Estimated from June Survey (Thousand)","1991","Boars",6.7
"502","Pig Population Estimated from December Survey (Thousand)","1991","Boars",6.6
"503","Pig Population Estimated from June Survey (Thousand)","1992","Boars",6.6
"504","Pig Population Estimated from December Survey (Thousand)","1992","Boars",6.5
"505","Pig Population Estimated from June Survey (Thousand)","1993","Boars",6.3
"506","Pig Population Estimated from December Survey (Thousand)","1993","Boars",6.4
"507","Pig Population Estimated from June Survey (Thousand)","1994","Boars",6
"508","Pig Population Estimated from December Survey (Thousand)","1994","Boars",5.3
"509","Pig Population Estimated from June Survey (Thousand)","1995","Boars",5.3
"510","Pig Population Estimated from December Survey (Thousand)","1995","Boars",5.3
"511","Pig Population Estimated from June Survey (Thousand)","1996","Boars",5.2
"512","Pig Population Estimated from December Survey (Thousand)","1996","Boars",5
"513","Pig Population Estimated from June Survey (Thousand)","1997","Boars",5
"514","Pig Population Estimated from December Survey (Thousand)","1997","Boars",5.2
"515","Pig Population Estimated from June Survey (Thousand)","1998","Boars",4.9
"516","Pig Population Estimated from December Survey (Thousand)","1998","Boars",4.6
"517","Pig Population Estimated from June Survey (Thousand)","1999","Boars",4.3
"518","Pig Population Estimated from December Survey (Thousand)","1999","Boars",4.1
"519","Pig Population Estimated from June Survey (Thousand)","2000","Boars",4
"520","Pig Population Estimated from December Survey (Thousand)","2000","Boars",4
"521","Pig Population Estimated from June Survey (Thousand)","2001","Boars",3.4
"522","Pig Population Estimated from December Survey (Thousand)","2001","Boars",3.7
"523","Pig Population Estimated from June Survey (Thousand)","2002","Boars",3.5
"524","Pig Population Estimated from December Survey (Thousand)","2002","Boars",3.1
"525","Pig Population Estimated from June Survey (Thousand)","2003","Boars",3.1
"526","Pig Population Estimated from December Survey (Thousand)","2003","Boars",2.9
"527","Pig Population Estimated from June Survey (Thousand)","2004","Boars",2.9
"528","Pig Population Estimated from December Survey (Thousand)","2004","Boars",2.6
"529","Pig Population Estimated from June Survey (Thousand)","2005","Boars",2.6
"530","Pig Population Estimated from December Survey (Thousand)","2005","Boars",2.3
"531","Pig Population Estimated from June Survey (Thousand)","2006","Boars",1.9
"532","Pig Population Estimated from December Survey (Thousand)","2006","Boars",2
"533","Pig Population Estimated from June Survey (Thousand)","2007","Boars",1.8
"534","Pig Population Estimated from December Survey (Thousand)","2007","Boars",1.6
"535","Pig Population Estimated from June Survey (Thousand)","2008","Boars",1.7
"536","Pig Population Estimated from December Survey (Thousand)","2008","Boars",1.3
"537","Pig Population Estimated from June Survey (Thousand)","2009","Boars",1.6
"538","Pig Population Estimated from December Survey (Thousand)","2009","Boars",1.6
"539","Pig Population Estimated from June Survey (Thousand)","2010","Boars",1.7
"540","Pig Population Estimated from December Survey (Thousand)","2010","Boars",1.4
"541","Pig Population Estimated from June Survey (Thousand)","2011","Boars",1.3
"542","Pig Population Estimated from December Survey (Thousand)","2011","Boars",1.2
"543","Pig Population Estimated from June Survey (Thousand)","2012","Boars",1.1
"544","Pig Population Estimated from December Survey (Thousand)","2012","Boars",0.9
"545","Pig Population Estimated from June Survey (Thousand)","2013","Boars",0.9
"546","Pig Population Estimated from December Survey (Thousand)","2013","Boars",NA
"547","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs",704.6
"548","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs",767.4
"549","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs",824.6
"550","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs",854.7
"551","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs",834.4
"552","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs",851.6
"553","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs",911.3
"554","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs",970.3
"555","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs",976.8
"556","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs",935.7
"557","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs",910.3
"558","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs",915.8
"559","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs",902.7
"560","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs",905.5
"561","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs",934.9
"562","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs",956.3
"563","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs",958.7
"564","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs",930.6
"565","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs",918.7
"566","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs",900
"567","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs",887.1
"568","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs",876.6
"569","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs",886
"570","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs",866.5
"571","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs",887.2
"572","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs",847.5
"573","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs",893.5
"574","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs",894.9
"575","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs",941.2
"576","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs",971.8
"577","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs",1042.4
"578","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs",1093.9
"579","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs",1142.6
"580","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs",1178.9
"581","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs",1212.2
"582","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs",1244.7
"583","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs",1341.9
"584","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs",1312.2
"585","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs",1354.6
"586","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs",1331.4
"587","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs",1375.6
"588","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs",1361.5
"589","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs",1437.5
"590","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs",1477.1
"591","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs",1507.8
"592","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs",1519.4
"593","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs",1618.7
"594","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs",1608.4
"595","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs",1594.2
"596","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs",1572.6
"597","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs",1541.3
"598","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs",1542.8
"599","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs",1556.1
"600","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs",1586.9
"601","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs",1599.4
"602","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs",1610.5
"603","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs",1550.5
"604","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs",1552.6
"605","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs",1482.8
"606","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs",1572.8
"607","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs",1514.3
"608","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs",1493.8
"609","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs",1473.8
"610","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs",1451.1
"611","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs",1422.4
"612","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs",1340.2
"613","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs",1304.6
"614","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs",1358.6
"615","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs",1236.2
"616","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs",1342.2
"617","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs",1354.9
"618","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs",1349.6
"619","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs",1392.8
"620","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs",1405.3
"621","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs",1425
"622","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs",1347.9
"623","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs",1404.6
"624","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs",NA
"625","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs: 20kg and under 50kg",216.3
"626","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs: 20kg and under 50kg",237.1
"627","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs: 20kg and under 50kg",263.3
"628","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs: 20kg and under 50kg",273.9
"629","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs: 20kg and under 50kg",255.4
"630","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs: 20kg and under 50kg",283.4
"631","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs: 20kg and under 50kg",286.9
"632","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs: 20kg and under 50kg",315.7
"633","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs: 20kg and under 50kg",307.8
"634","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs: 20kg and under 50kg",307.3
"635","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs: 20kg and under 50kg",285.3
"636","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs: 20kg and under 50kg",292.7
"637","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs: 20kg and under 50kg",292.5
"638","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs: 20kg and under 50kg",297
"639","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs: 20kg and under 50kg",307.9
"640","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs: 20kg and under 50kg",315.4
"641","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs: 20kg and under 50kg",325.5
"642","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs: 20kg and under 50kg",311.3
"643","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs: 20kg and under 50kg",325.4
"644","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs: 20kg and under 50kg",307.6
"645","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs: 20kg and under 50kg",315.9
"646","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs: 20kg and under 50kg",285
"647","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs: 20kg and under 50kg",314.3
"648","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs: 20kg and under 50kg",301.7
"649","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs: 20kg and under 50kg",323.4
"650","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs: 20kg and under 50kg",295.1
"651","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs: 20kg and under 50kg",320.1
"652","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs: 20kg and under 50kg",322.1
"653","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs: 20kg and under 50kg",336.8
"654","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs: 20kg and under 50kg",341.4
"655","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs: 20kg and under 50kg",363.2
"656","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs: 20kg and under 50kg",376.9
"657","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs: 20kg and under 50kg",389
"658","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs: 20kg and under 50kg",402.6
"659","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs: 20kg and under 50kg",415.3
"660","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs: 20kg and under 50kg",423.5
"661","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs: 20kg and under 50kg",469.6
"662","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs: 20kg and under 50kg",430.6
"663","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs: 20kg and under 50kg",461.3
"664","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs: 20kg and under 50kg",448.5
"665","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs: 20kg and under 50kg",483.5
"666","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs: 20kg and under 50kg",464.8
"667","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs: 20kg and under 50kg",504.6
"668","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs: 20kg and under 50kg",501.8
"669","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs: 20kg and under 50kg",530
"670","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs: 20kg and under 50kg",521.9
"671","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs: 20kg and under 50kg",550.6
"672","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs: 20kg and under 50kg",535.9
"673","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs: 20kg and under 50kg",550.8
"674","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs: 20kg and under 50kg",520.3
"675","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs: 20kg and under 50kg",506.7
"676","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs: 20kg and under 50kg",510
"677","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs: 20kg and under 50kg",481.7
"678","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs: 20kg and under 50kg",494.3
"679","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs: 20kg and under 50kg",487.1
"680","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs: 20kg and under 50kg",497.3
"681","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs: 20kg and under 50kg",465.6
"682","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs: 20kg and under 50kg",475.6
"683","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs: 20kg and under 50kg",463.6
"684","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs: 20kg and under 50kg",506.4
"685","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs: 20kg and under 50kg",469.4
"686","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs: 20kg and under 50kg",482.4
"687","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs: 20kg and under 50kg",453.6
"688","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs: 20kg and under 50kg",459.3
"689","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs: 20kg and under 50kg",441.8
"690","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs: 20kg and under 50kg",398.4
"691","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs: 20kg and under 50kg",382.2
"692","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs: 20kg and under 50kg",409.8
"693","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs: 20kg and under 50kg",362.9
"694","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs: 20kg and under 50kg",415.4
"695","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs: 20kg and under 50kg",414.2
"696","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs: 20kg and under 50kg",399.3
"697","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs: 20kg and under 50kg",425.9
"698","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs: 20kg and under 50kg",402.7
"699","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs: 20kg and under 50kg",419
"700","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs: 20kg and under 50kg",412.6
"701","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs: 20kg and under 50kg",399.5
"702","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs: 20kg and under 50kg",NA
"703","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs: 50kg and under 80kg",211.5
"704","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs: 50kg and under 80kg",241.3
"705","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs: 50kg and under 80kg",238.7
"706","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs: 50kg and under 80kg",271.8
"707","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs: 50kg and under 80kg",254.8
"708","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs: 50kg and under 80kg",272.3
"709","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs: 50kg and under 80kg",284.8
"710","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs: 50kg and under 80kg",307
