"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"376","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","3-4",75.8
"377","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","3-4",23.1
"378","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","3-4",80
"379","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","3-4",21.9
"380","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","3-4",75.9
"381","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","3-4",21.6
"382","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","3-4",74.4
"383","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","3-4",20.1
"384","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","3-4",69.5
"385","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","3-4",21.1
"386","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","3-4",72.8
"387","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","3-4",20.4
"388","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","3-4",70.5
"389","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","3-4",19.2
"390","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","3-4",66.6
"391","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","3-4",26.5
"392","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","3-4",91.8
"393","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","3-4",18.1
"394","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","3-4",63.3
"395","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","3-4",16.9
"396","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","3-4",61.7
"397","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","3-4",15.8
"398","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","3-4",57.1
"399","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","3-4",14.2
"400","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","3-4",52.5
"401","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","3-4",11.6
"402","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","3-4",46.4
"403","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","3-4",10.5
"404","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","3-4",39.1
"405","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","3-4",9.5
"406","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","3-4",37.4
"407","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","3-4",8.7
"408","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","3-4",32.2
"409","Number of Farms with Cattle (Thousand)","1973","Cattle","5-9",40.7
"410","Number of Cattle (Thousand)","1973","Cattle","5-9",281.1
"411","Number of Farms with Cattle (Thousand)","1975","Cattle","5-9",40.6
"412","Number of Cattle (Thousand)","1975","Cattle","5-9",280.9
"413","Number of Farms with Cattle (Thousand)","1977","Cattle","5-9",31.5
"414","Number of Cattle (Thousand)","1977","Cattle","5-9",221
"415","Number of Farms with Cattle (Thousand)","1979","Cattle","5-9",31.5
"416","Number of Cattle (Thousand)","1979","Cattle","5-9",219.5
"417","Number of Farms with Cattle (Thousand)","1981","Cattle","5-9",30.4
"418","Number of Cattle (Thousand)","1981","Cattle","5-9",211.8
"419","Number of Farms with Cattle (Thousand)","1983","Cattle","5-9",30
"420","Number of Cattle (Thousand)","1983","Cattle","5-9",209.8
"421","Number of Farms with Cattle (Thousand)","1985","Cattle","5-9",27.4
"422","Number of Cattle (Thousand)","1985","Cattle","5-9",191.4
"423","Number of Farms with Cattle (Thousand)","1987","Cattle","5-9",26.1
"424","Number of Cattle (Thousand)","1987","Cattle","5-9",181.1
"425","Number of Farms with Cattle (Thousand)","1989","Cattle","5-9",23.6
"426","Number of Cattle (Thousand)","1989","Cattle","5-9",168.4
"427","Number of Farms with Cattle (Thousand)","1991","Cattle","5-9",18.7
"428","Number of Cattle (Thousand)","1991","Cattle","5-9",132.8
"429","Number of Farms with Cattle (Thousand)","1993","Cattle","5-9",16
"430","Number of Cattle (Thousand)","1993","Cattle","5-9",115.8
"431","Number of Farms with Cattle (Thousand)","1995","Cattle","5-9",15.4
"432","Number of Cattle (Thousand)","1995","Cattle","5-9",112.3
"433","Number of Farms with Cattle (Thousand)","1997","Cattle","5-9",14
"434","Number of Cattle (Thousand)","1997","Cattle","5-9",104.8
"435","Number of Farms with Cattle (Thousand)","1999","Cattle","5-9",14.3
"436","Number of Cattle (Thousand)","1999","Cattle","5-9",107.8
"437","Number of Farms with Cattle (Thousand)","2001","Cattle","5-9",12.7
"438","Number of Cattle (Thousand)","2001","Cattle","5-9",88.7
"439","Number of Farms with Cattle (Thousand)","2003","Cattle","5-9",12.6
"440","Number of Cattle (Thousand)","2003","Cattle","5-9",91.7
"441","Number of Farms with Cattle (Thousand)","2005","Cattle","5-9",10.4
"442","Number of Cattle (Thousand)","2005","Cattle","5-9",68.9
"443","Number of Farms with Cattle (Thousand)","1973","Cows","5-9",49.4
"444","Number of Cattle (Thousand)","1973","Cows","5-9",327.9
"445","Number of Farms with Cattle (Thousand)","1975","Cows","5-9",45.1
"446","Number of Cattle (Thousand)","1975","Cows","5-9",301.5
"447","Number of Farms with Cattle (Thousand)","1977","Cows","5-9",41.4
"448","Number of Cattle (Thousand)","1977","Cows","5-9",273.7
"449","Number of Farms with Cattle (Thousand)","1979","Cows","5-9",36.7
"450","Number of Cattle (Thousand)","1979","Cows","5-9",241.5
"451","Number of Farms with Cattle (Thousand)","1981","Cows","5-9",32.2
"452","Number of Cattle (Thousand)","1981","Cows","5-9",211.4
"453","Number of Farms with Cattle (Thousand)","1983","Cows","5-9",30.3
"454","Number of Cattle (Thousand)","1983","Cows","5-9",197.9
"455","Number of Farms with Cattle (Thousand)","1985","Cows","5-9",27.8
"456","Number of Cattle (Thousand)","1985","Cows","5-9",182.5
"457","Number of Farms with Cattle (Thousand)","1987","Cows","5-9",26.7
"458","Number of Cattle (Thousand)","1987","Cows","5-9",176.1
"459","Number of Farms with Cattle (Thousand)","1989","Cows","5-9",29.3
"460","Number of Cattle (Thousand)","1989","Cows","5-9",192.7
"461","Number of Farms with Cattle (Thousand)","1991","Cows","5-9",26.5
"462","Number of Cattle (Thousand)","1991","Cows","5-9",180.5
"463","Number of Farms with Cattle (Thousand)","1993","Cows","5-9",24.7
"464","Number of Cattle (Thousand)","1993","Cows","5-9",174.6
"465","Number of Farms with Cattle (Thousand)","1995","Cows","5-9",23.3
"466","Number of Cattle (Thousand)","1995","Cows","5-9",167.9
"467","Number of Farms with Cattle (Thousand)","1997","Cows","5-9",22.2
"468","Number of Cattle (Thousand)","1997","Cows","5-9",166.6
"469","Number of Farms with Cattle (Thousand)","1999","Cows","5-9",20.8
"470","Number of Cattle (Thousand)","1999","Cows","5-9",187
"471","Number of Farms with Cattle (Thousand)","2001","Cows","5-9",18.8
"472","Number of Cattle (Thousand)","2001","Cows","5-9",157.9
"473","Number of Farms with Cattle (Thousand)","2003","Cows","5-9",17.7
"474","Number of Cattle (Thousand)","2003","Cows","5-9",151.2
"475","Number of Farms with Cattle (Thousand)","2005","Cows","5-9",15.8
"476","Number of Cattle (Thousand)","2005","Cows","5-9",131.4
"477","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","5-9",26.2
"478","Number of Cattle (Thousand)","1973","Dairy Cows","5-9",175.8
"479","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","5-9",22.1
"480","Number of Cattle (Thousand)","1975","Dairy Cows","5-9",149.8
"481","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","5-9",21.3
"482","Number of Cattle (Thousand)","1977","Dairy Cows","5-9",144.1
"483","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","5-9",17.8
"484","Number of Cattle (Thousand)","1979","Dairy Cows","5-9",119.6
"485","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","5-9",15
"486","Number of Cattle (Thousand)","1981","Dairy Cows","5-9",101.6
"487","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","5-9",13.4
"488","Number of Cattle (Thousand)","1983","Dairy Cows","5-9",90.7
"489","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","5-9",11.4
"490","Number of Cattle (Thousand)","1985","Dairy Cows","5-9",77.6
"491","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","5-9",9
"492","Number of Cattle (Thousand)","1987","Dairy Cows","5-9",62.5
"493","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","5-9",5.7
"494","Number of Cattle (Thousand)","1989","Dairy Cows","5-9",41.5
"495","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","5-9",5.9
"496","Number of Cattle (Thousand)","1991","Dairy Cows","5-9",41
"497","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","5-9",4.9
"498","Number of Cattle (Thousand)","1993","Dairy Cows","5-9",34.5
"499","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","5-9",3.7
"500","Number of Cattle (Thousand)","1995","Dairy Cows","5-9",26.3
"501","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","5-9",2.8
"502","Number of Cattle (Thousand)","1997","Dairy Cows","5-9",20.5
"503","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","5-9",2.5
"504","Number of Cattle (Thousand)","1999","Dairy Cows","5-9",18
"505","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","5-9",1.5
"506","Number of Cattle (Thousand)","2001","Dairy Cows","5-9",11
"507","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","5-9",1.1
"508","Number of Cattle (Thousand)","2003","Dairy Cows","5-9",8.1
"509","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","5-9",0.8
"510","Number of Cattle (Thousand)","2005","Dairy Cows","5-9",5.3
"511","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","5-9",21.9
"512","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","5-9",141.5
"513","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","5-9",21.8
"514","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","5-9",140.3
"515","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","5-9",20.1
"516","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","5-9",129.2
"517","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","5-9",19.4
"518","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","5-9",124.3
"519","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","5-9",17.8
"520","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","5-9",112.6
"521","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","5-9",17.8
"522","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","5-9",112.9
"523","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","5-9",17.8
"524","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","5-9",113.7
"525","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","5-9",18.7
"526","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","5-9",120.2
"527","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","5-9",27
"528","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","5-9",172.2
"529","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","5-9",26.1
"530","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","5-9",175.1
"531","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","5-9",26.4
"532","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","5-9",183.1
"533","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","5-9",26
"534","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","5-9",178.3
"535","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","5-9",24.8
"536","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","5-9",176.9
"537","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","5-9",22
"538","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","5-9",169
"539","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","5-9",20.3
"540","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","5-9",146.9
"541","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","5-9",19
"542","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","5-9",143.2
"543","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","5-9",17.5
"544","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","5-9",126.1
"545","Number of Farms with Cattle (Thousand)","1973","Cattle","10-14",34.1
"546","Number of Cattle (Thousand)","1973","Cattle","10-14",403.4
"547","Number of Farms with Cattle (Thousand)","1975","Cattle","10-14",34.6
"548","Number of Cattle (Thousand)","1975","Cattle","10-14",409
"549","Number of Farms with Cattle (Thousand)","1977","Cattle","10-14",30.5
"550","Number of Cattle (Thousand)","1977","Cattle","10-14",361.1
"551","Number of Farms with Cattle (Thousand)","1979","Cattle","10-14",29.7
"552","Number of Cattle (Thousand)","1979","Cattle","10-14",352
"553","Number of Farms with Cattle (Thousand)","1981","Cattle","10-14",28.6
"554","Number of Cattle (Thousand)","1981","Cattle","10-14",335.6
"555","Number of Farms with Cattle (Thousand)","1983","Cattle","10-14",27.3
"556","Number of Cattle (Thousand)","1983","Cattle","10-14",321.1
"557","Number of Farms with Cattle (Thousand)","1985","Cattle","10-14",26.2
"558","Number of Cattle (Thousand)","1985","Cattle","10-14",308
"559","Number of Farms with Cattle (Thousand)","1987","Cattle","10-14",24.8
"560","Number of Cattle (Thousand)","1987","Cattle","10-14",292.4
"561","Number of Farms with Cattle (Thousand)","1989","Cattle","10-14",25.9
"562","Number of Cattle (Thousand)","1989","Cattle","10-14",306
"563","Number of Farms with Cattle (Thousand)","1991","Cattle","10-14",18.7
"564","Number of Cattle (Thousand)","1991","Cattle","10-14",221.1
"565","Number of Farms with Cattle (Thousand)","1993","Cattle","10-14",16.1
"566","Number of Cattle (Thousand)","1993","Cattle","10-14",196.3
"567","Number of Farms with Cattle (Thousand)","1995","Cattle","10-14",14.7
"568","Number of Cattle (Thousand)","1995","Cattle","10-14",182.9
"569","Number of Farms with Cattle (Thousand)","1997","Cattle","10-14",13.6
"570","Number of Cattle (Thousand)","1997","Cattle","10-14",172.7
"571","Number of Farms with Cattle (Thousand)","1999","Cattle","10-14",13.6
"572","Number of Cattle (Thousand)","1999","Cattle","10-14",174
"573","Number of Farms with Cattle (Thousand)","2001","Cattle","10-14",12.2
"574","Number of Cattle (Thousand)","2001","Cattle","10-14",145.2
"575","Number of Farms with Cattle (Thousand)","2003","Cattle","10-14",12
"576","Number of Cattle (Thousand)","2003","Cattle","10-14",148.8
"577","Number of Farms with Cattle (Thousand)","2005","Cattle","10-14",10.2
"578","Number of Cattle (Thousand)","2005","Cattle","10-14",113.5
"579","Number of Farms with Cattle (Thousand)","1973","Cows","10-14",26.1
"580","Number of Cattle (Thousand)","1973","Cows","10-14",306
"581","Number of Farms with Cattle (Thousand)","1975","Cows","10-14",23.1
"582","Number of Cattle (Thousand)","1975","Cows","10-14",269.3
"583","Number of Farms with Cattle (Thousand)","1977","Cows","10-14",22.8
"584","Number of Cattle (Thousand)","1977","Cows","10-14",264.1
"585","Number of Farms with Cattle (Thousand)","1979","Cows","10-14",20.2
"586","Number of Cattle (Thousand)","1979","Cows","10-14",233.9
"587","Number of Farms with Cattle (Thousand)","1981","Cows","10-14",18.1
"588","Number of Cattle (Thousand)","1981","Cows","10-14",211
"589","Number of Farms with Cattle (Thousand)","1983","Cows","10-14",17.2
"590","Number of Cattle (Thousand)","1983","Cows","10-14",199
"591","Number of Farms with Cattle (Thousand)","1985","Cows","10-14",16.1
"592","Number of Cattle (Thousand)","1985","Cows","10-14",186.4
"593","Number of Farms with Cattle (Thousand)","1987","Cows","10-14",16.8
"594","Number of Cattle (Thousand)","1987","Cows","10-14",193.9
"595","Number of Farms with Cattle (Thousand)","1989","Cows","10-14",16.5
"596","Number of Cattle (Thousand)","1989","Cows","10-14",188.6
"597","Number of Farms with Cattle (Thousand)","1991","Cows","10-14",16.9
"598","Number of Cattle (Thousand)","1991","Cows","10-14",196.2
"599","Number of Farms with Cattle (Thousand)","1993","Cows","10-14",16.7
"600","Number of Cattle (Thousand)","1993","Cows","10-14",204
"601","Number of Farms with Cattle (Thousand)","1995","Cows","10-14",16.1
"602","Number of Cattle (Thousand)","1995","Cows","10-14",201.7
"603","Number of Farms with Cattle (Thousand)","1997","Cows","10-14",16.2
"604","Number of Cattle (Thousand)","1997","Cows","10-14",208.1
"605","Number of Farms with Cattle (Thousand)","1999","Cows","10-14",15
"606","Number of Cattle (Thousand)","1999","Cows","10-14",227.4
"607","Number of Farms with Cattle (Thousand)","2001","Cows","10-14",14.1
"608","Number of Cattle (Thousand)","2001","Cows","10-14",194.4
"609","Number of Farms with Cattle (Thousand)","2003","Cows","10-14",14.1
"610","Number of Cattle (Thousand)","2003","Cows","10-14",201.7
"611","Number of Farms with Cattle (Thousand)","2005","Cows","10-14",13.5
"612","Number of Cattle (Thousand)","2005","Cows","10-14",181.8
"613","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","10-14",17.1
"614","Number of Cattle (Thousand)","1973","Dairy Cows","10-14",200.6
"615","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","10-14",14.9
"616","Number of Cattle (Thousand)","1975","Dairy Cows","10-14",176.3
"617","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","10-14",15.3
"618","Number of Cattle (Thousand)","1977","Dairy Cows","10-14",177.9
"619","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","10-14",13.6
"620","Number of Cattle (Thousand)","1979","Dairy Cows","10-14",159.2
"621","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","10-14",12.7
"622","Number of Cattle (Thousand)","1981","Dairy Cows","10-14",148.3
"623","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","10-14",11.6
"624","Number of Cattle (Thousand)","1983","Dairy Cows","10-14",135.3
"625","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","10-14",10.4
"626","Number of Cattle (Thousand)","1985","Dairy Cows","10-14",121.6
"627","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","10-14",11
"628","Number of Cattle (Thousand)","1987","Dairy Cows","10-14",128.1
"629","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","10-14",9
"630","Number of Cattle (Thousand)","1989","Dairy Cows","10-14",105.6
"631","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","10-14",7.4
"632","Number of Cattle (Thousand)","1991","Dairy Cows","10-14",84.4
"633","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","10-14",6.1
"634","Number of Cattle (Thousand)","1993","Dairy Cows","10-14",71.7
"635","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","10-14",5
"636","Number of Cattle (Thousand)","1995","Dairy Cows","10-14",60.4
"637","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","10-14",3.9
"638","Number of Cattle (Thousand)","1997","Dairy Cows","10-14",48.2
"639","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","10-14",3.1
"640","Number of Cattle (Thousand)","1999","Dairy Cows","10-14",39.1
"641","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","10-14",2.2
"642","Number of Cattle (Thousand)","2001","Dairy Cows","10-14",26.2
"643","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","10-14",1.5
"644","Number of Cattle (Thousand)","2003","Dairy Cows","10-14",19.2
"645","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","10-14",1.2
"646","Number of Cattle (Thousand)","2005","Dairy Cows","10-14",12.9
"647","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","10-14",8.8
"648","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","10-14",101.8
"649","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","10-14",7.8
"650","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","10-14",89
"651","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","10-14",7.3
"652","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","10-14",82.6
"653","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","10-14",6.6
"654","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","10-14",74.3
"655","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","10-14",5.8
"656","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","10-14",65.1
"657","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","10-14",5.8
"658","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","10-14",65.3
"659","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","10-14",6.2
"660","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","10-14",69.5
"661","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","10-14",6.3
"662","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","10-14",71
"663","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","10-14",8.2
"664","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","10-14",92.2
"665","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","10-14",12.8
"666","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","10-14",146
"667","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","10-14",14.2
"668","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","10-14",170.8
"669","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","10-14",14.6
"670","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","10-14",174.4
"671","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","10-14",15.5
"672","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","10-14",190.7
"673","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","10-14",14.2
"674","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","10-14",188.3
"675","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","10-14",13.5
"676","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","10-14",168.2
"677","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","10-14",14
"678","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","10-14",182.5
"679","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","10-14",13.7
"680","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","10-14",168.9
"681","Number of Farms with Cattle (Thousand)","1973","Cattle","15-19",25
"682","Number of Cattle (Thousand)","1973","Cattle","15-19",420
"683","Number of Farms with Cattle (Thousand)","1975","Cattle","15-19",24.8
"684","Number of Cattle (Thousand)","1975","Cattle","15-19",417.4
"685","Number of Farms with Cattle (Thousand)","1977","Cattle","15-19",22.1
"686","Number of Cattle (Thousand)","1977","Cattle","15-19",372.7
"687","Number of Farms with Cattle (Thousand)","1979","Cattle","15-19",21.7
"688","Number of Cattle (Thousand)","1979","Cattle","15-19",366
"689","Number of Farms with Cattle (Thousand)","1981","Cattle","15-19",20.2
"690","Number of Cattle (Thousand)","1981","Cattle","15-19",340.4
"691","Number of Farms with Cattle (Thousand)","1983","Cattle","15-19",19.1
"692","Number of Cattle (Thousand)","1983","Cattle","15-19",321.8
"693","Number of Farms with Cattle (Thousand)","1985","Cattle","15-19",18.3
"694","Number of Cattle (Thousand)","1985","Cattle","15-19",306.9
"695","Number of Farms with Cattle (Thousand)","1987","Cattle","15-19",17.6
"696","Number of Cattle (Thousand)","1987","Cattle","15-19",295.3
"697","Number of Farms with Cattle (Thousand)","1989","Cattle","15-19",15.6
"698","Number of Cattle (Thousand)","1989","Cattle","15-19",265.5
"699","Number of Farms with Cattle (Thousand)","1991","Cattle","15-19",13.8
"700","Number of Cattle (Thousand)","1991","Cattle","15-19",232.4
"701","Number of Farms with Cattle (Thousand)","1993","Cattle","15-19",12.5
"702","Number of Cattle (Thousand)","1993","Cattle","15-19",216.8
"703","Number of Farms with Cattle (Thousand)","1995","Cattle","15-19",11.9
"704","Number of Cattle (Thousand)","1995","Cattle","15-19",210
"705","Number of Farms with Cattle (Thousand)","1997","Cattle","15-19",11.2
"706","Number of Cattle (Thousand)","1997","Cattle","15-19",201.8
"707","Number of Farms with Cattle (Thousand)","1999","Cattle","15-19",11
"708","Number of Cattle (Thousand)","1999","Cattle","15-19",198.5
"709","Number of Farms with Cattle (Thousand)","2001","Cattle","15-19",9.9
"710","Number of Cattle (Thousand)","2001","Cattle","15-19",168
"711","Number of Farms with Cattle (Thousand)","2003","Cattle","15-19",10
"712","Number of Cattle (Thousand)","2003","Cattle","15-19",175.9
"713","Number of Farms with Cattle (Thousand)","2005","Cattle","15-19",8.8
"714","Number of Cattle (Thousand)","2005","Cattle","15-19",140.8
"715","Number of Farms with Cattle (Thousand)","1973","Cows","15-19",13.9
"716","Number of Cattle (Thousand)","1973","Cows","15-19",233.3
"717","Number of Farms with Cattle (Thousand)","1975","Cows","15-19",12.2
"718","Number of Cattle (Thousand)","1975","Cows","15-19",203.4
"719","Number of Farms with Cattle (Thousand)","1977","Cows","15-19",12
"720","Number of Cattle (Thousand)","1977","Cows","15-19",199.7
"721","Number of Farms with Cattle (Thousand)","1979","Cows","15-19",10.8
"722","Number of Cattle (Thousand)","1979","Cows","15-19",179
"723","Number of Farms with Cattle (Thousand)","1981","Cows","15-19",9.9
"724","Number of Cattle (Thousand)","1981","Cows","15-19",164.5
"725","Number of Farms with Cattle (Thousand)","1983","Cows","15-19",9
"726","Number of Cattle (Thousand)","1983","Cows","15-19",149.7
"727","Number of Farms with Cattle (Thousand)","1985","Cows","15-19",9.3
"728","Number of Cattle (Thousand)","1985","Cows","15-19",153.4
"729","Number of Farms with Cattle (Thousand)","1987","Cows","15-19",9
"730","Number of Cattle (Thousand)","1987","Cows","15-19",149
"731","Number of Farms with Cattle (Thousand)","1989","Cows","15-19",9.8
"732","Number of Cattle (Thousand)","1989","Cows","15-19",163.5
"733","Number of Farms with Cattle (Thousand)","1991","Cows","15-19",10.6
"734","Number of Cattle (Thousand)","1991","Cows","15-19",175.2
"735","Number of Farms with Cattle (Thousand)","1993","Cows","15-19",10.4
"736","Number of Cattle (Thousand)","1993","Cows","15-19",182.5
"737","Number of Farms with Cattle (Thousand)","1995","Cows","15-19",10.1
"738","Number of Cattle (Thousand)","1995","Cows","15-19",179.8
"739","Number of Farms with Cattle (Thousand)","1997","Cows","15-19",9.8
"740","Number of Cattle (Thousand)","1997","Cows","15-19",180.7
"741","Number of Farms with Cattle (Thousand)","1999","Cows","15-19",9.5
